area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,3.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,4.40,2.60,胡瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,4.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,3.60,苦瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,1.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,2.00,1.00,大冬瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,5.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,3.00,大蒜,山东,none,2018-09-04,蔬菜,元/公斤
华东,1.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,2.60,1.20,小冬瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,4.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,5.00,4.00,茭瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,6.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.60,3.60,蒜薹,山东,none,2018-09-04,蔬菜,元/公斤
华东,3.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,2.00,韭菜,山东,none,2018-09-04,蔬菜,元/公斤
华东,6.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,9.00,5.00,花生,山东,none,2018-09-04,蔬菜,元/公斤
华东,4.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,5.00,3.60,南瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,9.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,12.00,8.00,芋头,山东,none,2018-09-04,蔬菜,元/公斤
华东,4.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,7.60,3.60,刺黄瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,4.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,4.00,当地小白菜,山东,none,2018-09-04,蔬菜,元/公斤
华东,10.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,12.00,8.00,茼蒿,山东,none,2018-09-04,蔬菜,元/公斤
华东,6.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,8.00,5.60,菜花,山东,none,2018-09-04,蔬菜,元/公斤
华东,3.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,4.00,2.40,大头菜,山东,none,2018-09-04,蔬菜,元/公斤
华东,3.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.40,2.40,拉瓜,山东,none,2018-09-04,蔬菜,元/公斤
华东,6.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,5.00,韭菜苔,山东,none,2018-09-04,蔬菜,元/公斤
华东,10.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,12.00,8.00,红头鱼,山东,none,2018-09-04,水产品,元/公斤
华东,8.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,11.50,6.00,面条鱼,山东,none,2018-09-04,水产品,元/公斤
华东,26.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,32.00,22.00,偏口鱼,山东,none,2018-09-04,水产品,元/公斤
华东,50.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,52.00,40.00,刀鱼,山东,none,2018-09-04,水产品,元/公斤
华东,52.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,80.00,36.00,尖蟹,山东,none,2018-09-04,水产品,元/公斤
华东,50.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,60.00,16.00,石蟹,山东,none,2018-09-04,水产品,元/公斤
华东,180.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,240.00,160.00,鲳鱼,山东,none,2018-09-04,水产品,元/公斤
华东,20.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,46.00,12.00,海螺,山东,none,2018-09-04,水产品,元/公斤
华东,46.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,50.00,40.00,黄花鱼,山东,none,2018-09-04,水产品,元/公斤
华东,16.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,18.00,14.00,鳗鱼,山东,none,2018-09-04,水产品,元/公斤
华东,15.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,18.00,14.00,草鱼,山东,none,2018-09-04,水产品,元/公斤
华东,46.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,60.00,36.00,养殖虾,山东,none,2018-09-04,水产品,元/公斤
华东,26.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,30.00,20.00,老板鱼,山东,none,2018-09-04,水产品,元/公斤
华东,44.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,48.00,40.00,高眼鲽鱼,山东,none,2018-09-04,水产品,元/公斤
华东,22.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,24.00,20.00,大头鱼,山东,none,2018-09-04,水产品,元/公斤
华东,12.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,16.00,8.00,逛鱼,山东,none,2018-09-04,水产品,元/公斤
华东,34.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,40.00,30.00,鱿鱼,山东,none,2018-09-04,水产品,元/公斤
华东,28.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,36.00,20.00,舌头鱼,山东,none,2018-09-04,水产品,元/公斤
华东,4.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,5.00,3.60,烟台红富士,山东,none,2018-09-04,果品,元/公斤
华东,2.80,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.00,2.60,阳信梨,山东,none,2018-09-04,果品,元/公斤
华东,8.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,9.00,8.00,圣女果,山东,none,2018-09-04,果品,元/公斤
华东,3.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,4.00,2.80,伏金帅苹果,山东,none,2018-09-04,果品,元/公斤
华东,2.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,2.40,2.00,富士苹果,山东,none,2018-09-04,果品,元/公斤
华东,3.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.20,2.60,黄金梨,山东,none,2018-09-04,果品,元/公斤
华东,3.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.60,3.00,丰水梨,山东,none,2018-09-04,果品,元/公斤
华东,8.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,9.00,7.00,火龙果,山东,none,2018-09-04,果品,元/公斤
华东,8.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,9.00,7.00,玫瑰香,山东,none,2018-09-04,果品,元/公斤
华东,9.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,9.00,6.00,芒果,山东,none,2018-09-04,果品,元/公斤
华东,4.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,5.00,2.80,香蕉,山东,none,2018-09-04,果品,元/公斤
华东,3.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,4.00,2.40,毛桃,山东,none,2018-09-04,果品,元/公斤
华东,2.20,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,2.40,2.00,大西瓜,山东,none,2018-09-04,果品,元/公斤
华东,3.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,4.20,3.20,富士苹果,山东,none,2018-09-04,果品,元/公斤
华东,2.20,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,2.40,2.10,东北西瓜,山东,none,2018-09-04,果品,元/公斤
华东,7.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,8.00,6.00,小台芒果,山东,none,2018-09-04,果品,元/公斤
华东,2.20,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.00,0.80,小毛桃,山东,none,2018-09-04,果品,元/公斤
华东,9.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,9.00,7.00,荔枝,山东,none,2018-09-04,果品,元/公斤
华东,30.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2018-09-03,副食品,元/公斤
华东,25.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2018-09-03,副食品,元/公斤
华东,26.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡胗,山东,none,2018-09-03,副食品,元/公斤
华东,42.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2018-09-03,副食品,元/公斤
华东,70.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2018-09-03,副食品,元/公斤
华东,21.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪前肘,山东,none,2018-09-03,副食品,元/公斤
华东,20.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,白条肉,山东,none,2018-09-03,副食品,元/公斤
华东,52.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2018-09-03,副食品,元/公斤
华东,21.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪后肘,山东,none,2018-09-03,副食品,元/公斤
华东,16.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2018-09-03,副食品,元/公斤
华东,24.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,精猪肉,山东,none,2018-09-03,副食品,元/公斤
华东,6.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡脖,山东,none,2018-09-03,副食品,元/公斤
华东,70.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊肉,山东,none,2018-09-02,副食品,元/公斤
华东,52.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,羊排,山东,none,2018-09-02,副食品,元/公斤
华东,30.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪肋排,山东,none,2018-09-02,副食品,元/公斤
华东,42.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅中,山东,none,2018-09-02,副食品,元/公斤
华东,25.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,猪大排,山东,none,2018-09-02,副食品,元/公斤
华东,16.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,0.00,0.00,鸡翅根,山东,none,2018-09-02,副食品,元/公斤
华东,5.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,4.40,藕,山东,none,2018-09-04,蔬菜,元/公斤
华东,26.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,36.00,20.00,香菜,山东,none,2018-09-04,蔬菜,元/公斤
华东,6.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,8.00,5.60,菜花,山东,none,2018-09-04,蔬菜,元/公斤
华东,3.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,4.00,2.40,大头菜,山东,none,2018-09-04,蔬菜,元/公斤
华东,2.20,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.60,1.60,黄豆芽,山东,none,2018-09-04,蔬菜,元/公斤
华东,6.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,7.00,6.00,毛豆,山东,none,2018-09-04,蔬菜,元/公斤
华东,8.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,9.00,5.00,红尖椒,山东,none,2018-09-04,蔬菜,元/公斤
华东,17.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,19.00,12.00,当地菠菜,山东,none,2018-09-04,蔬菜,元/公斤
华东,2.40,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.00,2.00,土豆,山东,none,2018-09-04,蔬菜,元/公斤
华东,5.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,5.00,1.60,水萝卜,山东,none,2018-09-04,蔬菜,元/公斤
华东,20.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,24.00,16.00,扁豆,山东,none,2018-09-04,蔬菜,元/公斤
华东,5.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,3.00,大蒜,山东,none,2018-09-04,蔬菜,元/公斤
华东,9.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,15.00,8.00,山药,山东,none,2018-09-04,蔬菜,元/公斤
华东,3.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,3.60,2.00,莴苣,山东,none,2018-09-04,蔬菜,元/公斤
华东,9.00,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,10.00,7.00,西兰花,山东,none,2018-09-04,蔬菜,元/公斤
华东,3.60,none,2018-09-04,青岛市城阳蔬菜水产品批发市场,6.00,2.00,韭菜,山东,none,2018-09-04,蔬菜,元/公斤
