area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,8.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,9.00,6.00,生姜,山东,none,2018-09-05,蔬菜,元/公斤
华东,4.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,5.00,3.60,南瓜,山东,none,2018-09-05,蔬菜,元/公斤
华东,6.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,8.00,5.00,丝瓜,山东,none,2018-09-05,蔬菜,元/公斤
华东,9.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,10.00,7.00,西兰花,山东,none,2018-09-05,蔬菜,元/公斤
华东,3.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,3.40,2.40,拉瓜,山东,none,2018-09-05,蔬菜,元/公斤
华东,9.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,12.00,8.00,芋头,山东,none,2018-09-05,蔬菜,元/公斤
华东,4.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,6.00,4.00,当地小白菜,山东,none,2018-09-05,蔬菜,元/公斤
华东,6.40,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,7.60,5.60,菜花,山东,none,2018-09-05,蔬菜,元/公斤
华东,2.80,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,3.60,2.20,大白菜,山东,none,2018-09-05,蔬菜,元/公斤
华东,3.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,4.40,2.60,胡瓜,山东,none,2018-09-05,蔬菜,元/公斤
华东,1.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,2.40,1.00,元葱,山东,none,2018-09-05,蔬菜,元/公斤
华东,5.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,5.60,4.00,茭瓜,山东,none,2018-09-05,蔬菜,元/公斤
华东,5.40,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,6.40,3.60,西芹,山东,none,2018-09-05,蔬菜,元/公斤
华东,6.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,6.60,3.60,蒜薹,山东,none,2018-09-05,蔬菜,元/公斤
华东,3.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,3.60,2.00,莴苣,山东,none,2018-09-05,蔬菜,元/公斤
华东,3.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,6.00,2.00,韭菜,山东,none,2018-09-05,蔬菜,元/公斤
华东,3.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,5.00,3.20,地瓜,山东,none,2018-09-05,蔬菜,元/公斤
华东,7.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,7.60,5.00,黄瓜,山东,none,2018-09-05,蔬菜,元/公斤
华东,26.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,28.00,22.00,冬枣,山东,none,2018-09-05,果品,元/公斤
华东,7.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,8.00,4.00,巨峰葡萄,山东,none,2018-09-05,果品,元/公斤
华东,4.40,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,5.00,4.00,伏苹果,山东,none,2018-09-05,果品,元/公斤
华东,2.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,3.00,2.20,雪梨,山东,none,2018-09-05,果品,元/公斤
华东,3.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,4.00,2.40,毛桃,山东,none,2018-09-05,果品,元/公斤
华东,8.40,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,9.00,7.00,火龙果,山东,none,2018-09-05,果品,元/公斤
华东,3.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,4.00,2.80,伏金帅苹果,山东,none,2018-09-05,果品,元/公斤
华东,6.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,7.00,5.40,哈密瓜,山东,none,2018-09-05,果品,元/公斤
华东,2.80,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,3.40,2.40,伊丽莎白,山东,none,2018-09-05,果品,元/公斤
华东,3.40,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,4.00,2.80,李子,山东,none,2018-09-05,果品,元/公斤
华东,2.20,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,2.40,2.00,大西瓜,山东,none,2018-09-05,果品,元/公斤
华东,2.80,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,3.00,2.60,阳信梨,山东,none,2018-09-05,果品,元/公斤
华东,3.60,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,4.00,3.00,甜瓜,山东,none,2018-09-05,果品,元/公斤
华东,7.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,9.00,6.00,油桃,山东,none,2018-09-05,果品,元/公斤
华东,28.00,none,2018-09-05,青岛市城阳蔬菜水产品批发市场,30.00,26.00,榴莲,山东,none,2018-09-05,果品,元/公斤
