area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
东北,3.20,none,2018-09-05,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-30,蔬菜,元/斤
东北,3.20,none,2018-09-05,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-23,蔬菜,元/斤
东北,3.20,none,2018-09-05,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-22,蔬菜,元/斤
东北,3.20,none,2018-09-05,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-20,蔬菜,元/斤
华北,2.30,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-30,蔬菜,元/斤
华北,2.30,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-27,蔬菜,元/斤
华北,2.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-24,蔬菜,元/斤
华北,2.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,2.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,2.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-21,蔬菜,元/斤
华北,1.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-20,蔬菜,元/斤
华北,1.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,小白菜,内蒙古,none,2018-08-17,蔬菜,元/斤
华北,0.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西瓜,内蒙古,none,2018-08-25,蔬菜,元/斤
华北,0.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西瓜,内蒙古,none,2018-08-23,蔬菜,元/斤
华北,0.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西瓜,内蒙古,none,2018-08-22,蔬菜,元/斤
华北,0.50,none,2018-09-05,呼和浩特市美通首府无公害农产品批发市场,0.00,0.00,西瓜,内蒙古,none,2018-08-20,蔬菜,元/斤
