area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-25,蔬菜,元/斤
华东,1.55,none,2018-08-27,上海农产品中心批发市场,1.70,1.40,韭菜,上海,none,2018-08-24,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-23,蔬菜,元/斤
华东,1.60,none,2018-08-27,上海农产品中心批发市场,1.70,1.50,韭菜,上海,none,2018-08-22,蔬菜,元/斤
华东,1.40,none,2018-08-27,上海农产品中心批发市场,1.50,1.30,韭菜,上海,none,2018-08-20,蔬菜,元/斤
华东,1.30,none,2018-08-27,上海农产品中心批发市场,1.50,1.10,韭菜,上海,none,2018-08-18,蔬菜,元/斤
华东,1.55,none,2018-08-27,上海农产品中心批发市场,1.70,1.40,韭菜,上海,none,2018-08-15,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-13,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海农产品中心批发市场,1.50,1.40,韭菜,上海,none,2018-08-12,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海农产品中心批发市场,1.50,1.40,韭菜,上海,none,2018-08-11,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-09,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海农产品中心批发市场,1.50,1.40,韭菜,上海,none,2018-08-08,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-07,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-06,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-05,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-04,蔬菜,元/斤
华东,1.55,none,2018-08-27,上海农产品中心批发市场,1.70,1.40,韭菜,上海,none,2018-08-03,蔬菜,元/斤
华东,1.50,none,2018-08-27,上海农产品中心批发市场,1.60,1.40,韭菜,上海,none,2018-08-02,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海农产品中心批发市场,1.50,1.40,韭菜,上海,none,2018-08-01,蔬菜,元/斤
华东,1.40,none,2018-08-27,上海农产品中心批发市场,1.50,1.30,韭菜,上海,none,2018-07-31,蔬菜,元/斤
华东,1.05,none,2018-08-27,上海农产品中心批发市场,1.10,1.00,韭菜,上海,none,2018-07-15,蔬菜,元/斤
华东,1.05,none,2018-08-27,上海农产品中心批发市场,1.10,1.00,韭菜,上海,none,2018-07-14,蔬菜,元/斤
华东,0.90,none,2018-08-27,上海农产品中心批发市场,1.00,0.80,韭菜,上海,none,2018-07-07,蔬菜,元/斤
华东,0.90,none,2018-08-27,上海农产品中心批发市场,1.00,0.80,韭菜,上海,none,2018-07-01,蔬菜,元/斤
华东,0.95,none,2018-08-27,上海农产品中心批发市场,1.00,0.90,韭菜,上海,none,2018-06-23,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海农产品中心批发市场,3.70,1.20,青椒,上海,none,2018-08-25,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海农产品中心批发市场,3.70,1.20,青椒,上海,none,2018-08-24,蔬菜,元/斤
华东,2.35,none,2018-08-27,上海农产品中心批发市场,3.50,1.20,青椒,上海,none,2018-08-23,蔬菜,元/斤
华东,2.35,none,2018-08-27,上海农产品中心批发市场,3.50,1.20,青椒,上海,none,2018-08-22,蔬菜,元/斤
华东,2.15,none,2018-08-27,上海农产品中心批发市场,3.10,1.20,青椒,上海,none,2018-08-20,蔬菜,元/斤
华东,2.05,none,2018-08-27,上海农产品中心批发市场,2.90,1.20,青椒,上海,none,2018-08-18,蔬菜,元/斤
华东,1.90,none,2018-08-27,上海农产品中心批发市场,2.60,1.20,青椒,上海,none,2018-08-15,蔬菜,元/斤
华东,1.90,none,2018-08-27,上海农产品中心批发市场,2.60,1.20,青椒,上海,none,2018-08-12,蔬菜,元/斤
华东,1.90,none,2018-08-27,上海农产品中心批发市场,2.60,1.20,青椒,上海,none,2018-08-11,蔬菜,元/斤
华东,1.92,none,2018-08-27,上海农产品中心批发市场,2.65,1.20,青椒,上海,none,2018-08-08,蔬菜,元/斤
华东,1.95,none,2018-08-27,上海农产品中心批发市场,2.70,1.20,青椒,上海,none,2018-08-07,蔬菜,元/斤
华东,1.95,none,2018-08-27,上海农产品中心批发市场,2.70,1.20,青椒,上海,none,2018-08-06,蔬菜,元/斤
华东,1.95,none,2018-08-27,上海农产品中心批发市场,2.70,1.20,青椒,上海,none,2018-08-05,蔬菜,元/斤
华东,1.95,none,2018-08-27,上海农产品中心批发市场,2.70,1.20,青椒,上海,none,2018-08-04,蔬菜,元/斤
华东,1.90,none,2018-08-27,上海农产品中心批发市场,2.60,1.20,青椒,上海,none,2018-08-03,蔬菜,元/斤
华东,1.90,none,2018-08-27,上海农产品中心批发市场,2.60,1.20,青椒,上海,none,2018-08-02,蔬菜,元/斤
华东,1.85,none,2018-08-27,上海农产品中心批发市场,2.50,1.20,青椒,上海,none,2018-08-01,蔬菜,元/斤
华东,1.95,none,2018-08-27,上海农产品中心批发市场,2.70,1.20,青椒,上海,none,2018-07-31,蔬菜,元/斤
华东,2.35,none,2018-08-27,上海农产品中心批发市场,3.10,1.60,青椒,上海,none,2018-07-15,蔬菜,元/斤
华东,2.35,none,2018-08-27,上海农产品中心批发市场,3.10,1.60,青椒,上海,none,2018-07-14,蔬菜,元/斤
华东,2.40,none,2018-08-27,上海农产品中心批发市场,3.10,1.70,青椒,上海,none,2018-07-07,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海农产品中心批发市场,3.10,1.80,青椒,上海,none,2018-07-01,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海农产品中心批发市场,3.20,1.70,青椒,上海,none,2018-06-23,蔬菜,元/斤
华东,2.20,none,2018-08-27,上海农产品中心批发市场,2.80,1.60,青椒,上海,none,2018-06-10,蔬菜,元/斤
华东,2.55,none,2018-08-27,上海农产品中心批发市场,3.10,2.00,青椒,上海,none,2018-06-03,蔬菜,元/斤
华东,2.65,none,2018-08-27,上海农产品中心批发市场,3.80,1.50,黄瓜,上海,none,2018-08-25,蔬菜,元/斤
