area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,4.27,0.60,茄子,上海,none,2018-08-25,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,4.27,0.60,茄子,上海,none,2018-08-24,蔬菜,元/斤
华东,1.44,none,2018-08-27,上海市江桥批发市场经营管理有限公司,4.27,0.60,茄子,上海,none,2018-08-23,蔬菜,元/斤
华东,1.44,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.65,0.60,茄子,上海,none,2018-08-22,蔬菜,元/斤
华东,1.56,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.20,0.40,茄子,上海,none,2018-08-20,蔬菜,元/斤
华东,1.51,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.80,0.50,茄子,上海,none,2018-08-18,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.80,0.50,茄子,上海,none,2018-08-15,蔬菜,元/斤
华东,1.53,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.00,0.60,茄子,上海,none,2018-08-11,蔬菜,元/斤
华东,1.48,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.00,0.60,茄子,上海,none,2018-08-08,蔬菜,元/斤
华东,1.36,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.55,0.60,茄子,上海,none,2018-08-07,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.55,0.60,茄子,上海,none,2018-08-06,蔬菜,元/斤
华东,1.41,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.37,0.60,茄子,上海,none,2018-08-05,蔬菜,元/斤
华东,1.51,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.50,0.60,茄子,上海,none,2018-08-04,蔬菜,元/斤
华东,1.51,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.50,0.60,茄子,上海,none,2018-08-03,蔬菜,元/斤
华东,1.51,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.50,0.60,茄子,上海,none,2018-08-02,蔬菜,元/斤
华东,1.51,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.50,0.60,茄子,上海,none,2018-08-01,蔬菜,元/斤
华东,1.61,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.50,0.60,茄子,上海,none,2018-07-31,蔬菜,元/斤
华东,1.43,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.85,0.60,茄子,上海,none,2018-07-14,蔬菜,元/斤
华东,1.57,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.50,0.52,茄子,上海,none,2018-07-01,蔬菜,元/斤
华东,1.64,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.50,0.50,茄子,上海,none,2018-06-23,蔬菜,元/斤
华东,1.78,none,2018-08-27,上海市江桥批发市场经营管理有限公司,4.50,0.90,茄子,上海,none,2018-06-10,蔬菜,元/斤
华东,1.70,none,2018-08-27,上海市江桥批发市场经营管理有限公司,4.00,0.90,茄子,上海,none,2018-06-03,蔬菜,元/斤
华东,1.70,none,2018-08-27,上海市江桥批发市场经营管理有限公司,4.00,0.90,茄子,上海,none,2018-05-29,蔬菜,元/斤
华东,1.69,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.20,0.80,茄子,上海,none,2018-05-25,蔬菜,元/斤
华东,1.69,none,2018-08-27,上海市江桥批发市场经营管理有限公司,3.20,0.80,茄子,上海,none,2018-05-24,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.50,2.40,大葱,上海,none,2018-08-25,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.50,2.40,大葱,上海,none,2018-08-24,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.50,2.40,大葱,上海,none,2018-08-23,蔬菜,元/斤
华东,2.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.50,2.40,大葱,上海,none,2018-08-22,蔬菜,元/斤
华东,1.95,none,2018-08-27,上海市江桥批发市场经营管理有限公司,2.00,1.90,大葱,上海,none,2018-08-20,蔬菜,元/斤
华东,1.85,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.90,1.80,大葱,上海,none,2018-08-18,蔬菜,元/斤
华东,1.65,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.70,1.60,大葱,上海,none,2018-08-15,蔬菜,元/斤
华东,1.65,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.70,1.60,大葱,上海,none,2018-08-13,蔬菜,元/斤
华东,1.65,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.70,1.60,大葱,上海,none,2018-08-11,蔬菜,元/斤
华东,1.65,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.70,1.60,大葱,上海,none,2018-08-09,蔬菜,元/斤
华东,1.65,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.70,1.60,大葱,上海,none,2018-08-08,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.50,1.40,大葱,上海,none,2018-08-07,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.50,1.40,大葱,上海,none,2018-08-06,蔬菜,元/斤
华东,1.45,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.50,1.40,大葱,上海,none,2018-08-05,蔬菜,元/斤
华东,1.25,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.30,1.20,大葱,上海,none,2018-08-04,蔬菜,元/斤
华东,1.25,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.30,1.20,大葱,上海,none,2018-08-03,蔬菜,元/斤
华东,1.25,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.30,1.20,大葱,上海,none,2018-08-02,蔬菜,元/斤
华东,1.25,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.30,1.20,大葱,上海,none,2018-08-01,蔬菜,元/斤
华东,1.25,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.30,1.20,大葱,上海,none,2018-07-31,蔬菜,元/斤
华东,1.15,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.20,1.10,大葱,上海,none,2018-07-14,蔬菜,元/斤
华东,1.05,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,1.00,大葱,上海,none,2018-07-07,蔬菜,元/斤
华东,1.05,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,1.00,大葱,上海,none,2018-07-01,蔬菜,元/斤
华东,1.07,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.15,1.05,大葱,上海,none,2018-06-23,蔬菜,元/斤
华东,1.35,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.40,1.30,大葱,上海,none,2018-06-03,蔬菜,元/斤
华东,1.40,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.60,1.30,大葱,上海,none,2018-05-29,蔬菜,元/斤
华东,0.93,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-25,蔬菜,元/斤
华东,0.93,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-24,蔬菜,元/斤
华东,0.93,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-23,蔬菜,元/斤
华东,0.92,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-22,蔬菜,元/斤
华东,0.92,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-20,蔬菜,元/斤
华东,0.87,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-18,蔬菜,元/斤
华东,0.89,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-15,蔬菜,元/斤
华东,0.89,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-13,蔬菜,元/斤
华东,0.93,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-11,蔬菜,元/斤
华东,0.93,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-09,蔬菜,元/斤
华东,0.93,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-08,蔬菜,元/斤
华东,0.94,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-07,蔬菜,元/斤
华东,0.93,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-06,蔬菜,元/斤
华东,0.90,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-05,蔬菜,元/斤
华东,0.92,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-04,蔬菜,元/斤
华东,0.92,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-03,蔬菜,元/斤
华东,0.92,none,2018-08-27,上海市江桥批发市场经营管理有限公司,1.10,0.80,韭菜,上海,none,2018-08-02,蔬菜,元/斤
