area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.30,none,2018-08-24,两湖绿谷物流股份有限公司,1.40,1.20,青椒,湖北,none,2018-08-18,蔬菜,元/斤
华中,1.10,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,1.00,青椒,湖北,none,2018-08-15,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,青椒,湖北,none,2018-08-11,蔬菜,元/斤
华中,1.20,none,2018-08-24,两湖绿谷物流股份有限公司,1.30,1.10,青椒,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.80,none,2018-08-24,两湖绿谷物流股份有限公司,1.90,1.50,青椒,湖北,none,2018-08-07,蔬菜,元/斤
华中,1.80,none,2018-08-24,两湖绿谷物流股份有限公司,1.90,1.50,青椒,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.70,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.60,青椒,湖北,none,2018-08-04,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,青椒,湖北,none,2018-08-03,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.70,1.50,青椒,湖北,none,2018-08-02,蔬菜,元/斤
华中,1.90,none,2018-08-24,两湖绿谷物流股份有限公司,2.00,1.80,青椒,湖北,none,2018-08-01,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,青椒,湖北,none,2018-07-31,蔬菜,元/斤
华中,0.65,none,2018-08-24,两湖绿谷物流股份有限公司,0.70,0.60,青椒,湖北,none,2018-07-14,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.10,0.70,青椒,湖北,none,2018-07-07,蔬菜,元/斤
华中,0.60,none,2018-08-24,两湖绿谷物流股份有限公司,0.65,0.50,青椒,湖北,none,2018-06-23,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.10,0.90,青椒,湖北,none,2018-05-29,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,青椒,湖北,none,2018-05-25,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,青椒,湖北,none,2018-05-24,蔬菜,元/斤
华中,1.30,none,2018-08-24,两湖绿谷物流股份有限公司,1.40,1.20,青椒,湖北,none,2018-05-16,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,青椒,湖北,none,2018-05-08,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,青椒,湖北,none,2018-05-03,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,青椒,湖北,none,2018-05-02,蔬菜,元/斤
华中,1.80,none,2018-08-24,两湖绿谷物流股份有限公司,1.95,1.70,青椒,湖北,none,2018-04-28,蔬菜,元/斤
华中,2.60,none,2018-08-24,两湖绿谷物流股份有限公司,2.70,2.50,青椒,湖北,none,2018-04-27,蔬菜,元/斤
华中,2.60,none,2018-08-24,两湖绿谷物流股份有限公司,2.70,2.50,青椒,湖北,none,2018-04-26,蔬菜,元/斤
华中,2.60,none,2018-08-24,两湖绿谷物流股份有限公司,2.70,2.50,青椒,湖北,none,2018-04-25,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,黄瓜,湖北,none,2018-08-18,蔬菜,元/斤
华中,1.20,none,2018-08-24,两湖绿谷物流股份有限公司,1.30,1.10,黄瓜,湖北,none,2018-08-15,蔬菜,元/斤
华中,1.10,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,1.00,黄瓜,湖北,none,2018-08-11,蔬菜,元/斤
华中,1.20,none,2018-08-24,两湖绿谷物流股份有限公司,1.30,1.10,黄瓜,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.50,黄瓜,湖北,none,2018-08-07,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.50,黄瓜,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.70,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.60,黄瓜,湖北,none,2018-08-04,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.10,0.90,黄瓜,湖北,none,2018-08-03,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.10,0.90,黄瓜,湖北,none,2018-08-02,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,黄瓜,湖北,none,2018-08-01,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.10,0.90,黄瓜,湖北,none,2018-07-31,蔬菜,元/斤
华中,1.30,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.20,黄瓜,湖北,none,2018-07-14,蔬菜,元/斤
华中,0.70,none,2018-08-24,两湖绿谷物流股份有限公司,0.80,0.60,黄瓜,湖北,none,2018-06-23,蔬菜,元/斤
华中,1.70,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.60,黄瓜,湖北,none,2018-05-29,蔬菜,元/斤
华中,0.90,none,2018-08-24,两湖绿谷物流股份有限公司,1.00,0.80,黄瓜,湖北,none,2018-05-25,蔬菜,元/斤
华中,0.90,none,2018-08-24,两湖绿谷物流股份有限公司,1.00,0.80,黄瓜,湖北,none,2018-05-24,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,黄瓜,湖北,none,2018-05-16,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,黄瓜,湖北,none,2018-05-08,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.10,0.90,黄瓜,湖北,none,2018-05-03,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,0.90,黄瓜,湖北,none,2018-05-02,蔬菜,元/斤
华中,1.10,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,1.00,黄瓜,湖北,none,2018-04-28,蔬菜,元/斤
华中,1.90,none,2018-08-24,两湖绿谷物流股份有限公司,2.10,1.80,黄瓜,湖北,none,2018-04-27,蔬菜,元/斤
华中,2.10,none,2018-08-24,两湖绿谷物流股份有限公司,2.20,2.00,黄瓜,湖北,none,2018-04-26,蔬菜,元/斤
华中,2.00,none,2018-08-24,两湖绿谷物流股份有限公司,2.20,1.80,黄瓜,湖北,none,2018-04-25,蔬菜,元/斤
华中,2.00,none,2018-08-24,两湖绿谷物流股份有限公司,2.20,1.80,黄瓜,湖北,none,2018-04-24,蔬菜,元/斤
华中,1.70,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.60,芹菜,湖北,none,2018-08-18,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.50,芹菜,湖北,none,2018-08-15,蔬菜,元/斤
华中,1.80,none,2018-08-24,两湖绿谷物流股份有限公司,1.90,1.70,芹菜,湖北,none,2018-08-13,蔬菜,元/斤
华中,1.70,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.60,芹菜,湖北,none,2018-08-11,蔬菜,元/斤
华中,1.70,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.60,芹菜,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.50,芹菜,湖北,none,2018-08-07,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.50,芹菜,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.70,1.50,芹菜,湖北,none,2018-08-04,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.20,芹菜,湖北,none,2018-08-03,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.20,芹菜,湖北,none,2018-08-02,蔬菜,元/斤
华中,1.10,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,1.00,芹菜,湖北,none,2018-08-01,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,芹菜,湖北,none,2018-07-31,蔬菜,元/斤
华中,1.10,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,1.00,芹菜,湖北,none,2018-07-14,蔬菜,元/斤
华中,1.10,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,0.90,芹菜,湖北,none,2018-07-07,蔬菜,元/斤
华中,0.90,none,2018-08-24,两湖绿谷物流股份有限公司,1.00,0.60,芹菜,湖北,none,2018-06-23,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,芹菜,湖北,none,2018-05-29,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.70,1.50,芹菜,湖北,none,2018-05-25,蔬菜,元/斤
华中,1.60,none,2018-08-24,两湖绿谷物流股份有限公司,1.70,1.50,芹菜,湖北,none,2018-05-24,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,芹菜,湖北,none,2018-05-23,蔬菜,元/斤
华中,2.10,none,2018-08-24,两湖绿谷物流股份有限公司,2.20,1.30,芹菜,湖北,none,2018-05-22,蔬菜,元/斤
华中,3.20,none,2018-08-24,两湖绿谷物流股份有限公司,3.50,3.00,芹菜,湖北,none,2018-05-16,蔬菜,元/斤
华中,3.10,none,2018-08-24,两湖绿谷物流股份有限公司,3.40,2.90,芹菜,湖北,none,2018-05-15,蔬菜,元/斤
华中,2.30,none,2018-08-24,两湖绿谷物流股份有限公司,2.40,2.20,芹菜,湖北,none,2018-05-08,蔬菜,元/斤
华中,1.90,none,2018-08-24,两湖绿谷物流股份有限公司,2.00,1.80,芹菜,湖北,none,2018-05-03,蔬菜,元/斤
华中,1.90,none,2018-08-24,两湖绿谷物流股份有限公司,2.00,1.80,芹菜,湖北,none,2018-05-02,蔬菜,元/斤
华中,0.70,none,2018-08-24,两湖绿谷物流股份有限公司,0.80,0.60,西红柿,湖北,none,2018-08-18,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,0.90,西红柿,湖北,none,2018-08-15,蔬菜,元/斤
华中,1.30,none,2018-08-24,两湖绿谷物流股份有限公司,1.40,1.20,西红柿,湖北,none,2018-08-11,蔬菜,元/斤
华中,0.95,none,2018-08-24,两湖绿谷物流股份有限公司,1.00,0.90,西红柿,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,0.95,西红柿,湖北,none,2018-08-07,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.20,0.90,西红柿,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.00,none,2018-08-24,两湖绿谷物流股份有限公司,1.10,0.90,西红柿,湖北,none,2018-08-04,蔬菜,元/斤
华中,1.40,none,2018-08-24,两湖绿谷物流股份有限公司,1.50,1.30,西红柿,湖北,none,2018-08-03,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,西红柿,湖北,none,2018-08-02,蔬菜,元/斤
华中,1.90,none,2018-08-24,两湖绿谷物流股份有限公司,2.00,1.80,西红柿,湖北,none,2018-08-01,蔬菜,元/斤
华中,1.50,none,2018-08-24,两湖绿谷物流股份有限公司,1.60,1.40,西红柿,湖北,none,2018-07-31,蔬菜,元/斤
华中,1.70,none,2018-08-24,两湖绿谷物流股份有限公司,1.80,1.60,西红柿,湖北,none,2018-07-14,蔬菜,元/斤
华中,1.30,none,2018-08-24,两湖绿谷物流股份有限公司,1.40,1.20,西红柿,湖北,none,2018-07-07,蔬菜,元/斤
