area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.22,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.80,0.70,菜花,山东,none,2018-08-18,蔬菜,元/斤
华东,1.17,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.10,0.50,菜花,山东,none,2018-08-15,蔬菜,元/斤
华东,1.30,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.70,0.90,菜花,山东,none,2018-08-12,蔬菜,元/斤
华东,1.14,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.70,0.50,菜花,山东,none,2018-08-11,蔬菜,元/斤
华东,1.60,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.00,1.00,菜花,山东,none,2018-08-08,蔬菜,元/斤
华东,1.84,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.10,0.80,菜花,山东,none,2018-08-07,蔬菜,元/斤
华东,1.65,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.10,1.00,菜花,山东,none,2018-08-06,蔬菜,元/斤
华东,1.80,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.20,1.50,菜花,山东,none,2018-08-02,蔬菜,元/斤
华东,1.60,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.30,1.00,菜花,山东,none,2018-08-01,蔬菜,元/斤
华东,1.81,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.40,1.00,菜花,山东,none,2018-07-31,蔬菜,元/斤
华东,0.80,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.00,0.50,菜花,山东,none,2018-07-01,蔬菜,元/斤
华东,0.61,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.95,0.30,菜花,山东,none,2018-06-23,蔬菜,元/斤
华东,1.53,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.40,1.00,菜花,山东,none,2018-06-10,蔬菜,元/斤
华东,1.30,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.20,1.10,菜花,山东,none,2018-05-25,蔬菜,元/斤
华东,1.02,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.30,0.70,菜花,山东,none,2018-05-24,蔬菜,元/斤
华东,0.97,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.00,0.80,菜花,山东,none,2018-05-23,蔬菜,元/斤
华东,1.29,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.25,0.80,菜花,山东,none,2018-05-22,蔬菜,元/斤
华东,1.43,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.50,0.50,菜花,山东,none,2018-05-20,蔬菜,元/斤
华东,1.38,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.50,1.00,菜花,山东,none,2018-05-16,蔬菜,元/斤
华东,1.62,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.00,0.90,菜花,山东,none,2018-05-12,蔬菜,元/斤
华东,1.69,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.00,1.50,菜花,山东,none,2018-05-08,蔬菜,元/斤
华东,1.27,none,2018-08-25,中国寿光地利农产品物流园有限公司,1.80,0.60,菜花,山东,none,2018-05-06,蔬菜,元/斤
华东,1.68,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.00,1.20,菜花,山东,none,2018-05-03,蔬菜,元/斤
华东,1.65,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.35,1.20,菜花,山东,none,2018-05-02,蔬菜,元/斤
华东,1.73,none,2018-08-25,中国寿光地利农产品物流园有限公司,2.20,0.90,菜花,山东,none,2018-05-01,蔬菜,元/斤
华东,0.65,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.75,0.60,白萝卜,山东,none,2018-08-18,蔬菜,元/斤
华东,0.70,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.80,0.60,白萝卜,山东,none,2018-08-15,蔬菜,元/斤
华东,0.70,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.75,0.60,白萝卜,山东,none,2018-08-13,蔬菜,元/斤
华东,0.60,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.60,0.60,白萝卜,山东,none,2018-08-09,蔬菜,元/斤
华东,0.50,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.60,0.25,白萝卜,山东,none,2018-08-02,蔬菜,元/斤
华东,0.55,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.60,0.25,白萝卜,山东,none,2018-08-01,蔬菜,元/斤
华东,0.48,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.60,0.15,白萝卜,山东,none,2018-07-31,蔬菜,元/斤
华东,0.39,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.50,0.25,白萝卜,山东,none,2018-07-15,蔬菜,元/斤
华东,0.44,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.55,0.40,白萝卜,山东,none,2018-07-14,蔬菜,元/斤
华东,0.49,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.60,0.25,白萝卜,山东,none,2018-07-07,蔬菜,元/斤
华东,0.41,none,2018-08-25,中国寿光地利农产品物流园有限公司,0.60,0.15,白萝卜,山东,none,2018-06-23,蔬菜,元/斤
