area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.75,none,2018-08-26,保定市工农路蔬菜果品批发市场,0.80,0.70,大白菜,河北,none,2017-09-28,蔬菜,元/斤
华北,1.30,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.50,1.20,大白菜,河北,none,2017-02-27,蔬菜,元/斤
华北,1.40,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.50,1.30,大白菜,河北,none,2017-02-13,蔬菜,元/斤
华北,0.90,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.00,0.80,西红柿,河北,none,2017-09-28,蔬菜,元/斤
华北,1.60,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.70,1.50,大白菜,河北,none,2017-02-01,蔬菜,元/斤
华北,2.10,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.20,2.00,西红柿,河北,none,2017-02-27,蔬菜,元/斤
华北,1.60,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.70,1.50,大白菜,河北,none,2017-01-26,蔬菜,元/斤
华北,2.70,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.80,2.50,西红柿,河北,none,2017-02-13,蔬菜,元/斤
华北,1.60,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.70,1.50,大白菜,河北,none,2017-01-25,蔬菜,元/斤
华北,2.20,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.40,2.10,西红柿,河北,none,2017-02-01,蔬菜,元/斤
华北,1.60,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.70,1.50,大白菜,河北,none,2017-01-23,蔬菜,元/斤
华北,2.10,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.20,2.00,西红柿,河北,none,2017-01-26,蔬菜,元/斤
华北,1.60,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.70,1.50,大白菜,河北,none,2017-01-22,蔬菜,元/斤
华北,2.10,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.20,2.00,西红柿,河北,none,2017-01-22,蔬菜,元/斤
华北,0.90,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.00,0.80,土豆,河北,none,2017-09-28,蔬菜,元/斤
华北,1.30,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.40,1.20,土豆,河北,none,2017-02-27,蔬菜,元/斤
华北,1.35,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.40,1.30,土豆,河北,none,2017-02-13,蔬菜,元/斤
华北,1.50,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.60,1.40,土豆,河北,none,2017-02-01,蔬菜,元/斤
华北,1.50,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.60,1.40,土豆,河北,none,2017-01-26,蔬菜,元/斤
华北,1.50,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.60,1.40,土豆,河北,none,2017-01-25,蔬菜,元/斤
华北,1.50,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.60,1.40,土豆,河北,none,2017-01-22,蔬菜,元/斤
华北,1.25,none,2018-08-26,保定市工农路蔬菜果品批发市场,1.30,1.20,青椒,河北,none,2017-09-28,蔬菜,元/斤
华北,2.20,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.30,2.00,青椒,河北,none,2017-02-27,蔬菜,元/斤
华北,2.50,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.60,2.40,青椒,河北,none,2017-02-13,蔬菜,元/斤
华北,2.40,none,2018-08-26,保定市工农路蔬菜果品批发市场,2.50,2.30,青椒,河北,none,2017-02-01,蔬菜,元/斤
