area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西南,2.50,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,3.00,1.75,豌豆,云南,none,2018-02-22,蔬菜,元/斤
西南,1.37,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.75,1.00,豌豆,云南,none,2017-12-28,蔬菜,元/斤
西南,2.00,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.50,1.50,豌豆,云南,none,2017-12-26,蔬菜,元/斤
西南,1.30,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.75,0.90,樱桃西红柿,云南,none,2018-02-22,蔬菜,元/斤
西南,2.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.75,1.75,樱桃西红柿,云南,none,2018-01-23,蔬菜,元/斤
西南,2.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.70,1.80,樱桃西红柿,云南,none,2017-12-28,蔬菜,元/斤
西南,2.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.75,1.75,樱桃西红柿,云南,none,2017-12-26,蔬菜,元/斤
西南,2.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,3.10,1.40,樱桃西红柿,云南,none,2017-12-13,蔬菜,元/斤
西南,2.50,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.90,1.75,樱桃西红柿,云南,none,2017-12-01,蔬菜,元/斤
西南,2.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.75,1.75,樱桃西红柿,云南,none,2017-11-30,蔬菜,元/斤
西南,2.00,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.50,1.30,樱桃西红柿,云南,none,2017-11-29,蔬菜,元/斤
西南,2.00,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.50,1.25,樱桃西红柿,云南,none,2017-11-23,蔬菜,元/斤
西南,1.95,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.40,1.25,樱桃西红柿,云南,none,2017-11-21,蔬菜,元/斤
西南,1.40,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.80,1.00,樱桃西红柿,云南,none,2017-11-14,蔬菜,元/斤
西南,1.60,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.00,1.25,樱桃西红柿,云南,none,2017-11-09,蔬菜,元/斤
西南,2.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.50,2.00,豇豆,云南,none,2017-12-28,蔬菜,元/斤
西南,2.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.50,2.00,豇豆,云南,none,2017-12-26,蔬菜,元/斤
西南,1.85,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.30,1.40,豇豆,云南,none,2017-12-13,蔬菜,元/斤
西南,2.85,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,3.50,2.00,豇豆,云南,none,2017-12-01,蔬菜,元/斤
西南,2.75,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,3.25,2.00,豇豆,云南,none,2017-11-30,蔬菜,元/斤
西南,1.40,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.80,1.10,豇豆,云南,none,2017-11-29,蔬菜,元/斤
西南,1.40,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.75,1.00,豇豆,云南,none,2017-11-23,蔬菜,元/斤
西南,2.10,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.50,1.65,豇豆,云南,none,2017-11-21,蔬菜,元/斤
西南,2.05,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.30,1.50,豇豆,云南,none,2017-11-14,蔬菜,元/斤
西南,1.90,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.25,1.50,豇豆,云南,none,2017-11-09,蔬菜,元/斤
西南,1.35,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.60,1.10,玉米棒,云南,none,2018-02-22,蔬菜,元/斤
西南,1.62,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.75,1.50,玉米棒,云南,none,2017-12-28,蔬菜,元/斤
西南,1.70,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.90,1.50,玉米棒,云南,none,2017-12-26,蔬菜,元/斤
西南,1.50,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.75,1.25,玉米棒,云南,none,2017-12-13,蔬菜,元/斤
西南,1.35,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.50,1.25,玉米棒,云南,none,2017-12-01,蔬菜,元/斤
西南,1.35,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.50,1.25,玉米棒,云南,none,2017-11-30,蔬菜,元/斤
西南,1.70,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.00,1.30,西葫芦,云南,none,2018-02-22,蔬菜,元/斤
西南,0.57,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,0.75,0.40,西葫芦,云南,none,2017-12-28,蔬菜,元/斤
西南,0.75,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,0.90,0.60,西葫芦,云南,none,2017-12-26,蔬菜,元/斤
西南,0.70,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,0.90,0.50,西葫芦,云南,none,2017-12-13,蔬菜,元/斤
西南,1.10,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.25,0.90,西葫芦,云南,none,2017-12-01,蔬菜,元/斤
西南,1.00,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.25,0.90,西葫芦,云南,none,2017-11-30,蔬菜,元/斤
西南,0.85,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,1.00,0.65,西葫芦,云南,none,2017-11-29,蔬菜,元/斤
西南,0.60,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,0.75,0.35,西葫芦,云南,none,2017-11-23,蔬菜,元/斤
西南,0.35,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,0.45,0.25,西葫芦,云南,none,2017-11-21,蔬菜,元/斤
西南,3.25,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,4.00,2.50,豆角,云南,none,2018-02-22,蔬菜,元/斤
西南,2.37,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,3.00,1.75,豆角,云南,none,2017-12-28,蔬菜,元/斤
西南,2.12,none,2018-08-24,元谋县蔬菜交易市场有限责任公司,2.65,1.60,豆角,云南,none,2017-12-26,蔬菜,元/斤
