area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,2.50,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.50,2.50,黄瓜,甘肃,none,2018-03-27,蔬菜,元/斤
西北,3.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,3.00,3.00,黄瓜,甘肃,none,2018-03-23,蔬菜,元/斤
西北,3.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,3.00,3.00,黄瓜,甘肃,none,2018-03-22,蔬菜,元/斤
西北,2.60,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.60,2.60,黄瓜,甘肃,none,2018-03-15,蔬菜,元/斤
西北,2.30,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.30,2.30,黄瓜,甘肃,none,2018-03-14,蔬菜,元/斤
西北,2.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.00,2.00,黄瓜,甘肃,none,2018-03-13,蔬菜,元/斤
西北,2.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.00,2.00,黄瓜,甘肃,none,2018-03-09,蔬菜,元/斤
西北,2.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.00,2.00,黄瓜,甘肃,none,2018-03-08,蔬菜,元/斤
西北,2.20,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.20,2.20,黄瓜,甘肃,none,2018-03-06,蔬菜,元/斤
西北,2.40,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.40,2.40,黄瓜,甘肃,none,2018-03-05,蔬菜,元/斤
西北,1.70,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.70,1.70,黄瓜,甘肃,none,2018-02-28,蔬菜,元/斤
西北,3.50,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,3.50,3.50,黄瓜,甘肃,none,2018-02-14,蔬菜,元/斤
西北,2.30,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,2.30,2.30,黄瓜,甘肃,none,2018-02-11,蔬菜,元/斤
西北,1.60,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.60,1.60,黄瓜,甘肃,none,2018-02-09,蔬菜,元/斤
西北,1.60,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.60,1.60,黄瓜,甘肃,none,2018-02-06,蔬菜,元/斤
西北,1.60,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.60,1.60,黄瓜,甘肃,none,2018-02-05,蔬菜,元/斤
西北,1.80,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.80,1.80,黄瓜,甘肃,none,2018-02-02,蔬菜,元/斤
西北,1.80,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.80,1.80,黄瓜,甘肃,none,2018-02-01,蔬菜,元/斤
西北,1.40,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.40,1.40,黄瓜,甘肃,none,2018-01-24,蔬菜,元/斤
西北,1.30,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.30,1.30,黄瓜,甘肃,none,2018-01-19,蔬菜,元/斤
西北,1.50,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.50,1.50,黄瓜,甘肃,none,2018-01-15,蔬菜,元/斤
西北,1.80,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.80,1.80,黄瓜,甘肃,none,2018-01-11,蔬菜,元/斤
西北,1.80,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.80,1.80,黄瓜,甘肃,none,2018-01-10,蔬菜,元/斤
西北,1.20,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.20,1.20,黄瓜,甘肃,none,2018-01-04,蔬菜,元/斤
西北,1.25,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.50,1.00,黄瓜,甘肃,none,2017-12-28,蔬菜,元/斤
西北,0.70,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.70,0.70,芹菜,甘肃,none,2018-03-27,蔬菜,元/斤
西北,0.70,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.70,0.70,芹菜,甘肃,none,2018-03-26,蔬菜,元/斤
西北,0.70,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.70,0.70,芹菜,甘肃,none,2018-03-23,蔬菜,元/斤
西北,0.70,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.70,0.70,芹菜,甘肃,none,2018-03-22,蔬菜,元/斤
西北,0.80,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.80,0.80,芹菜,甘肃,none,2018-03-15,蔬菜,元/斤
西北,0.80,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.80,0.80,芹菜,甘肃,none,2018-03-14,蔬菜,元/斤
西北,1.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.00,1.00,芹菜,甘肃,none,2018-03-13,蔬菜,元/斤
西北,1.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.00,1.00,芹菜,甘肃,none,2018-03-09,蔬菜,元/斤
西北,1.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.00,1.00,芹菜,甘肃,none,2018-03-08,蔬菜,元/斤
西北,0.70,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.70,0.70,芹菜,甘肃,none,2018-03-06,蔬菜,元/斤
西北,0.70,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.70,0.70,芹菜,甘肃,none,2018-03-05,蔬菜,元/斤
西北,0.80,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,0.80,0.80,芹菜,甘肃,none,2018-03-02,蔬菜,元/斤
西北,1.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.00,1.00,芹菜,甘肃,none,2018-02-28,蔬菜,元/斤
西北,1.00,none,2018-08-24,兰州大青山蔬菜瓜果批发市场服务有限公司,1.00,1.00,芹菜,甘肃,none,2018-02-26,蔬菜,元/斤
