area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-15,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-13,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-12,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-11,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-09,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-08,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-07,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-06,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-05,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-04,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-03,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-02,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-08-01,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京八里桥农产品中心批发市场,1.10,1.00,土豆,北京,none,2018-07-31,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京八里桥农产品中心批发市场,1.50,1.30,土豆,北京,none,2018-07-15,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京八里桥农产品中心批发市场,1.50,1.30,土豆,北京,none,2018-07-14,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京八里桥农产品中心批发市场,1.60,1.40,土豆,北京,none,2018-07-07,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京八里桥农产品中心批发市场,1.60,1.40,土豆,北京,none,2018-07-01,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京八里桥农产品中心批发市场,1.50,1.30,土豆,北京,none,2018-06-23,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京八里桥农产品中心批发市场,1.50,1.30,土豆,北京,none,2018-06-10,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京八里桥农产品中心批发市场,1.50,1.30,土豆,北京,none,2018-06-03,蔬菜,元/斤
华北,1.65,none,2018-08-25,北京八里桥农产品中心批发市场,1.80,1.50,土豆,北京,none,2018-05-29,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京八里桥农产品中心批发市场,1.80,1.60,土豆,北京,none,2018-05-25,蔬菜,元/斤
华北,1.85,none,2018-08-25,北京八里桥农产品中心批发市场,1.90,1.80,土豆,北京,none,2018-05-24,蔬菜,元/斤
华北,1.85,none,2018-08-25,北京八里桥农产品中心批发市场,1.90,1.80,土豆,北京,none,2018-05-23,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京八里桥农产品中心批发市场,1.00,0.80,大白菜,北京,none,2018-08-17,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京八里桥农产品中心批发市场,1.00,0.80,大白菜,北京,none,2018-08-16,蔬菜,元/斤
华北,0.85,none,2018-08-25,北京八里桥农产品中心批发市场,1.00,0.75,大白菜,北京,none,2018-08-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京八里桥农产品中心批发市场,0.90,0.75,大白菜,北京,none,2018-08-13,蔬菜,元/斤
