area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,2.15,none,2018-08-25,北京新发地批发市场,2.80,1.50,黄瓜,北京,none,2018-08-18,蔬菜,元/斤
华北,1.75,none,2018-08-25,北京新发地批发市场,2.30,1.20,黄瓜,北京,none,2018-08-15,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,1.80,1.20,黄瓜,北京,none,2018-08-08,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,1.80,1.20,黄瓜,北京,none,2018-08-07,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,1.80,1.20,黄瓜,北京,none,2018-08-06,蔬菜,元/斤
华北,1.45,none,2018-08-25,北京新发地批发市场,1.70,1.20,黄瓜,北京,none,2018-08-05,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,1.80,1.20,黄瓜,北京,none,2018-08-04,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,1.80,1.20,黄瓜,北京,none,2018-08-03,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京新发地批发市场,1.60,1.00,黄瓜,北京,none,2018-08-02,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京新发地批发市场,1.60,1.00,黄瓜,北京,none,2018-08-01,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京新发地批发市场,1.60,1.00,黄瓜,北京,none,2018-07-31,蔬菜,元/斤
华北,1.75,none,2018-08-25,北京新发地批发市场,2.20,1.30,黄瓜,北京,none,2018-07-15,蔬菜,元/斤
华北,1.75,none,2018-08-25,北京新发地批发市场,2.20,1.30,黄瓜,北京,none,2018-07-14,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京新发地批发市场,1.40,0.80,黄瓜,北京,none,2018-07-01,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京新发地批发市场,0.80,0.40,黄瓜,北京,none,2018-06-23,蔬菜,元/斤
华北,0.65,none,2018-08-25,北京新发地批发市场,0.80,0.50,黄瓜,北京,none,2018-06-10,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京新发地批发市场,1.30,0.70,黄瓜,北京,none,2018-06-03,蔬菜,元/斤
华北,1.25,none,2018-08-25,北京新发地批发市场,1.50,1.00,黄瓜,北京,none,2018-05-29,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京新发地批发市场,1.60,1.00,黄瓜,北京,none,2018-05-25,蔬菜,元/斤
华北,1.55,none,2018-08-25,北京新发地批发市场,2.10,1.00,黄瓜,北京,none,2018-05-24,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京新发地批发市场,1.10,0.70,黄瓜,北京,none,2018-05-20,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京新发地批发市场,0.90,0.70,黄瓜,北京,none,2018-05-16,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京新发地批发市场,1.00,0.60,黄瓜,北京,none,2018-05-08,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京新发地批发市场,1.10,0.70,黄瓜,北京,none,2018-05-06,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京新发地批发市场,1.30,0.80,黄瓜,北京,none,2018-05-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京新发地批发市场,1.20,0.80,芹菜,北京,none,2018-08-18,蔬菜,元/斤
华北,1.15,none,2018-08-25,北京新发地批发市场,1.30,1.00,芹菜,北京,none,2018-08-15,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京新发地批发市场,1.20,0.80,芹菜,北京,none,2018-08-08,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京新发地批发市场,1.20,0.80,芹菜,北京,none,2018-08-07,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京新发地批发市场,1.20,0.80,芹菜,北京,none,2018-08-06,蔬菜,元/斤
华北,1.25,none,2018-08-25,北京新发地批发市场,1.50,1.00,芹菜,北京,none,2018-08-05,蔬菜,元/斤
华北,1.25,none,2018-08-25,北京新发地批发市场,1.50,1.00,芹菜,北京,none,2018-08-04,蔬菜,元/斤
华北,1.35,none,2018-08-25,北京新发地批发市场,1.50,1.20,芹菜,北京,none,2018-08-03,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京新发地批发市场,1.40,1.00,芹菜,北京,none,2018-08-02,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京新发地批发市场,1.40,1.20,芹菜,北京,none,2018-08-01,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京新发地批发市场,1.00,0.80,芹菜,北京,none,2018-07-31,蔬菜,元/斤
华北,1.45,none,2018-08-25,北京新发地批发市场,1.60,1.30,芹菜,北京,none,2018-07-15,蔬菜,元/斤
华北,1.35,none,2018-08-25,北京新发地批发市场,1.50,1.20,芹菜,北京,none,2018-07-14,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京新发地批发市场,1.60,1.20,芹菜,北京,none,2018-07-07,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京新发地批发市场,1.30,0.70,芹菜,北京,none,2018-07-01,蔬菜,元/斤
华北,0.75,none,2018-08-25,北京新发地批发市场,1.00,0.50,芹菜,北京,none,2018-06-23,蔬菜,元/斤
华北,1.85,none,2018-08-25,北京新发地批发市场,2.20,1.50,芹菜,北京,none,2018-06-10,蔬菜,元/斤
华北,2.15,none,2018-08-25,北京新发地批发市场,2.30,2.00,芹菜,北京,none,2018-06-03,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京新发地批发市场,2.50,1.50,芹菜,北京,none,2018-05-29,蔬菜,元/斤
华北,2.25,none,2018-08-25,北京新发地批发市场,2.50,2.00,芹菜,北京,none,2018-05-25,蔬菜,元/斤
