area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-08-12,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-08-10,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-08-08,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-08-06,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-08-03,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-08-02,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-08-01,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-07-31,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-07-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-07-07,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京日上综合批发市场,1.00,0.80,大白菜,北京,none,2018-07-01,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京日上综合批发市场,1.20,0.80,大白菜,北京,none,2018-06-23,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京日上综合批发市场,1.20,0.90,大白菜,北京,none,2018-06-10,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京日上综合批发市场,1.20,0.90,大白菜,北京,none,2018-06-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京日上综合批发市场,1.20,0.90,大白菜,北京,none,2018-05-31,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-05-25,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京日上综合批发市场,0.90,0.70,大白菜,北京,none,2018-05-24,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京日上综合批发市场,0.80,0.65,大白菜,北京,none,2018-05-20,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京日上综合批发市场,0.80,0.65,大白菜,北京,none,2018-05-16,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京日上综合批发市场,0.80,0.65,大白菜,北京,none,2018-05-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京日上综合批发市场,0.80,0.65,大白菜,北京,none,2018-05-14,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京日上综合批发市场,0.50,0.40,大白菜,北京,none,2018-05-05,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京日上综合批发市场,0.50,0.40,大白菜,北京,none,2018-05-04,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京日上综合批发市场,0.50,0.40,大白菜,北京,none,2018-05-03,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京日上综合批发市场,0.50,0.40,大白菜,北京,none,2018-05-02,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-08-12,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-08-08,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-08-06,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-08-03,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-08-02,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-08-01,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-07-31,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-07-15,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-07-07,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-07-01,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-06-23,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-06-10,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-06-03,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-05-25,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-05-24,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-05-20,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-05-16,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-05-15,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京日上综合批发市场,0.80,0.50,白萝卜,北京,none,2018-05-14,蔬菜,元/斤
