area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.40,none,2018-08-25,北京朝阳区大洋路综合市场,1.60,1.20,青椒,北京,none,2017-12-20,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京朝阳区大洋路综合市场,1.60,1.20,青椒,北京,none,2017-12-19,蔬菜,元/斤
华北,2.30,none,2018-08-25,北京朝阳区大洋路综合市场,2.60,2.00,黄瓜,北京,none,2017-12-20,蔬菜,元/斤
华北,2.30,none,2018-08-25,北京朝阳区大洋路综合市场,2.70,1.90,黄瓜,北京,none,2017-12-19,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京朝阳区大洋路综合市场,1.00,0.80,芹菜,北京,none,2017-12-22,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京朝阳区大洋路综合市场,1.00,0.80,芹菜,北京,none,2017-12-20,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京朝阳区大洋路综合市场,1.00,0.80,芹菜,北京,none,2017-12-19,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京朝阳区大洋路综合市场,1.80,0.80,西红柿,北京,none,2017-12-22,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京朝阳区大洋路综合市场,1.80,0.80,西红柿,北京,none,2017-12-20,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京朝阳区大洋路综合市场,1.80,0.80,西红柿,北京,none,2017-12-19,蔬菜,元/斤
华北,1.15,none,2018-08-25,北京朝阳区大洋路综合市场,1.70,0.50,土豆,北京,none,2017-12-22,蔬菜,元/斤
华北,1.15,none,2018-08-25,北京朝阳区大洋路综合市场,1.70,0.50,土豆,北京,none,2017-12-20,蔬菜,元/斤
华北,1.15,none,2018-08-25,北京朝阳区大洋路综合市场,1.70,0.50,土豆,北京,none,2017-12-19,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京朝阳区大洋路综合市场,0.60,0.40,大白菜,北京,none,2017-12-23,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京朝阳区大洋路综合市场,0.60,0.40,大白菜,北京,none,2017-12-22,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京朝阳区大洋路综合市场,0.60,0.40,大白菜,北京,none,2017-12-21,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京朝阳区大洋路综合市场,0.60,0.40,大白菜,北京,none,2017-12-20,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京朝阳区大洋路综合市场,0.60,0.30,大白菜,北京,none,2017-12-19,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京朝阳区大洋路综合市场,0.60,0.30,大白菜,北京,none,2017-12-18,蔬菜,元/斤
华北,2.35,none,2018-08-25,北京朝阳区大洋路综合市场,3.50,1.20,菠菜,北京,none,2017-12-22,蔬菜,元/斤
华北,2.35,none,2018-08-25,北京朝阳区大洋路综合市场,3.50,1.20,菠菜,北京,none,2017-12-20,蔬菜,元/斤
华北,2.35,none,2018-08-25,北京朝阳区大洋路综合市场,3.50,1.20,菠菜,北京,none,2017-12-19,蔬菜,元/斤
华北,2.35,none,2018-08-25,北京朝阳区大洋路综合市场,3.50,1.20,菠菜,北京,none,2017-12-18,蔬菜,元/斤
华北,2.10,none,2018-08-25,北京朝阳区大洋路综合市场,2.50,1.70,生菜,北京,none,2017-12-22,蔬菜,元/斤
华北,2.10,none,2018-08-25,北京朝阳区大洋路综合市场,2.50,1.70,生菜,北京,none,2017-12-20,蔬菜,元/斤
华北,2.10,none,2018-08-25,北京朝阳区大洋路综合市场,2.50,1.70,生菜,北京,none,2017-12-19,蔬菜,元/斤
华北,2.10,none,2018-08-25,北京朝阳区大洋路综合市场,2.50,1.70,生菜,北京,none,2017-12-18,蔬菜,元/斤
华北,4.50,none,2018-08-25,北京朝阳区大洋路综合市场,5.00,4.00,豆角,北京,none,2017-12-20,蔬菜,元/斤
华北,5.00,none,2018-08-25,北京朝阳区大洋路综合市场,5.50,4.50,豆角,北京,none,2017-12-19,蔬菜,元/斤
华北,3.50,none,2018-08-25,北京朝阳区大洋路综合市场,4.00,3.00,大蒜,北京,none,2017-12-22,蔬菜,元/斤
华北,3.50,none,2018-08-25,北京朝阳区大洋路综合市场,4.00,3.00,大蒜,北京,none,2017-12-20,蔬菜,元/斤
华北,3.50,none,2018-08-25,北京朝阳区大洋路综合市场,4.00,3.00,大蒜,北京,none,2017-12-19,蔬菜,元/斤
华北,1.75,none,2018-08-25,北京朝阳区大洋路综合市场,2.00,1.50,菜花,北京,none,2017-12-22,蔬菜,元/斤
华北,1.75,none,2018-08-25,北京朝阳区大洋路综合市场,2.00,1.50,菜花,北京,none,2017-12-20,蔬菜,元/斤
华北,1.75,none,2018-08-25,北京朝阳区大洋路综合市场,2.00,1.50,菜花,北京,none,2017-12-19,蔬菜,元/斤
华北,0.75,none,2018-08-25,北京朝阳区大洋路综合市场,1.00,0.50,冬瓜,北京,none,2017-12-20,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京朝阳区大洋路综合市场,1.00,0.40,冬瓜,北京,none,2017-12-19,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京朝阳区大洋路综合市场,1.50,0.60,白萝卜,北京,none,2017-12-22,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京朝阳区大洋路综合市场,1.50,0.60,白萝卜,北京,none,2017-12-20,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京朝阳区大洋路综合市场,1.50,0.60,白萝卜,北京,none,2017-12-19,蔬菜,元/斤
华北,1.15,none,2018-08-25,北京朝阳区大洋路综合市场,1.30,1.00,大葱,北京,none,2017-12-22,蔬菜,元/斤
华北,1.15,none,2018-08-25,北京朝阳区大洋路综合市场,1.30,1.00,大葱,北京,none,2017-12-20,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京朝阳区大洋路综合市场,1.30,1.10,大葱,北京,none,2017-12-19,蔬菜,元/斤
华北,3.00,none,2018-08-25,北京朝阳区大洋路综合市场,3.20,2.80,韭菜,北京,none,2017-12-22,蔬菜,元/斤
华北,3.00,none,2018-08-25,北京朝阳区大洋路综合市场,3.20,2.80,韭菜,北京,none,2017-12-20,蔬菜,元/斤
华北,2.25,none,2018-08-25,北京朝阳区大洋路综合市场,2.50,2.00,韭菜,北京,none,2017-12-19,蔬菜,元/斤
华北,2.75,none,2018-08-25,北京朝阳区大洋路综合市场,3.00,2.50,丝瓜,北京,none,2017-12-20,蔬菜,元/斤
华北,2.60,none,2018-08-25,北京朝阳区大洋路综合市场,2.90,2.30,丝瓜,北京,none,2017-12-19,蔬菜,元/斤
华北,19.00,none,2018-08-25,北京朝阳区大洋路综合市场,21.00,17.00,白灵菇,北京,none,2017-12-20,蔬菜,元/斤
华北,19.00,none,2018-08-25,北京朝阳区大洋路综合市场,21.00,17.00,白灵菇,北京,none,2017-12-19,蔬菜,元/斤
华北,11.50,none,2018-08-25,北京朝阳区大洋路综合市场,12.00,11.00,草菇,北京,none,2017-12-20,蔬菜,元/斤
华北,11.50,none,2018-08-25,北京朝阳区大洋路综合市场,12.00,11.00,草菇,北京,none,2017-12-19,蔬菜,元/斤
华北,3.00,none,2018-08-25,北京朝阳区大洋路综合市场,3.50,2.50,杏鲍菇,北京,none,2017-12-20,蔬菜,元/斤
华北,3.00,none,2018-08-25,北京朝阳区大洋路综合市场,3.50,2.50,杏鲍菇,北京,none,2017-12-19,蔬菜,元/斤
华北,7.00,none,2018-08-25,北京朝阳区大洋路综合市场,8.00,6.00,茶树菇,北京,none,2017-12-20,蔬菜,元/斤
华北,7.00,none,2018-08-25,北京朝阳区大洋路综合市场,8.00,6.00,茶树菇,北京,none,2017-12-19,蔬菜,元/斤
