area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,6.05,none,2018-08-27,南京农副产品物流配送中心,6.20,5.90,菠菜,江苏,none,2018-08-25,蔬菜,元/斤
华东,6.20,none,2018-08-27,南京农副产品物流配送中心,6.40,6.00,菠菜,江苏,none,2018-08-24,蔬菜,元/斤
华东,5.75,none,2018-08-27,南京农副产品物流配送中心,6.00,5.50,菠菜,江苏,none,2018-08-23,蔬菜,元/斤
华东,5.75,none,2018-08-27,南京农副产品物流配送中心,6.00,5.50,菠菜,江苏,none,2018-08-22,蔬菜,元/斤
华东,5.60,none,2018-08-27,南京农副产品物流配送中心,5.80,5.40,菠菜,江苏,none,2018-08-21,蔬菜,元/斤
华东,4.85,none,2018-08-27,南京农副产品物流配送中心,5.00,4.70,菠菜,江苏,none,2018-08-20,蔬菜,元/斤
华东,4.30,none,2018-08-27,南京农副产品物流配送中心,4.40,4.20,菠菜,江苏,none,2018-08-18,蔬菜,元/斤
华东,4.20,none,2018-08-27,南京农副产品物流配送中心,4.30,4.10,菠菜,江苏,none,2018-08-17,蔬菜,元/斤
华东,5.10,none,2018-08-27,南京农副产品物流配送中心,5.30,4.90,菠菜,江苏,none,2018-08-15,蔬菜,元/斤
华东,5.05,none,2018-08-27,南京农副产品物流配送中心,5.30,4.80,菠菜,江苏,none,2018-08-13,蔬菜,元/斤
华东,5.10,none,2018-08-27,南京农副产品物流配送中心,5.50,4.70,菠菜,江苏,none,2018-08-11,蔬菜,元/斤
华东,4.60,none,2018-08-27,南京农副产品物流配送中心,4.80,4.40,菠菜,江苏,none,2018-08-09,蔬菜,元/斤
华东,4.30,none,2018-08-27,南京农副产品物流配送中心,4.40,4.20,菠菜,江苏,none,2018-08-08,蔬菜,元/斤
华东,4.15,none,2018-08-27,南京农副产品物流配送中心,4.30,4.00,菠菜,江苏,none,2018-08-07,蔬菜,元/斤
华东,4.35,none,2018-08-27,南京农副产品物流配送中心,4.50,4.20,菠菜,江苏,none,2018-08-06,蔬菜,元/斤
华东,4.15,none,2018-08-27,南京农副产品物流配送中心,4.30,4.00,菠菜,江苏,none,2018-08-05,蔬菜,元/斤
华东,4.40,none,2018-08-27,南京农副产品物流配送中心,4.50,4.30,菠菜,江苏,none,2018-08-04,蔬菜,元/斤
华东,4.50,none,2018-08-27,南京农副产品物流配送中心,4.60,4.40,菠菜,江苏,none,2018-08-03,蔬菜,元/斤
华东,4.65,none,2018-08-27,南京农副产品物流配送中心,4.80,4.50,菠菜,江苏,none,2018-08-02,蔬菜,元/斤
华东,3.70,none,2018-08-27,南京农副产品物流配送中心,3.80,3.60,菠菜,江苏,none,2018-07-15,蔬菜,元/斤
华东,3.60,none,2018-08-27,南京农副产品物流配送中心,3.70,3.50,菠菜,江苏,none,2018-07-14,蔬菜,元/斤
华东,2.85,none,2018-08-27,南京农副产品物流配送中心,2.90,2.80,菠菜,江苏,none,2018-07-07,蔬菜,元/斤
华东,3.00,none,2018-08-27,南京农副产品物流配送中心,3.10,2.90,菠菜,江苏,none,2018-07-01,蔬菜,元/斤
华东,3.00,none,2018-08-27,南京农副产品物流配送中心,3.10,2.90,菠菜,江苏,none,2018-06-23,蔬菜,元/斤
华东,3.20,none,2018-08-27,南京农副产品物流配送中心,3.40,3.00,菠菜,江苏,none,2018-06-10,蔬菜,元/斤
华东,3.00,none,2018-08-27,南京农副产品物流配送中心,3.20,2.80,生菜,江苏,none,2018-08-25,蔬菜,元/斤
华东,3.10,none,2018-08-27,南京农副产品物流配送中心,3.20,3.00,生菜,江苏,none,2018-08-24,蔬菜,元/斤
华东,3.35,none,2018-08-27,南京农副产品物流配送中心,3.50,3.20,生菜,江苏,none,2018-08-23,蔬菜,元/斤
华东,3.25,none,2018-08-27,南京农副产品物流配送中心,3.50,3.00,生菜,江苏,none,2018-08-22,蔬菜,元/斤
华东,2.60,none,2018-08-27,南京农副产品物流配送中心,2.70,2.50,生菜,江苏,none,2018-08-21,蔬菜,元/斤
华东,2.75,none,2018-08-27,南京农副产品物流配送中心,2.80,2.70,生菜,江苏,none,2018-08-20,蔬菜,元/斤
华东,2.40,none,2018-08-27,南京农副产品物流配送中心,2.50,2.30,生菜,江苏,none,2018-08-18,蔬菜,元/斤
华东,2.60,none,2018-08-27,南京农副产品物流配送中心,2.70,2.50,生菜,江苏,none,2018-08-17,蔬菜,元/斤
华东,2.35,none,2018-08-27,南京农副产品物流配送中心,2.50,2.20,生菜,江苏,none,2018-08-15,蔬菜,元/斤
