area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-23,蔬菜,元/斤
东北,2.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,3.50,2.00,西瓜,黑龙江,none,2018-08-20,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-08,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-07,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-06,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-05,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-03,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-02,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-08-01,蔬菜,元/斤
东北,3.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.00,3.00,西瓜,黑龙江,none,2018-07-31,蔬菜,元/斤
东北,4.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.75,4.00,西瓜,黑龙江,none,2018-06-03,蔬菜,元/斤
东北,4.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.75,4.00,西瓜,黑龙江,none,2018-05-25,蔬菜,元/斤
东北,4.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.75,4.00,西瓜,黑龙江,none,2018-05-24,蔬菜,元/斤
东北,4.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.75,4.00,西瓜,黑龙江,none,2018-05-16,蔬菜,元/斤
东北,4.50,none,2018-08-28,哈尔滨哈达农副产品股份有限公司,4.75,4.00,西瓜,黑龙江,none,2018-05-08,蔬菜,元/斤
