area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.10,none,2018-08-26,唐山市荷花坑市场,1.20,1.00,大白菜,河北,none,2018-08-25,蔬菜,元/斤
华北,1.00,none,2018-08-26,唐山市荷花坑市场,1.10,0.90,大白菜,河北,none,2018-08-24,蔬菜,元/斤
华北,1.00,none,2018-08-26,唐山市荷花坑市场,1.10,0.90,大白菜,河北,none,2018-08-23,蔬菜,元/斤
华北,1.00,none,2018-08-26,唐山市荷花坑市场,1.10,0.90,大白菜,河北,none,2018-08-22,蔬菜,元/斤
华北,1.00,none,2018-08-26,唐山市荷花坑市场,1.10,0.90,大白菜,河北,none,2018-08-21,蔬菜,元/斤
华北,1.00,none,2018-08-26,唐山市荷花坑市场,1.10,0.90,大白菜,河北,none,2018-08-18,蔬菜,元/斤
华北,1.00,none,2018-08-26,唐山市荷花坑市场,1.10,0.90,大白菜,河北,none,2018-08-17,蔬菜,元/斤
华北,1.00,none,2018-08-26,唐山市荷花坑市场,1.10,0.90,大白菜,河北,none,2018-08-16,蔬菜,元/斤
华北,0.90,none,2018-08-26,唐山市荷花坑市场,1.00,0.80,大白菜,河北,none,2018-08-15,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-13,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-11,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-09,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-08,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-07,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-06,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-05,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-04,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-03,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-02,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-08-01,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-07-31,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-07-14,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-07-07,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-07-01,蔬菜,元/斤
华北,0.40,none,2018-08-26,唐山市荷花坑市场,0.50,0.30,大白菜,河北,none,2018-06-23,蔬菜,元/斤
华北,2.60,none,2018-08-26,唐山市荷花坑市场,2.70,2.50,西葫芦,河北,none,2018-08-25,蔬菜,元/斤
