area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西南,1.80,none,2018-08-24,四川南充川北农产品批发市场,2.40,1.40,西红柿,四川,none,2018-08-18,蔬菜,元/斤
西南,1.65,none,2018-08-24,四川南充川北农产品批发市场,2.40,1.40,西红柿,四川,none,2018-08-15,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川南充川北农产品批发市场,2.40,1.65,西红柿,四川,none,2018-08-12,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川南充川北农产品批发市场,2.40,1.65,西红柿,四川,none,2018-08-11,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川南充川北农产品批发市场,2.40,1.65,西红柿,四川,none,2018-08-08,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川南充川北农产品批发市场,2.40,1.65,西红柿,四川,none,2018-08-07,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川南充川北农产品批发市场,2.40,1.65,西红柿,四川,none,2018-08-06,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川南充川北农产品批发市场,3.00,2.00,西红柿,四川,none,2018-08-05,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川南充川北农产品批发市场,3.00,2.00,西红柿,四川,none,2018-08-03,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川南充川北农产品批发市场,3.00,2.00,西红柿,四川,none,2018-08-02,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川南充川北农产品批发市场,3.00,2.00,西红柿,四川,none,2018-07-31,蔬菜,元/斤
西南,1.75,none,2018-08-24,四川南充川北农产品批发市场,2.00,1.00,西红柿,四川,none,2018-07-15,蔬菜,元/斤
西南,1.75,none,2018-08-24,四川南充川北农产品批发市场,2.00,1.00,西红柿,四川,none,2018-07-14,蔬菜,元/斤
西南,1.30,none,2018-08-24,四川南充川北农产品批发市场,2.00,1.00,西红柿,四川,none,2018-07-07,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川南充川北农产品批发市场,2.75,1.50,西红柿,四川,none,2018-07-01,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川南充川北农产品批发市场,2.75,1.50,西红柿,四川,none,2018-06-23,蔬菜,元/斤
西南,2.25,none,2018-08-24,四川南充川北农产品批发市场,3.00,1.50,西红柿,四川,none,2018-06-10,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川南充川北农产品批发市场,3.00,1.50,西红柿,四川,none,2018-06-03,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川南充川北农产品批发市场,3.00,1.50,西红柿,四川,none,2018-05-29,蔬菜,元/斤
