area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,白萝卜,四川,none,2018-08-15,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,白萝卜,四川,none,2018-08-13,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,白萝卜,四川,none,2018-08-07,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,白萝卜,四川,none,2018-08-03,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,白萝卜,四川,none,2018-07-31,蔬菜,元/斤
西南,1.00,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.10,0.90,白萝卜,四川,none,2018-07-14,蔬菜,元/斤
西南,0.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.70,0.50,白萝卜,四川,none,2018-05-29,蔬菜,元/斤
西南,0.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.60,0.40,白萝卜,四川,none,2018-05-25,蔬菜,元/斤
西南,0.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.70,0.50,白萝卜,四川,none,2018-05-24,蔬菜,元/斤
西南,0.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.70,0.50,白萝卜,四川,none,2018-05-23,蔬菜,元/斤
西南,0.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.80,0.60,白萝卜,四川,none,2018-05-22,蔬菜,元/斤
西南,0.45,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.50,0.40,白萝卜,四川,none,2018-05-16,蔬菜,元/斤
西南,0.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.80,0.60,白萝卜,四川,none,2018-05-14,蔬菜,元/斤
西南,0.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.80,0.60,白萝卜,四川,none,2018-05-08,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,白萝卜,四川,none,2018-05-03,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,白萝卜,四川,none,2018-04-27,蔬菜,元/斤
西南,0.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.90,0.70,白萝卜,四川,none,2018-04-26,蔬菜,元/斤
西南,0.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.80,0.60,白萝卜,四川,none,2018-04-25,蔬菜,元/斤
西南,0.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.70,0.50,白萝卜,四川,none,2018-04-24,蔬菜,元/斤
西南,0.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.60,0.40,白萝卜,四川,none,2018-04-19,蔬菜,元/斤
西南,0.45,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.50,0.40,白萝卜,四川,none,2018-04-17,蔬菜,元/斤
西南,0.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.70,0.50,白萝卜,四川,none,2018-04-13,蔬菜,元/斤
西南,0.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.70,0.50,白萝卜,四川,none,2018-04-12,蔬菜,元/斤
西南,0.55,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.60,0.50,白萝卜,四川,none,2018-04-08,蔬菜,元/斤
西南,0.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.80,0.60,白萝卜,四川,none,2018-03-30,蔬菜,元/斤
西南,2.30,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.40,2.20,大葱,四川,none,2018-08-15,蔬菜,元/斤
西南,2.30,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.40,2.20,大葱,四川,none,2018-08-13,蔬菜,元/斤
西南,2.10,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.20,2.00,大葱,四川,none,2018-08-07,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.10,1.90,大葱,四川,none,2018-08-03,蔬菜,元/斤
西南,2.10,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.20,2.00,大葱,四川,none,2018-08-02,蔬菜,元/斤
西南,2.20,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.30,2.10,大葱,四川,none,2018-07-31,蔬菜,元/斤
西南,1.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.60,大葱,四川,none,2018-07-14,蔬菜,元/斤
西南,1.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.70,1.50,大葱,四川,none,2018-05-29,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.60,大葱,四川,none,2018-05-25,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,大葱,四川,none,2018-05-24,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.90,1.70,大葱,四川,none,2018-05-23,蔬菜,元/斤
西南,1.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.60,大葱,四川,none,2018-05-22,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.60,大葱,四川,none,2018-05-16,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.90,1.70,大葱,四川,none,2018-05-14,蔬菜,元/斤
西南,1.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.60,大葱,四川,none,2018-05-08,蔬菜,元/斤
西南,1.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.70,1.50,大葱,四川,none,2018-05-03,蔬菜,元/斤
西南,1.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.60,大葱,四川,none,2018-04-27,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.60,大葱,四川,none,2018-04-26,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,大葱,四川,none,2018-04-25,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.60,大葱,四川,none,2018-04-24,蔬菜,元/斤
西南,1.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.70,1.50,大葱,四川,none,2018-04-19,蔬菜,元/斤
西南,1.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.60,1.40,大葱,四川,none,2018-04-17,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,大葱,四川,none,2018-04-13,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.60,大葱,四川,none,2018-04-12,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,大葱,四川,none,2018-04-08,蔬菜,元/斤
西南,3.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.70,3.50,韭菜,四川,none,2018-08-15,蔬菜,元/斤
西南,3.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.80,3.60,韭菜,四川,none,2018-08-13,蔬菜,元/斤
西南,3.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.70,3.50,韭菜,四川,none,2018-08-07,蔬菜,元/斤
西南,3.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.70,3.50,韭菜,四川,none,2018-08-03,蔬菜,元/斤
西南,3.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.50,3.30,韭菜,四川,none,2018-08-02,蔬菜,元/斤
西南,3.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.50,3.30,韭菜,四川,none,2018-07-31,蔬菜,元/斤
西南,2.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.30,韭菜,四川,none,2018-07-14,蔬菜,元/斤
西南,2.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.00,2.60,韭菜,四川,none,2018-05-29,蔬菜,元/斤
西南,2.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.30,韭菜,四川,none,2018-05-25,蔬菜,元/斤
西南,2.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.30,韭菜,四川,none,2018-05-24,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,韭菜,四川,none,2018-05-23,蔬菜,元/斤
西南,2.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.30,韭菜,四川,none,2018-05-22,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,韭菜,四川,none,2018-05-16,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,韭菜,四川,none,2018-05-14,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,韭菜,四川,none,2018-05-08,蔬菜,元/斤
西南,2.30,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.40,2.20,韭菜,四川,none,2018-05-07,蔬菜,元/斤
西南,2.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.70,2.50,韭菜,四川,none,2018-05-03,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,韭菜,四川,none,2018-04-27,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,韭菜,四川,none,2018-04-26,蔬菜,元/斤
西南,2.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.70,2.50,韭菜,四川,none,2018-04-25,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,韭菜,四川,none,2018-04-24,蔬菜,元/斤
西南,2.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.70,2.50,韭菜,四川,none,2018-04-19,蔬菜,元/斤
西南,2.20,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.40,2.00,韭菜,四川,none,2018-04-17,蔬菜,元/斤
西南,2.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.30,韭菜,四川,none,2018-04-13,蔬菜,元/斤
西南,2.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.30,韭菜,四川,none,2018-04-12,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,青椒,四川,none,2018-08-15,蔬菜,元/斤
西南,2.20,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.30,2.10,青椒,四川,none,2018-08-07,蔬菜,元/斤
西南,2.10,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.20,2.00,青椒,四川,none,2018-08-03,蔬菜,元/斤
西南,2.30,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.40,2.20,青椒,四川,none,2018-08-02,蔬菜,元/斤
西南,2.20,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.30,2.10,青椒,四川,none,2018-07-31,蔬菜,元/斤
西南,1.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.60,1.40,青椒,四川,none,2018-07-14,蔬菜,元/斤
西南,1.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.50,1.30,青椒,四川,none,2018-05-29,蔬菜,元/斤
西南,1.10,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.20,1.00,青椒,四川,none,2018-05-25,蔬菜,元/斤
西南,1.20,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.30,1.10,青椒,四川,none,2018-05-24,蔬菜,元/斤
西南,1.10,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.20,1.00,青椒,四川,none,2018-05-16,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,青椒,四川,none,2018-05-08,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.90,1.70,青椒,四川,none,2018-05-03,蔬菜,元/斤
西南,1.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.60,青椒,四川,none,2018-04-27,蔬菜,元/斤
西南,1.75,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.90,1.60,青椒,四川,none,2018-04-26,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,青椒,四川,none,2018-04-25,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.10,1.90,青椒,四川,none,2018-04-24,蔬菜,元/斤
西南,1.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.60,青椒,四川,none,2018-04-19,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,青椒,四川,none,2018-04-13,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.10,1.90,青椒,四川,none,2018-04-12,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,青椒,四川,none,2018-04-08,蔬菜,元/斤
西南,2.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.60,2.40,青椒,四川,none,2018-03-28,蔬菜,元/斤
西南,2.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.70,2.50,青椒,四川,none,2018-03-27,蔬菜,元/斤
西南,2.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.30,青椒,四川,none,2018-03-23,蔬菜,元/斤
西南,2.30,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.50,2.10,青椒,四川,none,2018-03-22,蔬菜,元/斤
西南,2.30,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.40,2.20,青椒,四川,none,2018-03-19,蔬菜,元/斤
西南,2.20,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.30,2.10,黄瓜,四川,none,2018-08-15,蔬菜,元/斤
西南,2.10,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.20,2.00,黄瓜,四川,none,2018-08-07,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.10,1.90,黄瓜,四川,none,2018-08-03,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,黄瓜,四川,none,2018-08-02,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,黄瓜,四川,none,2018-07-31,蔬菜,元/斤
西南,1.40,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.50,1.30,黄瓜,四川,none,2018-07-14,蔬菜,元/斤
西南,1.50,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.60,1.40,黄瓜,四川,none,2018-05-29,蔬菜,元/斤
西南,0.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.60,黄瓜,四川,none,2018-05-25,蔬菜,元/斤
西南,0.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.80,0.60,黄瓜,四川,none,2018-05-24,蔬菜,元/斤
西南,0.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,0.80,0.60,黄瓜,四川,none,2018-05-16,蔬菜,元/斤
西南,0.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.00,0.80,黄瓜,四川,none,2018-05-08,蔬菜,元/斤
西南,1.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.60,黄瓜,四川,none,2018-05-03,蔬菜,元/斤
西南,1.60,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.70,1.50,黄瓜,四川,none,2018-04-27,蔬菜,元/斤
西南,1.70,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.60,黄瓜,四川,none,2018-04-26,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.10,1.90,黄瓜,四川,none,2018-04-25,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,黄瓜,四川,none,2018-04-24,蔬菜,元/斤
西南,1.65,none,2018-08-24,四川省达州市塔沱农副产品批发市场,1.80,1.50,黄瓜,四川,none,2018-04-19,蔬菜,元/斤
西南,2.00,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.10,1.90,黄瓜,四川,none,2018-04-13,蔬菜,元/斤
西南,2.10,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.20,2.00,黄瓜,四川,none,2018-04-12,蔬菜,元/斤
西南,1.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.00,1.80,黄瓜,四川,none,2018-04-08,蔬菜,元/斤
西南,2.80,none,2018-08-24,四川省达州市塔沱农副产品批发市场,2.90,2.70,黄瓜,四川,none,2018-03-28,蔬菜,元/斤
西南,2.90,none,2018-08-24,四川省达州市塔沱农副产品批发市场,3.00,2.80,黄瓜,四川,none,2018-03-27,蔬菜,元/斤
