area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
东北,1.75,none,2018-08-28,大连市双兴综合批发市场,2.00,1.50,大白菜,辽宁,none,2018-08-25,蔬菜,元/斤
东北,1.75,none,2018-08-28,大连市双兴综合批发市场,2.00,1.50,大白菜,辽宁,none,2018-08-24,蔬菜,元/斤
东北,2.00,none,2018-08-28,大连市双兴综合批发市场,2.50,1.50,大白菜,辽宁,none,2018-08-23,蔬菜,元/斤
东北,2.00,none,2018-08-28,大连市双兴综合批发市场,2.50,1.50,大白菜,辽宁,none,2018-08-22,蔬菜,元/斤
东北,2.12,none,2018-08-28,大连市双兴综合批发市场,2.50,1.75,大白菜,辽宁,none,2018-08-21,蔬菜,元/斤
东北,2.12,none,2018-08-28,大连市双兴综合批发市场,2.50,1.75,大白菜,辽宁,none,2018-08-20,蔬菜,元/斤
东北,1.70,none,2018-08-28,大连市双兴综合批发市场,2.00,1.40,大白菜,辽宁,none,2018-08-18,蔬菜,元/斤
东北,1.25,none,2018-08-28,大连市双兴综合批发市场,1.50,1.00,大白菜,辽宁,none,2018-08-17,蔬菜,元/斤
东北,1.50,none,2018-08-28,大连市双兴综合批发市场,2.00,1.00,大白菜,辽宁,none,2018-08-16,蔬菜,元/斤
东北,1.25,none,2018-08-28,大连市双兴综合批发市场,1.50,1.00,大白菜,辽宁,none,2018-08-15,蔬菜,元/斤
东北,1.62,none,2018-08-28,大连市双兴综合批发市场,2.00,1.25,大白菜,辽宁,none,2018-08-13,蔬菜,元/斤
东北,1.75,none,2018-08-28,大连市双兴综合批发市场,2.00,1.50,大白菜,辽宁,none,2018-08-12,蔬菜,元/斤
东北,1.62,none,2018-08-28,大连市双兴综合批发市场,2.00,1.25,大白菜,辽宁,none,2018-08-11,蔬菜,元/斤
东北,1.62,none,2018-08-28,大连市双兴综合批发市场,2.00,1.25,大白菜,辽宁,none,2018-08-09,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-08-08,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-08-07,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-08-06,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-08-05,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-08-04,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-08-03,蔬菜,元/斤
东北,1.25,none,2018-08-28,大连市双兴综合批发市场,1.50,1.00,大白菜,辽宁,none,2018-08-02,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-08-01,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-07-31,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,大白菜,辽宁,none,2018-07-15,蔬菜,元/斤
东北,1.10,none,2018-08-28,大连市双兴综合批发市场,1.50,0.70,大白菜,辽宁,none,2018-07-14,蔬菜,元/斤
东北,2.75,none,2018-08-28,大连市双兴综合批发市场,3.50,2.00,葱,辽宁,none,2018-08-25,蔬菜,元/斤
东北,2.75,none,2018-08-28,大连市双兴综合批发市场,3.50,2.00,葱,辽宁,none,2018-08-24,蔬菜,元/斤
东北,3.12,none,2018-08-28,大连市双兴综合批发市场,3.50,2.75,葱,辽宁,none,2018-08-23,蔬菜,元/斤
东北,3.12,none,2018-08-28,大连市双兴综合批发市场,3.50,2.75,葱,辽宁,none,2018-08-22,蔬菜,元/斤
东北,1.70,none,2018-08-28,大连市双兴综合批发市场,2.00,1.40,葱,辽宁,none,2018-08-20,蔬菜,元/斤
东北,1.70,none,2018-08-28,大连市双兴综合批发市场,2.00,1.40,葱,辽宁,none,2018-08-18,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,葱,辽宁,none,2018-08-15,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,葱,辽宁,none,2018-08-13,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,葱,辽宁,none,2018-08-12,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,葱,辽宁,none,2018-08-11,蔬菜,元/斤
东北,1.20,none,2018-08-28,大连市双兴综合批发市场,1.50,0.90,葱,辽宁,none,2018-08-09,蔬菜,元/斤
