area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-13,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-12,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,土豆,天津,none,2018-08-08,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-07,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-06,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-05,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-04,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-02,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-08-01,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-07-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,土豆,天津,none,2018-06-10,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,土豆,天津,none,2018-05-29,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-25,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-24,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-23,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-22,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-20,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-16,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-14,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-12,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-08,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-06,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,土豆,天津,none,2018-05-02,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-08-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-08-13,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-08-12,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.70,0.50,大白菜,天津,none,2018-08-08,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,大白菜,天津,none,2018-08-07,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,大白菜,天津,none,2018-08-06,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.70,0.50,大白菜,天津,none,2018-08-05,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.70,0.50,大白菜,天津,none,2018-08-04,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.70,0.50,大白菜,天津,none,2018-08-02,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.70,0.50,大白菜,天津,none,2018-08-01,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.60,0.40,大白菜,天津,none,2018-07-15,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,1.40,1.00,大白菜,天津,none,2018-06-10,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,1.10,0.90,大白菜,天津,none,2018-05-31,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,1.10,0.90,大白菜,天津,none,2018-05-29,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-25,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-24,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-23,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-22,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-20,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-16,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-14,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.90,0.70,大白菜,天津,none,2018-05-12,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,大白菜,天津,none,2018-05-08,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,0.80,0.60,大白菜,天津,none,2018-05-07,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-08-15,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-08-13,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.40,2.00,大蒜,天津,none,2018-08-12,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.40,2.00,大蒜,天津,none,2018-08-08,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.40,2.00,大蒜,天津,none,2018-08-07,蔬菜,元/斤
华北,2.20,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.40,2.00,大蒜,天津,none,2018-08-06,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,3.00,2.00,大蒜,天津,none,2018-08-05,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,3.00,2.00,大蒜,天津,none,2018-08-04,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,3.00,2.00,大蒜,天津,none,2018-08-02,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,3.00,2.00,大蒜,天津,none,2018-08-01,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.20,1.80,大蒜,天津,none,2018-07-15,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-06-10,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-29,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-25,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-24,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-23,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-22,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-20,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-16,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-15,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-12,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-08,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-06,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-05-02,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.30,1.70,大蒜,天津,none,2018-04-28,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,1.80,1.20,菜花,天津,none,2018-08-15,蔬菜,元/斤
华北,1.40,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,1.50,1.30,菜花,天津,none,2018-08-12,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津何庄子鲜活农产品中心批发市场,2.80,2.20,菜花,天津,none,2018-08-08,蔬菜,元/斤
