area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.65,none,2018-08-25,天津武清大沙河批发市场,0.80,0.50,芹菜,天津,none,2018-07-01,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津武清大沙河批发市场,1.20,0.80,芹菜,天津,none,2018-06-23,蔬菜,元/斤
华北,1.80,none,2018-08-25,天津武清大沙河批发市场,2.00,1.60,芹菜,天津,none,2018-06-10,蔬菜,元/斤
华北,1.90,none,2018-08-25,天津武清大沙河批发市场,2.00,1.80,芹菜,天津,none,2018-06-03,蔬菜,元/斤
华北,1.45,none,2018-08-25,天津武清大沙河批发市场,1.60,1.30,芹菜,天津,none,2018-05-29,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津武清大沙河批发市场,2.00,1.00,芹菜,天津,none,2018-05-25,蔬菜,元/斤
华北,1.60,none,2018-08-25,天津武清大沙河批发市场,1.80,1.40,芹菜,天津,none,2018-05-24,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津武清大沙河批发市场,1.80,1.20,芹菜,天津,none,2018-05-23,蔬菜,元/斤
华北,1.35,none,2018-08-25,天津武清大沙河批发市场,1.70,1.30,芹菜,天津,none,2018-05-22,蔬菜,元/斤
华北,1.40,none,2018-08-25,天津武清大沙河批发市场,1.60,1.20,芹菜,天津,none,2018-05-20,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津武清大沙河批发市场,1.40,0.80,芹菜,天津,none,2018-05-15,蔬菜,元/斤
华北,1.05,none,2018-08-25,天津武清大沙河批发市场,1.40,0.70,芹菜,天津,none,2018-05-12,蔬菜,元/斤
华北,1.15,none,2018-08-25,天津武清大沙河批发市场,1.50,0.80,芹菜,天津,none,2018-05-08,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津武清大沙河批发市场,1.40,1.00,芹菜,天津,none,2018-05-06,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津武清大沙河批发市场,1.50,0.70,芹菜,天津,none,2018-05-03,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津武清大沙河批发市场,1.20,1.00,芹菜,天津,none,2018-05-01,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津武清大沙河批发市场,1.40,0.80,芹菜,天津,none,2018-04-28,蔬菜,元/斤
华北,1.05,none,2018-08-25,天津武清大沙河批发市场,1.40,0.70,芹菜,天津,none,2018-04-27,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津武清大沙河批发市场,1.30,0.90,芹菜,天津,none,2018-04-26,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津武清大沙河批发市场,1.00,0.80,芹菜,天津,none,2018-04-25,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津武清大沙河批发市场,1.10,0.50,芹菜,天津,none,2018-04-24,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津武清大沙河批发市场,1.10,0.70,芹菜,天津,none,2018-04-22,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津武清大沙河批发市场,1.00,0.70,芹菜,天津,none,2018-04-21,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津武清大沙河批发市场,0.90,0.70,芹菜,天津,none,2018-04-20,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津武清大沙河批发市场,0.90,0.40,芹菜,天津,none,2018-04-19,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津武清大沙河批发市场,1.40,1.00,西红柿,天津,none,2018-08-18,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津武清大沙河批发市场,1.20,0.80,西红柿,天津,none,2018-08-15,蔬菜,元/斤
华北,0.95,none,2018-08-25,天津武清大沙河批发市场,1.10,0.80,西红柿,天津,none,2018-08-12,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津武清大沙河批发市场,1.00,0.60,西红柿,天津,none,2018-08-11,蔬菜,元/斤
华北,0.95,none,2018-08-25,天津武清大沙河批发市场,1.20,0.70,西红柿,天津,none,2018-08-08,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津武清大沙河批发市场,1.00,0.60,西红柿,天津,none,2018-08-07,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津武清大沙河批发市场,0.90,0.70,西红柿,天津,none,2018-08-06,蔬菜,元/斤
