area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.75,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-18,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-17,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-16,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-13,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-12,蔬菜,元/斤
华北,0.55,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-11,蔬菜,元/斤
华北,0.55,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-09,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-08,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-07,蔬菜,元/斤
华北,0.45,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-06,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-05,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-04,蔬菜,元/斤
华北,0.40,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-03,蔬菜,元/斤
华北,0.45,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-02,蔬菜,元/斤
华北,0.45,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-08-01,蔬菜,元/斤
华北,0.45,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-07-31,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-07-15,蔬菜,元/斤
华北,0.58,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-07-14,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-07-07,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-07-01,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-06-23,蔬菜,元/斤
华北,0.95,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-06-10,蔬菜,元/斤
华北,0.95,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-06-03,蔬菜,元/斤
华北,0.95,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大白菜,天津,none,2018-05-31,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-18,蔬菜,元/斤
华北,0.75,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-13,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-12,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-11,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-09,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-08,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-07,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-06,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-05,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-04,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-03,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-02,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-08-01,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-07-31,蔬菜,元/斤
华北,0.35,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-07-15,蔬菜,元/斤
华北,0.35,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-07-14,蔬菜,元/斤
华北,0.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-07-07,蔬菜,元/斤
华北,0.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-07-01,蔬菜,元/斤
华北,0.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-06-23,蔬菜,元/斤
华北,0.60,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-06-10,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-06-03,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-05-29,蔬菜,元/斤
华北,0.35,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-05-25,蔬菜,元/斤
华北,0.35,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,白萝卜,天津,none,2018-05-24,蔬菜,元/斤
华北,1.05,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-18,蔬菜,元/斤
华北,1.20,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-15,蔬菜,元/斤
华北,1.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-13,蔬菜,元/斤
华北,0.95,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-12,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-11,蔬菜,元/斤
华北,1.00,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-09,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-18,蔬菜,元/斤
华北,1.90,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-15,蔬菜,元/斤
华北,2.05,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-13,蔬菜,元/斤
华北,2.25,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-12,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-08,蔬菜,元/斤
华北,1.05,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-07,蔬菜,元/斤
华北,1.05,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-06,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-05,蔬菜,元/斤
华北,2.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-11,蔬菜,元/斤
华北,2.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-09,蔬菜,元/斤
华北,2.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-08,蔬菜,元/斤
华北,2.40,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-07,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-04,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-03,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-02,蔬菜,元/斤
华北,2.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-06,蔬菜,元/斤
华北,2.25,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-05,蔬菜,元/斤
华北,2.25,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-04,蔬菜,元/斤
华北,2.15,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-03,蔬菜,元/斤
华北,2.30,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-02,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-08-01,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-07-31,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-07-15,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-07-14,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-07-07,蔬菜,元/斤
华北,2.55,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-08-01,蔬菜,元/斤
华北,2.40,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-07-31,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-07-15,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-07-14,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-07-07,蔬菜,元/斤
华北,0.70,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-07-01,蔬菜,元/斤
华北,0.50,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-07-01,蔬菜,元/斤
华北,0.55,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-06-23,蔬菜,元/斤
华北,0.75,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-06-10,蔬菜,元/斤
华北,0.65,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-06-23,蔬菜,元/斤
华北,1.05,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-06-10,蔬菜,元/斤
华北,0.95,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-06-03,蔬菜,元/斤
华北,1.15,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,韭菜,天津,none,2018-05-29,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津西青当城无公害农副产品批发市场,0.00,0.00,大葱,天津,none,2018-06-03,蔬菜,元/斤
