area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-15,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-13,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-09,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-08,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-07,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-06,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-04,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-03,蔬菜,元/斤
华北,1.75,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.50,大葱,天津,none,2018-08-01,蔬菜,元/斤
华北,1.55,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.10,大葱,天津,none,2018-07-31,蔬菜,元/斤
华北,1.40,none,2018-08-25,天津韩家墅农产品批发市场,2.00,0.80,大葱,天津,none,2018-07-15,蔬菜,元/斤
华北,1.40,none,2018-08-25,天津韩家墅农产品批发市场,2.00,0.80,大葱,天津,none,2018-07-14,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.00,大葱,天津,none,2018-07-07,蔬菜,元/斤
华北,0.93,none,2018-08-25,天津韩家墅农产品批发市场,1.40,0.70,大葱,天津,none,2018-06-23,蔬菜,元/斤
华北,1.05,none,2018-08-25,天津韩家墅农产品批发市场,1.40,0.60,大葱,天津,none,2018-06-10,蔬菜,元/斤
华北,1.12,none,2018-08-25,天津韩家墅农产品批发市场,1.40,0.85,大葱,天津,none,2018-06-03,蔬菜,元/斤
华北,1.15,none,2018-08-25,天津韩家墅农产品批发市场,1.30,1.00,大葱,天津,none,2018-05-29,蔬菜,元/斤
华北,0.75,none,2018-08-25,天津韩家墅农产品批发市场,1.00,0.50,大葱,天津,none,2018-05-25,蔬菜,元/斤
华北,0.75,none,2018-08-25,天津韩家墅农产品批发市场,1.00,0.50,大葱,天津,none,2018-05-23,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,0.95,0.50,大葱,天津,none,2018-05-22,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,0.95,0.25,大葱,天津,none,2018-05-16,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,0.95,0.25,大葱,天津,none,2018-05-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,0.95,0.15,大葱,天津,none,2018-05-08,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,0.95,0.05,大葱,天津,none,2018-05-06,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津韩家墅农产品批发市场,0.95,0.05,大葱,天津,none,2018-05-03,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.00,韭菜,天津,none,2018-08-15,蔬菜,元/斤
华北,2.50,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.00,韭菜,天津,none,2018-08-13,蔬菜,元/斤
华北,2.75,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.50,韭菜,天津,none,2018-08-09,蔬菜,元/斤
华北,2.75,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.50,韭菜,天津,none,2018-08-08,蔬菜,元/斤
华北,2.75,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.50,韭菜,天津,none,2018-08-07,蔬菜,元/斤
华北,2.75,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.50,韭菜,天津,none,2018-08-06,蔬菜,元/斤
华北,2.75,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.50,韭菜,天津,none,2018-08-04,蔬菜,元/斤
华北,2.90,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.80,韭菜,天津,none,2018-08-03,蔬菜,元/斤
华北,2.90,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.80,韭菜,天津,none,2018-08-01,蔬菜,元/斤
华北,2.75,none,2018-08-25,天津韩家墅农产品批发市场,3.00,2.50,韭菜,天津,none,2018-07-31,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.00,韭菜,天津,none,2018-07-15,蔬菜,元/斤
华北,1.50,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.00,韭菜,天津,none,2018-07-14,蔬菜,元/斤
华北,1.10,none,2018-08-25,天津韩家墅农产品批发市场,1.20,1.00,韭菜,天津,none,2018-07-07,蔬菜,元/斤
华北,1.65,none,2018-08-25,天津韩家墅农产品批发市场,2.00,1.30,青椒,天津,none,2018-08-15,蔬菜,元/斤
华北,0.90,none,2018-08-25,天津韩家墅农产品批发市场,1.20,0.60,韭菜,天津,none,2018-06-23,蔬菜,元/斤
华北,1.90,none,2018-08-25,天津韩家墅农产品批发市场,2.50,1.30,青椒,天津,none,2018-08-08,蔬菜,元/斤
华北,1.95,none,2018-08-25,天津韩家墅农产品批发市场,2.50,1.40,青椒,天津,none,2018-08-07,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津韩家墅农产品批发市场,1.10,0.60,韭菜,天津,none,2018-06-10,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,1.10,0.50,韭菜,天津,none,2018-06-03,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,1.10,0.50,韭菜,天津,none,2018-05-31,蔬菜,元/斤
华北,0.82,none,2018-08-25,天津韩家墅农产品批发市场,1.10,0.55,韭菜,天津,none,2018-05-29,蔬菜,元/斤
华北,0.82,none,2018-08-25,天津韩家墅农产品批发市场,1.10,0.55,韭菜,天津,none,2018-05-25,蔬菜,元/斤
华北,0.82,none,2018-08-25,天津韩家墅农产品批发市场,1.10,0.55,韭菜,天津,none,2018-05-23,蔬菜,元/斤
华北,0.80,none,2018-08-25,天津韩家墅农产品批发市场,1.10,0.50,韭菜,天津,none,2018-05-22,蔬菜,元/斤
华北,0.85,none,2018-08-25,天津韩家墅农产品批发市场,1.20,0.50,韭菜,天津,none,2018-05-16,蔬菜,元/斤
华北,0.84,none,2018-08-25,天津韩家墅农产品批发市场,1.19,0.50,韭菜,天津,none,2018-05-15,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津韩家墅农产品批发市场,2.50,1.50,青椒,天津,none,2018-08-06,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津韩家墅农产品批发市场,2.50,1.50,青椒,天津,none,2018-08-04,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津韩家墅农产品批发市场,2.50,1.50,青椒,天津,none,2018-08-03,蔬菜,元/斤
华北,2.00,none,2018-08-25,天津韩家墅农产品批发市场,2.50,1.50,青椒,天津,none,2018-08-01,蔬菜,元/斤
