area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,1.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.33,蒜薹,宁夏,none,2018-08-15,蔬菜,元/斤
西北,1.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.32,蒜薹,宁夏,none,2018-08-13,蔬菜,元/斤
西北,1.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.35,蒜薹,宁夏,none,2018-08-08,蔬菜,元/斤
西北,1.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.35,蒜薹,宁夏,none,2018-08-07,蔬菜,元/斤
西北,1.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.33,蒜薹,宁夏,none,2018-08-06,蔬菜,元/斤
西北,1.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.33,蒜薹,宁夏,none,2018-08-05,蔬菜,元/斤
西北,1.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.33,蒜薹,宁夏,none,2018-08-03,蔬菜,元/斤
西北,1.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.32,蒜薹,宁夏,none,2018-08-02,蔬菜,元/斤
西北,1.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.32,蒜薹,宁夏,none,2018-08-01,蔬菜,元/斤
西北,1.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.28,蒜薹,宁夏,none,2018-07-31,蔬菜,元/斤
西北,1.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.60,1.38,蒜薹,宁夏,none,2018-07-15,蔬菜,元/斤
西北,1.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.60,1.36,蒜薹,宁夏,none,2018-07-14,蔬菜,元/斤
西北,1.30,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.28,蒜薹,宁夏,none,2018-07-01,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.50,1.50,蒜薹,宁夏,none,2018-05-29,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.50,1.50,蒜薹,宁夏,none,2018-05-25,蔬菜,元/斤
西北,1.55,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.70,1.50,蒜薹,宁夏,none,2018-05-24,蔬菜,元/斤
西北,1.55,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.70,1.50,蒜薹,宁夏,none,2018-05-23,蔬菜,元/斤
西北,1.55,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.70,1.50,蒜薹,宁夏,none,2018-05-22,蔬菜,元/斤
西北,1.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.60,1.26,蒜薹,宁夏,none,2018-05-20,蔬菜,元/斤
西北,1.45,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.60,1.42,蒜薹,宁夏,none,2018-05-16,蔬菜,元/斤
西北,1.20,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.35,1.19,蒜薹,宁夏,none,2018-05-08,蔬菜,元/斤
西北,1.10,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.30,1.08,蒜薹,宁夏,none,2018-05-06,蔬菜,元/斤
西北,1.10,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.30,1.06,蒜薹,宁夏,none,2018-05-03,蔬菜,元/斤
西北,1.00,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.20,0.94,蒜薹,宁夏,none,2018-05-02,蔬菜,元/斤
西北,1.10,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.20,1.05,蒜薹,宁夏,none,2018-04-28,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.90,胡萝卜,宁夏,none,2018-08-15,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.92,胡萝卜,宁夏,none,2018-08-13,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.90,胡萝卜,宁夏,none,2018-08-09,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.92,胡萝卜,宁夏,none,2018-08-08,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.92,胡萝卜,宁夏,none,2018-08-07,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.92,胡萝卜,宁夏,none,2018-08-06,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.93,胡萝卜,宁夏,none,2018-08-05,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.93,胡萝卜,宁夏,none,2018-08-03,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.93,胡萝卜,宁夏,none,2018-08-02,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.93,胡萝卜,宁夏,none,2018-08-01,蔬菜,元/斤
西北,0.95,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.10,0.91,胡萝卜,宁夏,none,2018-07-31,蔬菜,元/斤
西北,0.90,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.00,0.83,胡萝卜,宁夏,none,2018-07-15,蔬菜,元/斤
西北,0.90,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.00,0.86,胡萝卜,宁夏,none,2018-07-14,蔬菜,元/斤
西北,0.85,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.00,0.81,胡萝卜,宁夏,none,2018-07-01,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.00,1.60,胡萝卜,宁夏,none,2018-05-29,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.00,1.50,胡萝卜,宁夏,none,2018-05-25,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.00,1.50,胡萝卜,宁夏,none,2018-05-24,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.00,1.50,胡萝卜,宁夏,none,2018-05-23,蔬菜,元/斤
西北,1.50,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.00,1.35,胡萝卜,宁夏,none,2018-05-22,蔬菜,元/斤
西北,1.55,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.70,1.52,胡萝卜,宁夏,none,2018-05-20,蔬菜,元/斤
西北,1.65,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.75,1.63,胡萝卜,宁夏,none,2018-05-16,蔬菜,元/斤
西北,1.75,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.90,1.72,胡萝卜,宁夏,none,2018-05-15,蔬菜,元/斤
西北,1.75,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.90,1.72,胡萝卜,宁夏,none,2018-05-14,蔬菜,元/斤
西北,1.65,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.80,1.63,胡萝卜,宁夏,none,2018-05-08,蔬菜,元/斤
西北,1.60,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.80,1.58,胡萝卜,宁夏,none,2018-05-06,蔬菜,元/斤
西北,0.35,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.50,0.32,茄子,宁夏,none,2018-08-15,蔬菜,元/斤
西北,0.50,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.60,0.42,茄子,宁夏,none,2018-08-08,蔬菜,元/斤
西北,0.50,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.60,0.40,茄子,宁夏,none,2018-08-07,蔬菜,元/斤
西北,0.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.60,0.36,茄子,宁夏,none,2018-08-06,蔬菜,元/斤
西北,0.40,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.60,0.35,茄子,宁夏,none,2018-08-05,蔬菜,元/斤
西北,0.45,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.60,0.40,茄子,宁夏,none,2018-08-03,蔬菜,元/斤
西北,0.50,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.70,0.43,茄子,宁夏,none,2018-08-02,蔬菜,元/斤
西北,0.50,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.70,0.45,茄子,宁夏,none,2018-08-01,蔬菜,元/斤
西北,0.50,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.70,0.47,茄子,宁夏,none,2018-07-31,蔬菜,元/斤
西北,0.60,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.70,0.58,茄子,宁夏,none,2018-07-15,蔬菜,元/斤
西北,0.60,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.70,0.57,茄子,宁夏,none,2018-07-14,蔬菜,元/斤
西北,0.55,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,0.70,0.45,茄子,宁夏,none,2018-07-01,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.00,1.60,茄子,宁夏,none,2018-05-29,蔬菜,元/斤
西北,1.70,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.00,1.50,茄子,宁夏,none,2018-05-25,蔬菜,元/斤
西北,2.00,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,2.50,1.80,茄子,宁夏,none,2018-05-24,蔬菜,元/斤
西北,1.30,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.23,茄子,宁夏,none,2018-05-20,蔬菜,元/斤
西北,1.60,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.80,1.51,茄子,宁夏,none,2018-05-16,蔬菜,元/斤
西北,1.10,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.30,1.06,茄子,宁夏,none,2018-05-08,蔬菜,元/斤
西北,1.25,none,2018-08-24,宁夏银川北环蔬菜果品综合批发市场,1.50,1.18,茄子,宁夏,none,2018-05-06,蔬菜,元/斤
