area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,0.97,none,2018-08-26,安徽亳州市农产品有限责任公司,1.15,0.90,大葱,安徽,none,2018-08-25,蔬菜,元/斤
华东,0.97,none,2018-08-26,安徽亳州市农产品有限责任公司,1.15,0.90,大葱,安徽,none,2018-08-24,蔬菜,元/斤
华东,0.95,none,2018-08-26,安徽亳州市农产品有限责任公司,1.15,0.90,大葱,安徽,none,2018-08-23,蔬菜,元/斤
华东,0.95,none,2018-08-26,安徽亳州市农产品有限责任公司,1.15,0.90,大葱,安徽,none,2018-08-22,蔬菜,元/斤
华东,0.95,none,2018-08-26,安徽亳州市农产品有限责任公司,1.15,0.85,大葱,安徽,none,2018-08-20,蔬菜,元/斤
华东,0.87,none,2018-08-26,安徽亳州市农产品有限责任公司,1.15,0.75,大葱,安徽,none,2018-08-18,蔬菜,元/斤
华东,0.87,none,2018-08-26,安徽亳州市农产品有限责任公司,1.15,0.75,大葱,安徽,none,2018-08-15,蔬菜,元/斤
华东,0.87,none,2018-08-26,安徽亳州市农产品有限责任公司,1.10,0.70,大葱,安徽,none,2018-08-13,蔬菜,元/斤
华东,0.85,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.65,大葱,安徽,none,2018-08-12,蔬菜,元/斤
华东,0.85,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.65,大葱,安徽,none,2018-08-09,蔬菜,元/斤
华东,0.85,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.65,大葱,安徽,none,2018-08-08,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,大葱,安徽,none,2018-08-07,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,大葱,安徽,none,2018-08-06,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,大葱,安徽,none,2018-08-05,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,大葱,安徽,none,2018-08-03,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.85,大葱,安徽,none,2018-08-02,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,大葱,安徽,none,2018-08-01,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,大葱,安徽,none,2018-07-31,蔬菜,元/斤
华东,0.97,none,2018-08-26,安徽亳州市农产品有限责任公司,1.10,0.80,大葱,安徽,none,2018-07-14,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.10,0.85,大葱,安徽,none,2018-07-07,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,大葱,安徽,none,2018-07-01,蔬菜,元/斤
华东,1.07,none,2018-08-26,安徽亳州市农产品有限责任公司,1.25,1.00,大葱,安徽,none,2018-06-23,蔬菜,元/斤
华东,0.92,none,2018-08-26,安徽亳州市农产品有限责任公司,1.25,0.82,大葱,安徽,none,2018-06-10,蔬菜,元/斤
华东,0.80,none,2018-08-26,安徽亳州市农产品有限责任公司,0.95,0.70,大葱,安徽,none,2018-06-03,蔬菜,元/斤
华东,0.75,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.60,大葱,安徽,none,2018-05-29,蔬菜,元/斤
华东,1.30,none,2018-08-26,安徽亳州市农产品有限责任公司,1.40,1.15,韭菜,安徽,none,2018-08-25,蔬菜,元/斤
华东,1.30,none,2018-08-26,安徽亳州市农产品有限责任公司,1.40,1.12,韭菜,安徽,none,2018-08-24,蔬菜,元/斤
华东,1.30,none,2018-08-26,安徽亳州市农产品有限责任公司,1.40,1.10,韭菜,安徽,none,2018-08-23,蔬菜,元/斤
华东,1.25,none,2018-08-26,安徽亳州市农产品有限责任公司,1.35,1.00,韭菜,安徽,none,2018-08-22,蔬菜,元/斤
华东,1.17,none,2018-08-26,安徽亳州市农产品有限责任公司,1.25,1.00,韭菜,安徽,none,2018-08-20,蔬菜,元/斤
华东,1.25,none,2018-08-26,安徽亳州市农产品有限责任公司,1.40,1.10,韭菜,安徽,none,2018-08-18,蔬菜,元/斤
华东,1.20,none,2018-08-26,安徽亳州市农产品有限责任公司,1.40,1.00,韭菜,安徽,none,2018-08-15,蔬菜,元/斤
华东,1.30,none,2018-08-26,安徽亳州市农产品有限责任公司,1.50,1.10,韭菜,安徽,none,2018-08-13,蔬菜,元/斤
华东,1.42,none,2018-08-26,安徽亳州市农产品有限责任公司,1.65,1.25,韭菜,安徽,none,2018-08-12,蔬菜,元/斤
华东,1.40,none,2018-08-26,安徽亳州市农产品有限责任公司,1.60,1.25,韭菜,安徽,none,2018-08-09,蔬菜,元/斤
华东,1.25,none,2018-08-26,安徽亳州市农产品有限责任公司,1.50,1.10,韭菜,安徽,none,2018-08-08,蔬菜,元/斤
华东,1.10,none,2018-08-26,安徽亳州市农产品有限责任公司,1.25,1.00,韭菜,安徽,none,2018-08-07,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.10,0.80,韭菜,安徽,none,2018-08-06,蔬菜,元/斤
华东,0.85,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,韭菜,安徽,none,2018-08-05,蔬菜,元/斤
华东,0.85,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,韭菜,安徽,none,2018-08-03,蔬菜,元/斤
华东,0.82,none,2018-08-26,安徽亳州市农产品有限责任公司,0.90,0.75,韭菜,安徽,none,2018-08-02,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.75,韭菜,安徽,none,2018-08-01,蔬菜,元/斤
华东,0.90,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.80,韭菜,安徽,none,2018-07-31,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽亳州市农产品有限责任公司,0.70,0.60,韭菜,安徽,none,2018-07-14,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽亳州市农产品有限责任公司,0.72,0.60,韭菜,安徽,none,2018-07-07,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽亳州市农产品有限责任公司,0.75,0.60,韭菜,安徽,none,2018-07-01,蔬菜,元/斤
华东,0.75,none,2018-08-26,安徽亳州市农产品有限责任公司,1.00,0.60,韭菜,安徽,none,2018-06-23,蔬菜,元/斤
华东,0.55,none,2018-08-26,安徽亳州市农产品有限责任公司,0.65,0.45,韭菜,安徽,none,2018-06-10,蔬菜,元/斤
华东,0.55,none,2018-08-26,安徽亳州市农产品有限责任公司,0.60,0.50,韭菜,安徽,none,2018-06-03,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽亳州市农产品有限责任公司,0.70,0.60,韭菜,安徽,none,2018-05-29,蔬菜,元/斤
华东,1.10,none,2018-08-26,安徽亳州市农产品有限责任公司,1.25,1.00,青椒,安徽,none,2018-08-25,蔬菜,元/斤
