area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-05-02,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-05-01,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-28,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-26,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-25,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-24,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-22,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-21,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-19,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-17,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-14,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-13,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-08,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-07,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-06,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-04-01,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-03-30,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-03-29,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-03-26,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-03-24,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-03-21,蔬菜,元/斤
华东,3.50,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.00,2.50,香菜,安徽,none,2018-03-18,蔬菜,元/斤
华东,4.00,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,5.00,3.00,香菜,安徽,none,2018-03-17,蔬菜,元/斤
华东,4.00,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,5.00,3.00,香菜,安徽,none,2018-03-14,蔬菜,元/斤
华东,4.00,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,5.00,3.00,香菜,安徽,none,2018-03-13,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-18,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-13,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-12,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-09,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-08,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-07,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-06,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-05,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-04,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-03,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-02,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-08-01,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-07-31,蔬菜,元/斤
华东,3.90,none,2018-08-24,安徽六安市裕安区紫竹林农产品批发市场,4.50,3.00,生姜,安徽,none,2018-07-15,蔬菜,元/斤
