area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-08-06,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-05-16,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-05-15,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-05-14,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-05-02,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-04-20,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-04-13,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-03-24,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-03-21,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-03-13,蔬菜,元/斤
华东,1.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-03-06,蔬菜,元/斤
华东,2.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-02-13,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-02-05,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-02-03,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-02-01,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-01-31,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-01-29,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-01-17,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-01-11,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-01-10,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-01-04,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2018-01-03,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2017-12-26,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2017-12-22,蔬菜,元/斤
华东,1.30,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,韭菜,安徽,none,2017-12-19,蔬菜,元/斤
华东,1.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-08-06,蔬菜,元/斤
华东,2.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-05-16,蔬菜,元/斤
华东,2.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-05-02,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-04-20,蔬菜,元/斤
华东,3.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-04-13,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-03-24,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-03-13,蔬菜,元/斤
华东,3.50,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-03-06,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-02-13,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-02-05,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽砀山农产品中心惠丰批发市场,0.00,0.00,青椒,安徽,none,2018-02-03,蔬菜,元/斤
