area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,0.60,none,2018-08-26,安徽阜阳农产品中心批发市场,0.70,0.50,大葱,安徽,none,2018-08-25,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-24,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-23,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-22,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-20,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-18,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-15,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-13,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-12,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-11,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-09,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-08,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-07,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-06,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-05,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-04,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-03,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-02,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-08-01,蔬菜,元/斤
华东,0.65,none,2018-08-26,安徽阜阳农产品中心批发市场,0.75,0.55,大葱,安徽,none,2018-07-31,蔬菜,元/斤
华东,0.60,none,2018-08-26,安徽阜阳农产品中心批发市场,0.70,0.50,大葱,安徽,none,2018-07-15,蔬菜,元/斤
华东,0.60,none,2018-08-26,安徽阜阳农产品中心批发市场,0.70,0.50,大葱,安徽,none,2018-07-14,蔬菜,元/斤
华东,0.60,none,2018-08-26,安徽阜阳农产品中心批发市场,0.70,0.50,大葱,安徽,none,2018-07-07,蔬菜,元/斤
华东,0.60,none,2018-08-26,安徽阜阳农产品中心批发市场,0.70,0.50,大葱,安徽,none,2018-07-01,蔬菜,元/斤
华东,0.50,none,2018-08-26,安徽阜阳农产品中心批发市场,0.60,0.40,大葱,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.15,none,2018-08-26,安徽阜阳农产品中心批发市场,2.15,1.75,青椒,安徽,none,2018-08-25,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-24,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-23,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-22,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-20,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-18,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-15,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-12,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-11,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-08,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-07,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-06,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-05,蔬菜,元/斤
华东,2.10,none,2018-08-26,安徽阜阳农产品中心批发市场,2.10,1.70,青椒,安徽,none,2018-08-04,蔬菜,元/斤
