area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-18,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-15,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-12,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-08,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-07,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-06,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-05,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-04,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-03,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-02,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东临邑县临南蔬菜大市场,1.40,1.00,尖椒,山东,none,2018-08-01,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东临邑县临南蔬菜大市场,1.30,0.80,尖椒,山东,none,2018-07-31,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东临邑县临南蔬菜大市场,1.30,0.80,尖椒,山东,none,2018-07-15,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.70,尖椒,山东,none,2018-07-14,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.70,尖椒,山东,none,2018-07-07,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.70,尖椒,山东,none,2018-07-01,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.70,尖椒,山东,none,2018-06-23,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.95,尖椒,山东,none,2018-06-10,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.95,尖椒,山东,none,2018-06-03,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.95,尖椒,山东,none,2018-05-29,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.95,尖椒,山东,none,2018-05-25,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.95,尖椒,山东,none,2018-05-24,蔬菜,元/斤
华东,0.95,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.85,尖椒,山东,none,2018-05-20,蔬菜,元/斤
华东,0.95,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.85,尖椒,山东,none,2018-05-16,蔬菜,元/斤
华东,2.20,none,2018-08-25,山东临邑县临南蔬菜大市场,2.40,2.00,尖椒,山东,none,2018-05-08,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-23,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-20,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-19,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-17,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-15,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-12,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-11,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-10,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-09,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-07,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-05,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-04,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2018-01-01,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2017-12-31,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2017-12-29,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2017-12-28,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2017-12-26,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2017-12-22,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2017-12-20,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,2.10,1.80,香菜,山东,none,2017-12-19,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,0.00,0.00,香菜,山东,none,2017-12-18,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,0.00,0.00,香菜,山东,none,2017-12-17,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,0.00,0.00,香菜,山东,none,2017-12-16,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,0.00,0.00,香菜,山东,none,2017-12-13,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东临邑县临南蔬菜大市场,0.00,0.00,香菜,山东,none,2017-12-12,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.90,西葫芦,山东,none,2018-08-18,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.90,西葫芦,山东,none,2018-08-15,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.90,西葫芦,山东,none,2018-08-12,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.90,西葫芦,山东,none,2018-08-08,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.90,西葫芦,山东,none,2018-08-07,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.90,西葫芦,山东,none,2018-08-06,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东临邑县临南蔬菜大市场,1.20,0.90,西葫芦,山东,none,2018-08-05,蔬菜,元/斤
