area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.20,0.80,大葱,山东,none,2018-08-18,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.20,0.80,大葱,山东,none,2018-08-15,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.20,0.70,大葱,山东,none,2018-08-13,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-12,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-11,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-09,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-08,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-07,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-06,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-05,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-04,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.10,0.70,大葱,山东,none,2018-08-03,蔬菜,元/斤
华东,0.80,none,2018-08-25,山东威海市农副产品批发市场,1.00,0.70,大葱,山东,none,2018-08-02,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东威海市农副产品批发市场,0.70,0.50,大葱,山东,none,2018-07-15,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东威海市农副产品批发市场,1.00,0.60,大葱,山东,none,2018-06-23,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东威海市农副产品批发市场,1.40,0.60,大葱,山东,none,2018-06-03,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东威海市农副产品批发市场,1.40,0.60,大葱,山东,none,2018-05-29,蔬菜,元/斤
华东,0.70,none,2018-08-25,山东威海市农副产品批发市场,0.80,0.60,大葱,山东,none,2018-05-24,蔬菜,元/斤
华东,0.70,none,2018-08-25,山东威海市农副产品批发市场,0.80,0.60,大葱,山东,none,2018-05-23,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东威海市农副产品批发市场,0.70,0.50,大葱,山东,none,2018-05-20,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东威海市农副产品批发市场,0.70,0.50,大葱,山东,none,2018-05-15,蔬菜,元/斤
华东,0.60,none,2018-08-25,山东威海市农副产品批发市场,0.70,0.50,大葱,山东,none,2018-05-12,蔬菜,元/斤
华东,0.50,none,2018-08-25,山东威海市农副产品批发市场,0.70,0.30,大葱,山东,none,2018-05-08,蔬菜,元/斤
华东,0.50,none,2018-08-25,山东威海市农副产品批发市场,0.70,0.30,大葱,山东,none,2018-05-03,蔬菜,元/斤
华东,0.50,none,2018-08-25,山东威海市农副产品批发市场,0.70,0.30,大葱,山东,none,2018-05-02,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东威海市农副产品批发市场,2.70,1.50,韭菜,山东,none,2018-08-18,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东威海市农副产品批发市场,2.50,1.80,韭菜,山东,none,2018-08-15,蔬菜,元/斤
华东,2.50,none,2018-08-25,山东威海市农副产品批发市场,3.20,1.80,韭菜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.80,none,2018-08-25,山东威海市农副产品批发市场,2.50,1.30,韭菜,山东,none,2018-08-03,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东威海市农副产品批发市场,2.00,0.80,韭菜,山东,none,2018-03-27,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东威海市农副产品批发市场,1.50,0.80,韭菜,山东,none,2018-03-21,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东威海市农副产品批发市场,1.50,0.80,韭菜,山东,none,2018-03-19,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东威海市农副产品批发市场,1.50,0.80,韭菜,山东,none,2018-03-17,蔬菜,元/斤
华东,2.60,none,2018-08-25,山东威海市农副产品批发市场,3.00,1.50,韭菜,山东,none,2018-02-03,蔬菜,元/斤
华东,2.60,none,2018-08-25,山东威海市农副产品批发市场,3.00,1.50,韭菜,山东,none,2018-02-02,蔬菜,元/斤
华东,2.60,none,2018-08-25,山东威海市农副产品批发市场,3.00,1.50,韭菜,山东,none,2018-01-31,蔬菜,元/斤
华东,2.60,none,2018-08-25,山东威海市农副产品批发市场,3.00,1.50,韭菜,山东,none,2018-01-26,蔬菜,元/斤
华东,2.60,none,2018-08-25,山东威海市农副产品批发市场,3.00,2.00,韭菜,山东,none,2018-01-19,蔬菜,元/斤
华东,2.80,none,2018-08-25,山东威海市农副产品批发市场,3.20,2.00,韭菜,山东,none,2018-01-17,蔬菜,元/斤
华东,3.00,none,2018-08-25,山东威海市农副产品批发市场,3.50,2.00,韭菜,山东,none,2018-01-12,蔬菜,元/斤
华东,2.50,none,2018-08-25,山东威海市农副产品批发市场,3.50,1.00,韭菜,山东,none,2018-01-11,蔬菜,元/斤
华东,2.50,none,2018-08-25,山东威海市农副产品批发市场,3.50,1.00,韭菜,山东,none,2018-01-10,蔬菜,元/斤
华东,2.50,none,2018-08-25,山东威海市农副产品批发市场,3.50,1.00,韭菜,山东,none,2018-01-09,蔬菜,元/斤
华东,2.60,none,2018-08-25,山东威海市农副产品批发市场,3.00,2.20,韭菜,山东,none,2018-01-05,蔬菜,元/斤
华东,2.60,none,2018-08-25,山东威海市农副产品批发市场,3.00,2.20,韭菜,山东,none,2018-01-04,蔬菜,元/斤
