area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,2.00,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,2.00,油菜,山东,none,2018-08-18,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,2.00,油菜,山东,none,2018-08-17,蔬菜,元/斤
华东,3.50,none,2018-08-25,山东德州黑马农贸水产批发市场,4.00,3.00,油菜,山东,none,2018-08-15,蔬菜,元/斤
华东,2.80,none,2018-08-25,山东德州黑马农贸水产批发市场,3.00,2.75,油菜,山东,none,2018-08-12,蔬菜,元/斤
华东,2.80,none,2018-08-25,山东德州黑马农贸水产批发市场,3.00,2.25,油菜,山东,none,2018-08-11,蔬菜,元/斤
华东,2.30,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.25,油菜,山东,none,2018-08-09,蔬菜,元/斤
华东,2.30,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.25,油菜,山东,none,2018-08-08,蔬菜,元/斤
华东,2.30,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.25,油菜,山东,none,2018-08-07,蔬菜,元/斤
华东,2.20,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,油菜,山东,none,2018-08-06,蔬菜,元/斤
华东,2.20,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,油菜,山东,none,2018-08-04,蔬菜,元/斤
华东,1.70,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,1.50,油菜,山东,none,2018-08-03,蔬菜,元/斤
华东,1.70,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,1.50,油菜,山东,none,2018-08-02,蔬菜,元/斤
华东,1.75,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,1.50,油菜,山东,none,2018-08-01,蔬菜,元/斤
华东,2.25,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,油菜,山东,none,2018-07-31,蔬菜,元/斤
华东,1.90,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,0.75,油菜,山东,none,2018-07-15,蔬菜,元/斤
华东,1.50,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,0.75,油菜,山东,none,2018-07-14,蔬菜,元/斤
华东,0.90,none,2018-08-25,山东德州黑马农贸水产批发市场,1.00,0.50,油菜,山东,none,2018-07-01,蔬菜,元/斤
华东,0.70,none,2018-08-25,山东德州黑马农贸水产批发市场,1.00,0.60,油菜,山东,none,2018-06-23,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,0.90,油菜,山东,none,2018-06-10,蔬菜,元/斤
华东,1.00,none,2018-08-25,山东德州黑马农贸水产批发市场,1.50,0.80,油菜,山东,none,2018-06-03,蔬菜,元/斤
华东,1.40,none,2018-08-25,山东德州黑马农贸水产批发市场,1.50,0.80,油菜,山东,none,2018-05-31,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东德州黑马农贸水产批发市场,1.50,0.80,油菜,山东,none,2018-05-29,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东德州黑马农贸水产批发市场,1.50,0.80,油菜,山东,none,2018-05-25,蔬菜,元/斤
华东,1.30,none,2018-08-25,山东德州黑马农贸水产批发市场,1.50,0.80,油菜,山东,none,2018-05-24,蔬菜,元/斤
华东,1.20,none,2018-08-25,山东德州黑马农贸水产批发市场,1.50,0.80,油菜,山东,none,2018-05-23,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-18,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-15,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-12,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-11,蔬菜,元/斤
华东,2.00,none,2018-08-25,山东德州黑马农贸水产批发市场,2.00,2.00,生姜,山东,none,2018-08-09,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-08,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-07,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-06,蔬菜,元/斤
华东,2.40,none,2018-08-25,山东德州黑马农贸水产批发市场,2.50,2.00,生姜,山东,none,2018-08-04,蔬菜,元/斤
华东,2.50,none,2018-08-25,山东德州黑马农贸水产批发市场,2.70,2.50,生姜,山东,none,2018-08-03,蔬菜,元/斤
华东,2.50,none,2018-08-25,山东德州黑马农贸水产批发市场,2.70,2.50,生姜,山东,none,2018-08-02,蔬菜,元/斤
