area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.40,none,2018-08-26,山西太原市城东利民果菜批发市场,1.50,1.30,大葱,山西,none,2018-08-25,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.60,0.70,大葱,山西,none,2018-08-24,蔬菜,元/斤
华北,1.80,none,2018-08-26,山西太原市城东利民果菜批发市场,1.90,1.70,大葱,山西,none,2018-08-23,蔬菜,元/斤
华北,1.80,none,2018-08-26,山西太原市城东利民果菜批发市场,1.90,1.70,大葱,山西,none,2018-08-22,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西太原市城东利民果菜批发市场,1.50,1.30,大葱,山西,none,2018-08-20,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西太原市城东利民果菜批发市场,1.50,1.30,大葱,山西,none,2018-08-18,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,大葱,山西,none,2018-08-15,蔬菜,元/斤
华北,1.05,none,2018-08-26,山西太原市城东利民果菜批发市场,1.10,1.00,大葱,山西,none,2018-08-13,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,大葱,山西,none,2018-08-12,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,大葱,山西,none,2018-08-11,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,大葱,山西,none,2018-08-09,蔬菜,元/斤
华北,1.05,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,0.80,大葱,山西,none,2018-08-08,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,大葱,山西,none,2018-08-07,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,大葱,山西,none,2018-08-06,蔬菜,元/斤
华北,1.05,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,0.80,大葱,山西,none,2018-08-05,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,大葱,山西,none,2018-08-04,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,0.70,大葱,山西,none,2018-08-03,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,0.70,大葱,山西,none,2018-08-02,蔬菜,元/斤
华北,1.20,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.10,大葱,山西,none,2018-08-01,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.20,大葱,山西,none,2018-07-31,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,大葱,山西,none,2018-07-15,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,大葱,山西,none,2018-07-14,蔬菜,元/斤
华北,0.80,none,2018-08-26,山西太原市城东利民果菜批发市场,0.90,0.70,大葱,山西,none,2018-07-07,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,大葱,山西,none,2018-07-01,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,大葱,山西,none,2018-06-23,蔬菜,元/斤
华北,2.40,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.30,韭菜,山西,none,2018-08-25,蔬菜,元/斤
华北,2.40,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.30,韭菜,山西,none,2018-08-24,蔬菜,元/斤
华北,2.40,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.30,韭菜,山西,none,2018-08-23,蔬菜,元/斤
华北,2.30,none,2018-08-26,山西太原市城东利民果菜批发市场,2.40,2.20,韭菜,山西,none,2018-08-22,蔬菜,元/斤
华北,2.25,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.00,韭菜,山西,none,2018-08-20,蔬菜,元/斤
华北,2.25,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.00,韭菜,山西,none,2018-08-18,蔬菜,元/斤
华北,1.90,none,2018-08-26,山西太原市城东利民果菜批发市场,2.00,1.80,韭菜,山西,none,2018-08-15,蔬菜,元/斤
华北,2.65,none,2018-08-26,山西太原市城东利民果菜批发市场,2.80,2.50,韭菜,山西,none,2018-08-13,蔬菜,元/斤
华北,2.40,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.30,韭菜,山西,none,2018-08-12,蔬菜,元/斤
华北,2.40,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.30,韭菜,山西,none,2018-08-11,蔬菜,元/斤
华北,2.00,none,2018-08-26,山西太原市城东利民果菜批发市场,2.20,1.80,韭菜,山西,none,2018-08-09,蔬菜,元/斤
华北,2.00,none,2018-08-26,山西太原市城东利民果菜批发市场,2.20,1.80,韭菜,山西,none,2018-08-08,蔬菜,元/斤
华北,2.40,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.30,韭菜,山西,none,2018-08-07,蔬菜,元/斤
华北,2.60,none,2018-08-26,山西太原市城东利民果菜批发市场,2.70,2.50,韭菜,山西,none,2018-08-06,蔬菜,元/斤
华北,2.10,none,2018-08-26,山西太原市城东利民果菜批发市场,2.20,2.00,韭菜,山西,none,2018-08-05,蔬菜,元/斤
华北,2.60,none,2018-08-26,山西太原市城东利民果菜批发市场,2.70,2.50,韭菜,山西,none,2018-08-04,蔬菜,元/斤
华北,2.15,none,2018-08-26,山西太原市城东利民果菜批发市场,2.30,2.00,韭菜,山西,none,2018-08-03,蔬菜,元/斤
华北,2.40,none,2018-08-26,山西太原市城东利民果菜批发市场,2.50,2.30,韭菜,山西,none,2018-08-02,蔬菜,元/斤
华北,2.70,none,2018-08-26,山西太原市城东利民果菜批发市场,2.80,2.60,韭菜,山西,none,2018-08-01,蔬菜,元/斤
华北,2.60,none,2018-08-26,山西太原市城东利民果菜批发市场,2.70,2.50,韭菜,山西,none,2018-07-31,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,韭菜,山西,none,2018-07-15,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,韭菜,山西,none,2018-07-14,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,韭菜,山西,none,2018-07-07,蔬菜,元/斤
华北,1.20,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.10,韭菜,山西,none,2018-07-01,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,韭菜,山西,none,2018-06-23,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西太原市城东利民果菜批发市场,1.50,1.00,青椒,山西,none,2018-08-25,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西太原市城东利民果菜批发市场,1.60,1.20,青椒,山西,none,2018-08-24,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西太原市城东利民果菜批发市场,1.50,1.00,青椒,山西,none,2018-08-23,蔬菜,元/斤
华北,1.60,none,2018-08-26,山西太原市城东利民果菜批发市场,1.70,1.50,青椒,山西,none,2018-08-22,蔬菜,元/斤
华北,1.20,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.10,青椒,山西,none,2018-08-20,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,青椒,山西,none,2018-08-18,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,青椒,山西,none,2018-08-15,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,青椒,山西,none,2018-08-12,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,青椒,山西,none,2018-08-11,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,青椒,山西,none,2018-08-08,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,青椒,山西,none,2018-08-07,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西太原市城东利民果菜批发市场,1.10,0.90,青椒,山西,none,2018-08-06,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,青椒,山西,none,2018-08-05,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西太原市城东利民果菜批发市场,1.10,0.90,青椒,山西,none,2018-08-04,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,青椒,山西,none,2018-08-03,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西太原市城东利民果菜批发市场,1.00,0.80,青椒,山西,none,2018-08-02,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,青椒,山西,none,2018-08-01,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.10,青椒,山西,none,2018-07-31,蔬菜,元/斤
华北,1.20,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.10,青椒,山西,none,2018-07-15,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西太原市城东利民果菜批发市场,1.30,1.00,青椒,山西,none,2018-07-14,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,青椒,山西,none,2018-07-07,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西太原市城东利民果菜批发市场,1.20,1.00,青椒,山西,none,2018-07-01,蔬菜,元/斤
华北,1.60,none,2018-08-26,山西太原市城东利民果菜批发市场,1.70,1.50,青椒,山西,none,2018-06-23,蔬菜,元/斤
华北,2.10,none,2018-08-26,山西太原市城东利民果菜批发市场,2.20,2.00,青椒,山西,none,2018-06-10,蔬菜,元/斤
华北,2.10,none,2018-08-26,山西太原市城东利民果菜批发市场,2.20,2.00,青椒,山西,none,2018-06-03,蔬菜,元/斤
华北,2.95,none,2018-08-26,山西太原市城东利民果菜批发市场,3.20,2.70,黄瓜,山西,none,2018-08-25,蔬菜,元/斤
