area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,2.75,none,2018-08-26,山西省太原市河西农产品有限公司,3.20,2.30,黄瓜,山西,none,2018-08-25,蔬菜,元/斤
华北,2.75,none,2018-08-26,山西省太原市河西农产品有限公司,3.20,2.30,黄瓜,山西,none,2018-08-24,蔬菜,元/斤
华北,2.55,none,2018-08-26,山西省太原市河西农产品有限公司,2.80,2.30,黄瓜,山西,none,2018-08-23,蔬菜,元/斤
华北,2.75,none,2018-08-26,山西省太原市河西农产品有限公司,3.20,2.30,黄瓜,山西,none,2018-08-22,蔬菜,元/斤
华北,1.70,none,2018-08-26,山西省太原市河西农产品有限公司,2.10,1.30,黄瓜,山西,none,2018-08-20,蔬菜,元/斤
华北,1.60,none,2018-08-26,山西省太原市河西农产品有限公司,2.00,1.20,黄瓜,山西,none,2018-08-18,蔬菜,元/斤
华北,1.60,none,2018-08-26,山西省太原市河西农产品有限公司,2.00,1.20,黄瓜,山西,none,2018-08-15,蔬菜,元/斤
华北,1.60,none,2018-08-26,山西省太原市河西农产品有限公司,2.00,1.20,黄瓜,山西,none,2018-08-12,蔬菜,元/斤
华北,1.45,none,2018-08-26,山西省太原市河西农产品有限公司,1.70,1.20,黄瓜,山西,none,2018-08-11,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西省太原市河西农产品有限公司,1.60,1.20,黄瓜,山西,none,2018-08-08,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西省太原市河西农产品有限公司,1.60,1.20,黄瓜,山西,none,2018-08-07,蔬菜,元/斤
华北,1.35,none,2018-08-26,山西省太原市河西农产品有限公司,1.50,1.20,黄瓜,山西,none,2018-08-06,蔬菜,元/斤
华北,2.00,none,2018-08-26,山西省太原市河西农产品有限公司,2.20,1.80,黄瓜,山西,none,2018-08-04,蔬菜,元/斤
华北,2.00,none,2018-08-26,山西省太原市河西农产品有限公司,2.20,1.80,黄瓜,山西,none,2018-08-03,蔬菜,元/斤
华北,2.10,none,2018-08-26,山西省太原市河西农产品有限公司,2.50,1.70,黄瓜,山西,none,2018-08-02,蔬菜,元/斤
华北,2.00,none,2018-08-26,山西省太原市河西农产品有限公司,2.30,1.70,黄瓜,山西,none,2018-08-01,蔬菜,元/斤
华北,2.00,none,2018-08-26,山西省太原市河西农产品有限公司,2.20,1.80,黄瓜,山西,none,2018-07-31,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西省太原市河西农产品有限公司,1.60,1.20,黄瓜,山西,none,2018-07-15,蔬菜,元/斤
华北,1.50,none,2018-08-26,山西省太原市河西农产品有限公司,1.80,1.20,黄瓜,山西,none,2018-07-14,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西省太原市河西农产品有限公司,1.20,0.80,黄瓜,山西,none,2018-07-01,蔬菜,元/斤
华北,0.85,none,2018-08-26,山西省太原市河西农产品有限公司,0.90,0.80,黄瓜,山西,none,2018-06-23,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.60,0.90,黄瓜,山西,none,2018-06-10,蔬菜,元/斤
华北,1.20,none,2018-08-26,山西省太原市河西农产品有限公司,1.40,1.00,黄瓜,山西,none,2018-06-03,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西省太原市河西农产品有限公司,1.50,1.30,黄瓜,山西,none,2018-05-29,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.50,1.00,黄瓜,山西,none,2018-05-25,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西省太原市河西农产品有限公司,1.20,0.80,芹菜,山西,none,2018-08-25,蔬菜,元/斤
华北,1.05,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,0.80,芹菜,山西,none,2018-08-24,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西省太原市河西农产品有限公司,1.20,0.80,芹菜,山西,none,2018-08-23,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西省太原市河西农产品有限公司,1.20,0.80,芹菜,山西,none,2018-08-22,蔬菜,元/斤
华北,1.30,none,2018-08-26,山西省太原市河西农产品有限公司,1.40,1.20,芹菜,山西,none,2018-08-20,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-18,蔬菜,元/斤
华北,0.95,none,2018-08-26,山西省太原市河西农产品有限公司,1.00,0.90,芹菜,山西,none,2018-08-15,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-13,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-12,蔬菜,元/斤
华北,1.30,none,2018-08-26,山西省太原市河西农产品有限公司,1.40,1.20,芹菜,山西,none,2018-08-11,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-08,蔬菜,元/斤
华北,1.30,none,2018-08-26,山西省太原市河西农产品有限公司,1.40,1.20,芹菜,山西,none,2018-08-07,蔬菜,元/斤
华北,1.35,none,2018-08-26,山西省太原市河西农产品有限公司,1.50,1.20,芹菜,山西,none,2018-08-06,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-04,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-03,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-02,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-08-01,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西省太原市河西农产品有限公司,1.30,1.20,芹菜,山西,none,2018-07-31,蔬菜,元/斤
