area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,4.25,none,2018-08-26,山西长治市金鑫瓜果批发市场,6.00,3.50,草莓,山西,none,2018-05-12,蔬菜,元/斤
华北,3.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,6.00,3.00,草莓,山西,none,2018-04-28,蔬菜,元/斤
华北,3.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,6.00,3.00,草莓,山西,none,2018-04-27,蔬菜,元/斤
华北,3.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,6.00,3.00,草莓,山西,none,2018-04-26,蔬菜,元/斤
华北,3.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,6.00,3.00,草莓,山西,none,2018-04-25,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.00,3.00,草莓,山西,none,2018-04-24,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.00,3.00,草莓,山西,none,2018-04-22,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.00,3.00,草莓,山西,none,2018-04-21,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.00,3.00,草莓,山西,none,2018-04-20,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.00,3.00,草莓,山西,none,2018-04-19,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,8.00,3.00,草莓,山西,none,2018-04-16,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,8.00,3.50,草莓,山西,none,2018-04-14,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,8.00,3.50,草莓,山西,none,2018-04-13,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,9.00,3.50,草莓,山西,none,2018-04-12,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,9.00,4.00,草莓,山西,none,2018-04-08,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,9.00,4.00,草莓,山西,none,2018-04-07,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,9.00,4.00,草莓,山西,none,2018-04-06,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,10.00,4.00,草莓,山西,none,2018-04-01,蔬菜,元/斤
华北,5.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,10.00,4.00,草莓,山西,none,2018-03-28,蔬菜,元/斤
华北,5.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,10.00,4.00,草莓,山西,none,2018-03-27,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,4.00,草莓,山西,none,2018-03-24,蔬菜,元/斤
华北,5.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,4.00,草莓,山西,none,2018-03-23,蔬菜,元/斤
华北,5.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,4.00,草莓,山西,none,2018-03-22,蔬菜,元/斤
华北,5.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,10.00,4.00,草莓,山西,none,2018-03-18,蔬菜,元/斤
华北,5.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,11.00,5.00,草莓,山西,none,2018-03-17,蔬菜,元/斤
华北,0.85,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.00,0.70,西瓜,山西,none,2018-08-25,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.00,0.70,西瓜,山西,none,2018-08-23,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.20,0.80,西瓜,山西,none,2018-08-22,蔬菜,元/斤
华北,1.15,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.40,0.90,西瓜,山西,none,2018-08-20,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.40,0.90,西瓜,山西,none,2018-08-18,蔬菜,元/斤
华北,1.25,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.40,0.90,西瓜,山西,none,2018-08-15,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.15,0.75,西瓜,山西,none,2018-08-12,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.15,0.75,西瓜,山西,none,2018-08-08,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.15,0.75,西瓜,山西,none,2018-08-07,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.15,0.75,西瓜,山西,none,2018-08-06,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.15,0.75,西瓜,山西,none,2018-08-05,蔬菜,元/斤
华北,0.90,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.15,0.75,西瓜,山西,none,2018-08-04,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.20,0.75,西瓜,山西,none,2018-08-03,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.20,0.75,西瓜,山西,none,2018-08-02,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.20,0.75,西瓜,山西,none,2018-08-01,蔬菜,元/斤
华北,1.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.20,0.75,西瓜,山西,none,2018-07-31,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.40,0.85,西瓜,山西,none,2018-07-15,蔬菜,元/斤
华北,1.10,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.40,0.85,西瓜,山西,none,2018-07-14,蔬菜,元/斤
华北,1.20,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.50,1.00,西瓜,山西,none,2018-06-23,蔬菜,元/斤
华北,1.30,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.50,1.10,西瓜,山西,none,2018-06-10,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.50,1.25,西瓜,山西,none,2018-06-03,蔬菜,元/斤
华北,1.30,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.60,1.00,西瓜,山西,none,2018-05-25,蔬菜,元/斤
华北,1.40,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.60,1.00,西瓜,山西,none,2018-05-24,蔬菜,元/斤
华北,1.20,none,2018-08-26,山西长治市金鑫瓜果批发市场,1.60,1.00,西瓜,山西,none,2018-05-20,蔬菜,元/斤
华北,1.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,2.00,1.30,西瓜,山西,none,2018-05-12,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,3.50,草莓,山西,none,2017-04-16,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,3.50,草莓,山西,none,2017-04-14,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,3.50,草莓,山西,none,2017-04-13,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,3.50,草莓,山西,none,2017-04-12,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,12.50,3.50,草莓,山西,none,2017-04-11,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,5.50,3.50,草莓,山西,none,2017-04-10,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,5.50,3.50,草莓,山西,none,2017-04-09,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,5.50,3.50,草莓,山西,none,2017-04-08,蔬菜,元/斤
华北,4.00,none,2018-08-26,山西长治市金鑫瓜果批发市场,6.50,3.50,草莓,山西,none,2017-04-06,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.50,4.00,草莓,山西,none,2017-04-05,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.50,4.00,草莓,山西,none,2017-04-04,蔬菜,元/斤
华北,4.50,none,2018-08-26,山西长治市金鑫瓜果批发市场,7.50,4.00,草莓,山西,none,2017-04-02,蔬菜,元/斤
