area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华南,0.80,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.70,黑美人西瓜,广东,none,2018-08-18,蔬菜,元/斤
华南,0.80,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.70,黑美人西瓜,广东,none,2018-08-15,蔬菜,元/斤
华南,0.60,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.70,0.50,黑美人西瓜,广东,none,2018-08-11,蔬菜,元/斤
华南,0.70,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.50,黑美人西瓜,广东,none,2018-08-08,蔬菜,元/斤
华南,0.65,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.80,0.50,黑美人西瓜,广东,none,2018-08-07,蔬菜,元/斤
华南,0.60,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.70,0.50,黑美人西瓜,广东,none,2018-08-06,蔬菜,元/斤
华南,0.80,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.70,黑美人西瓜,广东,none,2018-08-04,蔬菜,元/斤
华南,0.80,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.70,黑美人西瓜,广东,none,2018-08-03,蔬菜,元/斤
华南,0.75,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.60,黑美人西瓜,广东,none,2018-08-02,蔬菜,元/斤
华南,0.70,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.50,黑美人西瓜,广东,none,2018-08-01,蔬菜,元/斤
华南,0.70,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,0.90,0.50,黑美人西瓜,广东,none,2018-07-31,蔬菜,元/斤
华南,0.80,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.00,0.60,黑美人西瓜,广东,none,2018-07-15,蔬菜,元/斤
华南,0.80,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.00,0.60,黑美人西瓜,广东,none,2018-07-14,蔬菜,元/斤
华南,0.95,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.20,0.70,黑美人西瓜,广东,none,2018-06-23,蔬菜,元/斤
华南,1.15,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.20,1.10,黑美人西瓜,广东,none,2018-06-10,蔬菜,元/斤
华南,1.30,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.40,1.20,黑美人西瓜,广东,none,2018-06-03,蔬菜,元/斤
华南,1.60,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.80,1.40,黑美人西瓜,广东,none,2018-05-25,蔬菜,元/斤
华南,1.60,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.80,1.40,黑美人西瓜,广东,none,2018-05-24,蔬菜,元/斤
华南,1.55,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.70,1.40,黑美人西瓜,广东,none,2018-05-20,蔬菜,元/斤
华南,1.30,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.40,1.20,黑美人西瓜,广东,none,2018-05-16,蔬菜,元/斤
华南,1.45,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.70,1.20,黑美人西瓜,广东,none,2018-05-08,蔬菜,元/斤
华南,1.30,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.40,1.20,黑美人西瓜,广东,none,2018-05-02,蔬菜,元/斤
华南,1.50,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.80,1.20,黑美人西瓜,广东,none,2018-04-28,蔬菜,元/斤
华南,1.50,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.80,1.20,黑美人西瓜,广东,none,2018-04-27,蔬菜,元/斤
华南,1.50,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.80,1.20,黑美人西瓜,广东,none,2018-04-26,蔬菜,元/斤
华南,1.10,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.20,1.00,麒麟西瓜,广东,none,2018-08-18,蔬菜,元/斤
华南,1.10,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.20,1.00,麒麟西瓜,广东,none,2018-08-15,蔬菜,元/斤
华南,1.00,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.20,0.80,麒麟西瓜,广东,none,2018-08-01,蔬菜,元/斤
华南,1.00,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.20,0.80,麒麟西瓜,广东,none,2018-07-31,蔬菜,元/斤
华南,1.30,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.40,1.20,麒麟西瓜,广东,none,2017-10-26,蔬菜,元/斤
华南,1.25,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.30,1.20,麒麟西瓜,广东,none,2017-10-25,蔬菜,元/斤
华南,1.15,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.20,1.10,麒麟西瓜,广东,none,2017-10-24,蔬菜,元/斤
华南,1.05,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.10,1.00,麒麟西瓜,广东,none,2017-10-14,蔬菜,元/斤
华南,1.00,none,2018-08-24,广东江门市新会区水果食品批发市场有限公司,1.10,0.90,麒麟西瓜,广东,none,2017-10-12,蔬菜,元/斤
