area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华南,2.50,none,2018-08-24,广西田阳农副产品综合批发市场,3.00,1.80,甜瓜,广西,none,2018-07-15,蔬菜,元/斤
华南,2.50,none,2018-08-24,广西田阳农副产品综合批发市场,3.00,1.80,甜瓜,广西,none,2018-07-14,蔬菜,元/斤
华南,2.70,none,2018-08-24,广西田阳农副产品综合批发市场,3.20,2.00,甜瓜,广西,none,2018-06-23,蔬菜,元/斤
华南,2.80,none,2018-08-24,广西田阳农副产品综合批发市场,3.00,2.00,甜瓜,广西,none,2018-06-10,蔬菜,元/斤
华南,3.30,none,2018-08-24,广西田阳农副产品综合批发市场,3.50,2.00,甜瓜,广西,none,2018-06-03,蔬菜,元/斤
华南,3.50,none,2018-08-24,广西田阳农副产品综合批发市场,4.00,2.50,甜瓜,广西,none,2018-05-25,蔬菜,元/斤
华南,3.50,none,2018-08-24,广西田阳农副产品综合批发市场,4.00,2.50,甜瓜,广西,none,2018-05-24,蔬菜,元/斤
华南,2.00,none,2018-08-24,广西田阳农副产品综合批发市场,2.20,1.00,甜瓜,广西,none,2017-07-03,蔬菜,元/斤
华南,1.80,none,2018-08-24,广西田阳农副产品综合批发市场,2.20,1.20,甜瓜,广西,none,2017-06-30,蔬菜,元/斤
华南,2.20,none,2018-08-24,广西田阳农副产品综合批发市场,2.80,1.50,甜瓜,广西,none,2017-06-21,蔬菜,元/斤
华南,2.50,none,2018-08-24,广西田阳农副产品综合批发市场,3.00,1.70,甜瓜,广西,none,2017-06-17,蔬菜,元/斤
华南,2.60,none,2018-08-24,广西田阳农副产品综合批发市场,3.00,1.80,甜瓜,广西,none,2017-06-13,蔬菜,元/斤
华南,2.60,none,2018-08-24,广西田阳农副产品综合批发市场,3.00,1.70,甜瓜,广西,none,2017-06-12,蔬菜,元/斤
华南,2.80,none,2018-08-24,广西田阳农副产品综合批发市场,3.30,2.00,甜瓜,广西,none,2017-06-03,蔬菜,元/斤
华南,3.00,none,2018-08-24,广西田阳农副产品综合批发市场,3.50,2.00,甜瓜,广西,none,2017-06-01,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.40,0.70,樱桃西红柿,广西,none,2018-08-18,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西田阳农副产品综合批发市场,1.50,0.70,樱桃西红柿,广西,none,2018-08-15,蔬菜,元/斤
华南,1.30,none,2018-08-24,广西田阳农副产品综合批发市场,1.70,0.80,樱桃西红柿,广西,none,2018-08-12,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西田阳农副产品综合批发市场,1.50,0.80,樱桃西红柿,广西,none,2018-08-11,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西田阳农副产品综合批发市场,1.40,0.70,樱桃西红柿,广西,none,2018-08-08,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西田阳农副产品综合批发市场,1.50,0.70,樱桃西红柿,广西,none,2018-08-07,蔬菜,元/斤
华南,1.20,none,2018-08-24,广西田阳农副产品综合批发市场,1.50,0.70,樱桃西红柿,广西,none,2018-08-06,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.30,0.60,樱桃西红柿,广西,none,2018-08-05,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.30,0.60,樱桃西红柿,广西,none,2018-08-04,蔬菜,元/斤
华南,0.90,none,2018-08-24,广西田阳农副产品综合批发市场,1.30,0.60,樱桃西红柿,广西,none,2018-08-03,蔬菜,元/斤
华南,0.90,none,2018-08-24,广西田阳农副产品综合批发市场,1.30,0.60,樱桃西红柿,广西,none,2018-08-02,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.50,0.60,樱桃西红柿,广西,none,2018-08-01,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.50,0.60,樱桃西红柿,广西,none,2018-07-31,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西田阳农副产品综合批发市场,1.60,0.60,樱桃西红柿,广西,none,2018-07-15,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.50,0.60,樱桃西红柿,广西,none,2018-07-14,蔬菜,元/斤
华南,0.80,none,2018-08-24,广西田阳农副产品综合批发市场,1.10,0.50,樱桃西红柿,广西,none,2018-07-07,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西田阳农副产品综合批发市场,1.40,0.70,樱桃西红柿,广西,none,2018-07-01,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.40,0.70,樱桃西红柿,广西,none,2018-06-23,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.20,0.70,樱桃西红柿,广西,none,2018-06-10,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西田阳农副产品综合批发市场,0.90,0.50,樱桃西红柿,广西,none,2018-06-03,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西田阳农副产品综合批发市场,0.80,0.40,樱桃西红柿,广西,none,2018-05-29,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西田阳农副产品综合批发市场,0.80,0.40,樱桃西红柿,广西,none,2018-05-25,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西田阳农副产品综合批发市场,0.80,0.40,樱桃西红柿,广西,none,2018-05-24,蔬菜,元/斤
华南,0.70,none,2018-08-24,广西田阳农副产品综合批发市场,0.90,0.40,樱桃西红柿,广西,none,2018-05-23,蔬菜,元/斤
华南,0.60,none,2018-08-24,广西田阳农副产品综合批发市场,0.70,0.30,樱桃西红柿,广西,none,2018-05-20,蔬菜,元/斤
华南,1.00,none,2018-08-24,广西田阳农副产品综合批发市场,1.30,0.70,西瓜,广西,none,2018-08-06,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西田阳农副产品综合批发市场,1.40,0.70,西瓜,广西,none,2018-08-05,蔬菜,元/斤
华南,1.10,none,2018-08-24,广西田阳农副产品综合批发市场,1.40,0.70,西瓜,广西,none,2018-08-04,蔬菜,元/斤
