area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.40,none,2018-08-27,徐州农副产品中心批发市场,1.50,1.30,菠菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.90,none,2018-08-27,徐州农副产品中心批发市场,2.00,1.80,生菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,3.00,none,2018-08-27,徐州农副产品中心批发市场,3.50,2.50,大蒜,江苏,none,2017-12-22,蔬菜,元/斤
华东,2.85,none,2018-08-27,徐州农副产品中心批发市场,3.20,2.50,蒜薹,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.60,none,2018-08-27,徐州农副产品中心批发市场,0.70,0.50,莴笋,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.90,none,2018-08-27,徐州农副产品中心批发市场,1.00,0.80,小白菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.40,none,2018-08-27,徐州农副产品中心批发市场,1.50,1.30,油麦菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.40,none,2018-08-27,徐州农副产品中心批发市场,1.50,1.30,西红柿,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.90,none,2018-08-27,徐州农副产品中心批发市场,1.00,0.80,土豆,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.35,none,2018-08-27,徐州农副产品中心批发市场,0.40,0.30,大白菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.60,none,2018-08-27,徐州农副产品中心批发市场,0.70,0.50,芹菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.75,none,2018-08-27,徐州农副产品中心批发市场,2.00,1.50,莲藕,江苏,none,2017-12-22,蔬菜,元/斤
华东,2.15,none,2018-08-27,徐州农副产品中心批发市场,2.30,2.00,山药,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.25,none,2018-08-27,徐州农副产品中心批发市场,1.50,1.00,茼蒿,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.80,none,2018-08-27,徐州农副产品中心批发市场,1.00,0.60,空心菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.20,none,2018-08-27,徐州农副产品中心批发市场,1.40,1.00,茴香,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.60,none,2018-08-27,徐州农副产品中心批发市场,1.70,1.50,木耳菜,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.65,none,2018-08-27,徐州农副产品中心批发市场,0.80,0.50,葱头,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.75,none,2018-08-27,徐州农副产品中心批发市场,1.00,0.50,胡萝卜,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.70,none,2018-08-27,徐州农副产品中心批发市场,0.80,0.60,红萝卜,江苏,none,2017-12-22,蔬菜,元/斤
华东,1.10,none,2018-08-27,徐州农副产品中心批发市场,1.20,1.00,菜花,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.55,none,2018-08-27,徐州农副产品中心批发市场,0.60,0.50,白萝卜,江苏,none,2017-12-22,蔬菜,元/斤
华东,0.85,none,2018-08-27,徐州农副产品中心批发市场,1.00,0.70,大葱,江苏,none,2017-12-22,蔬菜,元/斤
华东,3.25,none,2018-08-27,徐州农副产品中心批发市场,3.50,3.00,韭菜,江苏,none,2017-12-22,蔬菜,元/斤
