area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.80,1.20,生菜,四川,none,2018-08-17,蔬菜,元/斤
西南,1.70,none,2018-08-24,成都市农产品中心批发市场,2.00,1.50,生菜,四川,none,2018-08-15,蔬菜,元/斤
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.60,1.40,生菜,四川,none,2018-08-13,蔬菜,元/斤
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.70,1.30,生菜,四川,none,2018-08-09,蔬菜,元/斤
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.60,1.40,生菜,四川,none,2018-08-08,蔬菜,元/斤
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.60,1.40,生菜,四川,none,2018-08-07,蔬菜,元/斤
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.60,1.40,生菜,四川,none,2018-08-06,蔬菜,元/斤
西南,1.70,none,2018-08-24,成都市农产品中心批发市场,1.80,1.60,生菜,四川,none,2018-08-03,蔬菜,元/斤
西南,1.70,none,2018-08-24,成都市农产品中心批发市场,1.80,1.60,生菜,四川,none,2018-08-02,蔬菜,元/斤
西南,1.70,none,2018-08-24,成都市农产品中心批发市场,1.80,1.60,生菜,四川,none,2018-08-01,蔬菜,元/斤
西南,1.80,none,2018-08-24,成都市农产品中心批发市场,2.00,1.70,生菜,四川,none,2018-07-31,蔬菜,元/斤
西南,1.60,none,2018-08-24,成都市农产品中心批发市场,1.80,1.40,生菜,四川,none,2018-05-31,蔬菜,元/斤
西南,1.60,none,2018-08-24,成都市农产品中心批发市场,1.80,1.40,生菜,四川,none,2018-05-29,蔬菜,元/斤
西南,1.60,none,2018-08-24,成都市农产品中心批发市场,1.80,1.40,生菜,四川,none,2018-05-25,蔬菜,元/斤
西南,1.60,none,2018-08-24,成都市农产品中心批发市场,1.80,1.40,生菜,四川,none,2018-05-24,蔬菜,元/斤
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.80,1.30,生菜,四川,none,2018-05-23,蔬菜,元/斤
西南,1.50,none,2018-08-24,成都市农产品中心批发市场,1.80,1.30,生菜,四川,none,2018-05-22,蔬菜,元/斤
西南,1.20,none,2018-08-24,成都市农产品中心批发市场,1.40,1.00,生菜,四川,none,2018-05-16,蔬菜,元/斤
