area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西南,3.40,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,3.00,韭菜,四川,none,2018-08-18,蔬菜,元/斤
西南,3.20,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-08-15,蔬菜,元/斤
西南,3.40,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-08-13,蔬菜,元/斤
西南,3.25,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-08-11,蔬菜,元/斤
西南,3.25,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-08-09,蔬菜,元/斤
西南,3.35,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.80,韭菜,四川,none,2018-08-08,蔬菜,元/斤
西南,3.25,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.80,韭菜,四川,none,2018-08-07,蔬菜,元/斤
西南,3.20,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.80,韭菜,四川,none,2018-08-06,蔬菜,元/斤
西南,3.20,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.80,韭菜,四川,none,2018-08-05,蔬菜,元/斤
西南,3.20,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-08-04,蔬菜,元/斤
西南,3.20,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-08-03,蔬菜,元/斤
西南,3.00,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-08-02,蔬菜,元/斤
西南,3.00,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.70,韭菜,四川,none,2018-07-31,蔬菜,元/斤
西南,3.50,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.60,韭菜,四川,none,2018-07-15,蔬菜,元/斤
西南,3.50,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,4.00,2.60,韭菜,四川,none,2018-07-14,蔬菜,元/斤
西南,2.50,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,3.00,2.15,韭菜,四川,none,2018-07-01,蔬菜,元/斤
西南,2.70,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,3.00,2.15,韭菜,四川,none,2018-06-23,蔬菜,元/斤
西南,2.10,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,3.00,1.70,韭菜,四川,none,2018-06-10,蔬菜,元/斤
西南,1.90,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,3.00,1.50,韭菜,四川,none,2018-06-03,蔬菜,元/斤
西南,1.90,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,3.00,1.50,韭菜,四川,none,2018-05-31,蔬菜,元/斤
西南,1.80,none,2018-08-24,成都龙泉聚和（国际）果蔬交易中心,3.00,1.50,韭菜,四川,none,2018-05-29,蔬菜,元/斤
