area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-15,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-13,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-09,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-08,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-07,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-06,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-03,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-08-02,蔬菜,元/斤
西北,0.75,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,0.75,白萝卜,新疆,none,2018-08-01,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-05-29,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-05-25,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-05-24,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-05-23,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-05-22,蔬菜,元/斤
西北,1.00,none,2018-08-24,新疆乌鲁木齐凌庆蔬菜果品有限公司,1.00,1.00,白萝卜,新疆,none,2018-05-16,蔬菜,元/斤
