area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,1.90,1.50,南瓜,新疆,none,2018-08-15,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,1.90,1.50,南瓜,新疆,none,2018-08-12,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,1.90,1.50,南瓜,新疆,none,2018-08-08,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,1.90,1.50,南瓜,新疆,none,2018-08-06,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,1.90,1.50,南瓜,新疆,none,2018-08-05,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,1.90,1.50,南瓜,新疆,none,2018-08-04,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,1.90,1.50,南瓜,新疆,none,2018-08-03,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,2.00,1.50,南瓜,新疆,none,2018-07-15,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,2.00,1.50,南瓜,新疆,none,2018-05-29,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,2.00,1.50,南瓜,新疆,none,2018-05-24,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,2.00,1.50,南瓜,新疆,none,2018-05-20,蔬菜,元/斤
西北,1.75,none,2018-08-24,新疆兵团第七师137团绿衡蔬菜瓜果批发市场,2.00,1.50,南瓜,新疆,none,2018-05-16,蔬菜,元/斤
