area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,2.75,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.00,2.50,西兰花,新疆,none,2018-08-15,蔬菜,元/斤
西北,2.75,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.00,2.50,西兰花,新疆,none,2018-08-12,蔬菜,元/斤
西北,3.00,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.50,2.50,西兰花,新疆,none,2018-08-08,蔬菜,元/斤
西北,3.00,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.50,2.50,西兰花,新疆,none,2018-08-07,蔬菜,元/斤
西北,3.00,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.50,2.50,西兰花,新疆,none,2018-08-06,蔬菜,元/斤
西北,3.00,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.50,2.50,西兰花,新疆,none,2018-08-05,蔬菜,元/斤
西北,3.00,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.50,2.50,西兰花,新疆,none,2018-08-03,蔬菜,元/斤
西北,3.00,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.50,2.50,西兰花,新疆,none,2018-08-02,蔬菜,元/斤
西北,2.37,none,2018-08-24,新疆焉耆光明农副产品批发市场,2.50,2.25,西兰花,新疆,none,2018-08-01,蔬菜,元/斤
西北,2.87,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.00,2.75,西兰花,新疆,none,2018-07-15,蔬菜,元/斤
西北,2.62,none,2018-08-24,新疆焉耆光明农副产品批发市场,2.75,2.50,西兰花,新疆,none,2018-07-01,蔬菜,元/斤
西北,2.90,none,2018-08-24,新疆焉耆光明农副产品批发市场,3.00,2.80,西兰花,新疆,none,2018-06-10,蔬菜,元/斤
西北,3.87,none,2018-08-24,新疆焉耆光明农副产品批发市场,4.00,3.75,西兰花,新疆,none,2018-06-03,蔬菜,元/斤
西北,3.87,none,2018-08-24,新疆焉耆光明农副产品批发市场,4.00,3.75,西兰花,新疆,none,2018-05-29,蔬菜,元/斤
西北,3.87,none,2018-08-24,新疆焉耆光明农副产品批发市场,4.00,3.75,西兰花,新疆,none,2018-05-25,蔬菜,元/斤
