area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.10,0.90,白萝卜,湖北,none,2018-08-18,蔬菜,元/斤
华中,0.92,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.10,0.75,白萝卜,湖北,none,2018-08-15,蔬菜,元/斤
华中,0.95,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.20,0.70,白萝卜,湖北,none,2018-08-13,蔬菜,元/斤
华中,0.95,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.20,0.70,白萝卜,湖北,none,2018-08-12,蔬菜,元/斤
华中,0.95,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.20,0.70,白萝卜,湖北,none,2018-08-11,蔬菜,元/斤
华中,0.80,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.00,0.60,白萝卜,湖北,none,2018-08-09,蔬菜,元/斤
华中,0.97,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.20,0.75,白萝卜,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.30,0.70,白萝卜,湖北,none,2018-08-07,蔬菜,元/斤
华中,1.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.30,0.70,白萝卜,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.30,0.70,白萝卜,湖北,none,2018-08-05,蔬菜,元/斤
华中,0.90,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.20,0.60,白萝卜,湖北,none,2018-08-04,蔬菜,元/斤
华中,1.02,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.30,0.75,白萝卜,湖北,none,2018-08-03,蔬菜,元/斤
华中,1.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.20,0.80,白萝卜,湖北,none,2018-08-01,蔬菜,元/斤
华中,1.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.20,0.80,白萝卜,湖北,none,2018-07-31,蔬菜,元/斤
华中,0.65,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.80,0.50,白萝卜,湖北,none,2018-07-15,蔬菜,元/斤
华中,0.70,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.80,0.60,白萝卜,湖北,none,2018-07-14,蔬菜,元/斤
华中,0.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.90,0.60,白萝卜,湖北,none,2018-07-07,蔬菜,元/斤
华中,0.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.90,0.60,白萝卜,湖北,none,2018-07-01,蔬菜,元/斤
华中,0.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.90,0.60,白萝卜,湖北,none,2018-06-23,蔬菜,元/斤
华中,0.80,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.00,0.60,白萝卜,湖北,none,2018-06-10,蔬菜,元/斤
华中,0.65,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.80,0.50,白萝卜,湖北,none,2018-06-03,蔬菜,元/斤
华中,0.65,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.80,0.50,白萝卜,湖北,none,2018-05-29,蔬菜,元/斤
华中,0.65,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.80,0.50,白萝卜,湖北,none,2018-05-25,蔬菜,元/斤
华中,0.65,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.80,0.50,白萝卜,湖北,none,2018-05-24,蔬菜,元/斤
华中,0.70,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,0.90,0.50,白萝卜,湖北,none,2018-05-23,蔬菜,元/斤
华中,2.25,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.50,2.00,大葱,湖北,none,2018-08-18,蔬菜,元/斤
华中,2.25,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.50,2.00,大葱,湖北,none,2018-08-15,蔬菜,元/斤
华中,1.87,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.25,1.50,大葱,湖北,none,2018-08-13,蔬菜,元/斤
华中,1.87,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.25,1.50,大葱,湖北,none,2018-08-12,蔬菜,元/斤
华中,2.20,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.40,2.00,大葱,湖北,none,2018-08-11,蔬菜,元/斤
华中,2.25,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.50,2.00,大葱,湖北,none,2018-08-09,蔬菜,元/斤
华中,2.25,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.50,2.00,大葱,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.90,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.30,1.50,大葱,湖北,none,2018-08-07,蔬菜,元/斤
华中,1.90,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.30,1.50,大葱,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.90,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.30,1.50,大葱,湖北,none,2018-08-05,蔬菜,元/斤
华中,2.40,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.50,2.30,大葱,湖北,none,2018-08-04,蔬菜,元/斤
华中,2.40,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.50,2.30,大葱,湖北,none,2018-08-03,蔬菜,元/斤
华中,2.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.25,1.75,大葱,湖北,none,2018-08-02,蔬菜,元/斤
华中,2.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.25,1.75,大葱,湖北,none,2018-08-01,蔬菜,元/斤
华中,2.00,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.25,1.75,大葱,湖北,none,2018-07-31,蔬菜,元/斤
华中,1.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.00,1.50,大葱,湖北,none,2018-07-15,蔬菜,元/斤
华中,1.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.00,1.50,大葱,湖北,none,2018-07-14,蔬菜,元/斤
华中,1.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.00,1.50,大葱,湖北,none,2018-07-07,蔬菜,元/斤
华中,1.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.00,1.50,大葱,湖北,none,2018-07-01,蔬菜,元/斤
华中,1.75,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.00,1.50,大葱,湖北,none,2018-06-23,蔬菜,元/斤
华中,1.82,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.15,1.50,大葱,湖北,none,2018-06-10,蔬菜,元/斤
华中,1.80,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.00,1.60,大葱,湖北,none,2018-06-03,蔬菜,元/斤
华中,1.92,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.25,1.60,大葱,湖北,none,2018-05-29,蔬菜,元/斤
华中,1.82,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.90,1.75,大葱,湖北,none,2018-05-25,蔬菜,元/斤
华中,1.82,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,1.90,1.75,大葱,湖北,none,2018-05-24,蔬菜,元/斤
华中,2.37,none,2018-08-24,武汉武商皇经堂农副产品批发市场有限公司,2.50,2.25,韭菜,湖北,none,2018-08-18,蔬菜,元/斤
