area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.30,none,2018-08-27,江苏丰县农林局,1.50,1.00,白萝卜,江苏,none,2018-08-24,蔬菜,元/斤
华东,0.90,none,2018-08-27,江苏丰县农林局,1.00,0.80,白萝卜,江苏,none,2018-08-23,蔬菜,元/斤
华东,0.90,none,2018-08-27,江苏丰县农林局,1.00,0.80,白萝卜,江苏,none,2018-08-22,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-20,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-15,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-13,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-09,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-08,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-07,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-06,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-03,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-08-01,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏丰县农林局,0.80,0.60,白萝卜,江苏,none,2018-07-31,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏丰县农林局,0.70,0.50,白萝卜,江苏,none,2018-05-29,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏丰县农林局,0.70,0.50,白萝卜,江苏,none,2018-05-25,蔬菜,元/斤
