area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,0.90,none,2018-08-27,江苏凌家塘农副产品批发市场,1.30,0.60,大白菜,江苏,none,2018-08-25,蔬菜,元/斤
华东,0.90,none,2018-08-27,江苏凌家塘农副产品批发市场,1.30,0.60,大白菜,江苏,none,2018-08-24,蔬菜,元/斤
华东,1.00,none,2018-08-27,江苏凌家塘农副产品批发市场,1.30,0.60,大白菜,江苏,none,2018-08-23,蔬菜,元/斤
华东,0.80,none,2018-08-27,江苏凌家塘农副产品批发市场,1.30,0.60,大白菜,江苏,none,2018-08-22,蔬菜,元/斤
华东,0.80,none,2018-08-27,江苏凌家塘农副产品批发市场,1.30,0.60,大白菜,江苏,none,2018-08-21,蔬菜,元/斤
华东,0.80,none,2018-08-27,江苏凌家塘农副产品批发市场,1.20,0.60,大白菜,江苏,none,2018-08-20,蔬菜,元/斤
华东,0.70,none,2018-08-27,江苏凌家塘农副产品批发市场,1.10,0.40,大白菜,江苏,none,2018-08-18,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.40,大白菜,江苏,none,2018-08-17,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.40,大白菜,江苏,none,2018-08-16,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.40,大白菜,江苏,none,2018-08-15,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.40,大白菜,江苏,none,2018-08-13,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.40,大白菜,江苏,none,2018-08-12,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.40,大白菜,江苏,none,2018-08-11,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.45,大白菜,江苏,none,2018-08-09,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,1.00,0.45,大白菜,江苏,none,2018-08-08,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,1.00,0.45,大白菜,江苏,none,2018-08-07,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,1.00,0.45,大白菜,江苏,none,2018-08-06,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.45,大白菜,江苏,none,2018-08-05,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.45,大白菜,江苏,none,2018-08-04,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.45,大白菜,江苏,none,2018-08-03,蔬菜,元/斤
华东,0.60,none,2018-08-27,江苏凌家塘农副产品批发市场,0.90,0.45,大白菜,江苏,none,2018-08-02,蔬菜,元/斤
