area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.80,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.50,韭菜,江苏,none,2018-08-25,蔬菜,元/斤
华东,1.90,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.80,韭菜,江苏,none,2018-08-24,蔬菜,元/斤
华东,1.90,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.80,韭菜,江苏,none,2018-08-23,蔬菜,元/斤
华东,1.80,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.70,韭菜,江苏,none,2018-08-22,蔬菜,元/斤
华东,1.90,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.80,韭菜,江苏,none,2018-08-20,蔬菜,元/斤
华东,1.70,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,1.80,1.50,韭菜,江苏,none,2018-08-18,蔬菜,元/斤
华东,1.80,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.50,韭菜,江苏,none,2018-08-15,蔬菜,元/斤
华东,1.90,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.80,韭菜,江苏,none,2018-08-13,蔬菜,元/斤
华东,1.90,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.80,韭菜,江苏,none,2018-08-12,蔬菜,元/斤
华东,1.70,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,1.80,1.50,韭菜,江苏,none,2018-08-11,蔬菜,元/斤
华东,1.80,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.70,韭菜,江苏,none,2018-08-09,蔬菜,元/斤
华东,1.75,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.50,韭菜,江苏,none,2018-08-08,蔬菜,元/斤
华东,1.80,none,2018-08-27,江苏宜兴蔬菜副食品批发市场,2.00,1.70,韭菜,江苏,none,2018-08-07,蔬菜,元/斤
