area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.80,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-08-22,蔬菜,元/斤
华北,1.80,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-08-20,蔬菜,元/斤
华北,1.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-08-07,蔬菜,元/斤
华北,1.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-08-06,蔬菜,元/斤
华北,1.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-08-01,蔬菜,元/斤
华北,1.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-07-31,蔬菜,元/斤
华北,1.85,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-05-29,蔬菜,元/斤
华北,1.85,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-05-24,蔬菜,元/斤
华北,2.15,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-05-16,蔬菜,元/斤
华北,2.00,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-05-08,蔬菜,元/斤
华北,2.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-05-03,蔬菜,元/斤
华北,2.40,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-05-02,蔬菜,元/斤
华北,2.60,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-28,蔬菜,元/斤
华北,3.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-27,蔬菜,元/斤
华北,3.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-26,蔬菜,元/斤
华北,3.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-25,蔬菜,元/斤
华北,3.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-24,蔬菜,元/斤
华北,3.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-20,蔬菜,元/斤
华北,3.30,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-19,蔬菜,元/斤
华北,3.40,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-17,蔬菜,元/斤
华北,3.40,none,2018-08-26,河北三河市建兴农副产品批发市场,0.00,0.00,青椒,河北,none,2018-04-16,蔬菜,元/斤
