area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.80,none,2018-08-26,河北怀来县京西果菜批发市场,0.80,0.80,大白菜,河北,none,2018-08-25,蔬菜,元/斤
华北,0.70,none,2018-08-26,河北怀来县京西果菜批发市场,0.70,0.70,大白菜,河北,none,2018-08-24,蔬菜,元/斤
华北,0.75,none,2018-08-26,河北怀来县京西果菜批发市场,0.80,0.70,大白菜,河北,none,2018-08-23,蔬菜,元/斤
华北,0.75,none,2018-08-26,河北怀来县京西果菜批发市场,0.90,0.70,大白菜,河北,none,2018-08-22,蔬菜,元/斤
华北,0.80,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,0.60,大白菜,河北,none,2018-08-21,蔬菜,元/斤
华北,0.80,none,2018-08-26,河北怀来县京西果菜批发市场,1.10,0.60,大白菜,河北,none,2018-08-20,蔬菜,元/斤
华北,0.57,none,2018-08-26,河北怀来县京西果菜批发市场,0.60,0.50,大白菜,河北,none,2018-08-18,蔬菜,元/斤
华北,0.62,none,2018-08-26,河北怀来县京西果菜批发市场,0.70,0.50,大白菜,河北,none,2018-08-17,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.83,0.50,大白菜,河北,none,2018-08-16,蔬菜,元/斤
华北,0.61,none,2018-08-26,河北怀来县京西果菜批发市场,0.75,0.50,大白菜,河北,none,2018-08-15,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.65,0.50,大白菜,河北,none,2018-08-13,蔬菜,元/斤
华北,0.57,none,2018-08-26,河北怀来县京西果菜批发市场,0.60,0.50,大白菜,河北,none,2018-08-11,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.65,0.50,大白菜,河北,none,2018-08-10,蔬菜,元/斤
华北,0.67,none,2018-08-26,河北怀来县京西果菜批发市场,0.70,0.50,大白菜,河北,none,2018-08-09,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.66,0.50,大白菜,河北,none,2018-08-07,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北怀来县京西果菜批发市场,0.60,0.50,大白菜,河北,none,2018-08-06,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.65,0.50,大白菜,河北,none,2018-08-05,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.65,0.50,大白菜,河北,none,2018-08-04,蔬菜,元/斤
华北,0.65,none,2018-08-26,河北怀来县京西果菜批发市场,0.70,0.50,大白菜,河北,none,2018-08-03,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.75,0.50,大白菜,河北,none,2018-08-02,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.65,0.50,大白菜,河北,none,2018-08-01,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北怀来县京西果菜批发市场,0.60,0.50,大白菜,河北,none,2018-07-31,蔬菜,元/斤
华北,0.24,none,2018-08-26,河北怀来县京西果菜批发市场,0.27,0.21,大白菜,河北,none,2018-07-07,蔬菜,元/斤
华北,0.11,none,2018-08-26,河北怀来县京西果菜批发市场,0.13,0.10,大白菜,河北,none,2018-07-01,蔬菜,元/斤
华北,0.15,none,2018-08-26,河北怀来县京西果菜批发市场,0.16,0.14,大白菜,河北,none,2018-06-23,蔬菜,元/斤
华北,0.75,none,2018-08-26,河北怀来县京西果菜批发市场,0.85,0.45,芹菜,河北,none,2018-05-25,蔬菜,元/斤
华北,0.75,none,2018-08-26,河北怀来县京西果菜批发市场,0.85,0.45,芹菜,河北,none,2018-05-24,蔬菜,元/斤
华北,0.75,none,2018-08-26,河北怀来县京西果菜批发市场,0.82,0.45,芹菜,河北,none,2018-05-23,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北怀来县京西果菜批发市场,0.68,0.45,芹菜,河北,none,2018-05-22,蔬菜,元/斤
华北,0.62,none,2018-08-26,河北怀来县京西果菜批发市场,0.67,0.45,芹菜,河北,none,2018-05-20,蔬菜,元/斤
华北,1.00,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,0.10,芹菜,河北,none,2018-05-16,蔬菜,元/斤
华北,1.00,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,1.00,芹菜,河北,none,2018-05-15,蔬菜,元/斤
华北,1.03,none,2018-08-26,河北怀来县京西果菜批发市场,1.10,1.00,芹菜,河北,none,2018-05-08,蔬菜,元/斤
华北,0.75,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,0.60,芹菜,河北,none,2018-05-06,蔬菜,元/斤
华北,0.98,none,2018-08-26,河北怀来县京西果菜批发市场,1.50,0.50,芹菜,河北,none,2018-05-03,蔬菜,元/斤
华北,0.90,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,0.75,芹菜,河北,none,2018-05-02,蔬菜,元/斤
华北,0.93,none,2018-08-26,河北怀来县京西果菜批发市场,1.02,0.85,芹菜,河北,none,2018-05-01,蔬菜,元/斤
华北,0.93,none,2018-08-26,河北怀来县京西果菜批发市场,1.02,0.85,芹菜,河北,none,2018-04-25,蔬菜,元/斤
华北,0.94,none,2018-08-26,河北怀来县京西果菜批发市场,1.03,0.83,芹菜,河北,none,2018-04-24,蔬菜,元/斤
华北,0.92,none,2018-08-26,河北怀来县京西果菜批发市场,1.20,0.50,芹菜,河北,none,2018-04-22,蔬菜,元/斤
华北,1.00,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,1.00,芹菜,河北,none,2018-04-21,蔬菜,元/斤
华北,1.20,none,2018-08-26,河北怀来县京西果菜批发市场,1.20,1.20,芹菜,河北,none,2018-04-20,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北怀来县京西果菜批发市场,0.40,0.40,芹菜,河北,none,2018-04-19,蔬菜,元/斤
华北,0.70,none,2018-08-26,河北怀来县京西果菜批发市场,0.70,0.70,芹菜,河北,none,2018-04-17,蔬菜,元/斤
华北,0.70,none,2018-08-26,河北怀来县京西果菜批发市场,0.70,0.70,芹菜,河北,none,2018-04-16,蔬菜,元/斤
华北,0.70,none,2018-08-26,河北怀来县京西果菜批发市场,0.70,0.70,芹菜,河北,none,2018-04-14,蔬菜,元/斤
华北,0.72,none,2018-08-26,河北怀来县京西果菜批发市场,0.75,0.70,芹菜,河北,none,2018-04-13,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北怀来县京西果菜批发市场,0.40,0.40,芹菜,河北,none,2018-04-12,蔬菜,元/斤
华北,0.52,none,2018-08-26,河北怀来县京西果菜批发市场,0.52,0.52,芹菜,河北,none,2018-04-08,蔬菜,元/斤
华北,0.52,none,2018-08-26,河北怀来县京西果菜批发市场,0.52,0.52,芹菜,河北,none,2018-04-07,蔬菜,元/斤
华北,1.28,none,2018-08-26,河北怀来县京西果菜批发市场,1.90,0.50,西红柿,河北,none,2018-08-25,蔬菜,元/斤
华北,1.60,none,2018-08-26,河北怀来县京西果菜批发市场,2.10,0.50,西红柿,河北,none,2018-08-24,蔬菜,元/斤
华北,1.55,none,2018-08-26,河北怀来县京西果菜批发市场,2.05,0.70,西红柿,河北,none,2018-08-23,蔬菜,元/斤
华北,1.41,none,2018-08-26,河北怀来县京西果菜批发市场,2.10,0.60,西红柿,河北,none,2018-08-22,蔬菜,元/斤
华北,1.51,none,2018-08-26,河北怀来县京西果菜批发市场,2.10,0.80,西红柿,河北,none,2018-08-20,蔬菜,元/斤
华北,1.05,none,2018-08-26,河北怀来县京西果菜批发市场,1.60,0.40,西红柿,河北,none,2018-08-18,蔬菜,元/斤
华北,0.90,none,2018-08-26,河北怀来县京西果菜批发市场,1.30,0.50,西红柿,河北,none,2018-08-15,蔬菜,元/斤
华北,0.70,none,2018-08-26,河北怀来县京西果菜批发市场,1.15,0.30,西红柿,河北,none,2018-08-11,蔬菜,元/斤
华北,0.90,none,2018-08-26,河北怀来县京西果菜批发市场,1.50,0.50,西红柿,河北,none,2018-08-07,蔬菜,元/斤
华北,0.82,none,2018-08-26,河北怀来县京西果菜批发市场,1.33,0.50,西红柿,河北,none,2018-08-06,蔬菜,元/斤
华北,0.94,none,2018-08-26,河北怀来县京西果菜批发市场,1.60,0.50,西红柿,河北,none,2018-08-05,蔬菜,元/斤
华北,0.92,none,2018-08-26,河北怀来县京西果菜批发市场,1.50,0.50,西红柿,河北,none,2018-08-04,蔬菜,元/斤
华北,0.90,none,2018-08-26,河北怀来县京西果菜批发市场,1.40,0.50,西红柿,河北,none,2018-08-03,蔬菜,元/斤
华北,0.85,none,2018-08-26,河北怀来县京西果菜批发市场,1.50,0.40,西红柿,河北,none,2018-08-02,蔬菜,元/斤
华北,0.85,none,2018-08-26,河北怀来县京西果菜批发市场,1.40,0.40,西红柿,河北,none,2018-08-01,蔬菜,元/斤
华北,0.88,none,2018-08-26,河北怀来县京西果菜批发市场,1.50,0.50,西红柿,河北,none,2018-07-31,蔬菜,元/斤
华北,0.85,none,2018-08-26,河北怀来县京西果菜批发市场,1.20,0.50,西红柿,河北,none,2018-07-15,蔬菜,元/斤
华北,0.85,none,2018-08-26,河北怀来县京西果菜批发市场,1.20,0.50,西红柿,河北,none,2018-07-14,蔬菜,元/斤
华北,0.74,none,2018-08-26,河北怀来县京西果菜批发市场,1.05,0.50,西红柿,河北,none,2018-07-07,蔬菜,元/斤
华北,0.90,none,2018-08-26,河北怀来县京西果菜批发市场,1.30,0.50,西红柿,河北,none,2018-07-01,蔬菜,元/斤
华北,0.93,none,2018-08-26,河北怀来县京西果菜批发市场,1.35,0.40,西红柿,河北,none,2018-06-23,蔬菜,元/斤
华北,0.56,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,0.35,西红柿,河北,none,2018-06-10,蔬菜,元/斤
华北,0.71,none,2018-08-26,河北怀来县京西果菜批发市场,1.10,0.50,西红柿,河北,none,2018-06-03,蔬菜,元/斤
华北,1.03,none,2018-08-26,河北怀来县京西果菜批发市场,1.30,0.55,西红柿,河北,none,2018-05-29,蔬菜,元/斤
华北,1.12,none,2018-08-26,河北怀来县京西果菜批发市场,1.30,0.70,西红柿,河北,none,2018-05-25,蔬菜,元/斤
华北,0.80,none,2018-08-26,河北怀来县京西果菜批发市场,1.20,0.60,土豆,河北,none,2018-08-25,蔬菜,元/斤
华北,0.75,none,2018-08-26,河北怀来县京西果菜批发市场,1.10,0.60,土豆,河北,none,2018-08-24,蔬菜,元/斤
华北,0.95,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,0.60,土豆,河北,none,2018-08-23,蔬菜,元/斤
华北,0.95,none,2018-08-26,河北怀来县京西果菜批发市场,1.00,0.60,土豆,河北,none,2018-08-22,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北怀来县京西果菜批发市场,0.60,0.50,土豆,河北,none,2018-08-20,蔬菜,元/斤
