area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,5.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,5.50,4.50,香菜,河北,none,2018-08-18,蔬菜,元/斤
华北,5.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,5.50,4.50,香菜,河北,none,2018-08-15,蔬菜,元/斤
华北,4.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.50,3.50,香菜,河北,none,2018-08-13,蔬菜,元/斤
华北,4.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.50,3.50,香菜,河北,none,2018-08-12,蔬菜,元/斤
华北,4.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.50,3.50,香菜,河北,none,2018-08-11,蔬菜,元/斤
华北,5.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,5.50,4.50,香菜,河北,none,2018-08-09,蔬菜,元/斤
华北,4.75,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,5.00,4.50,香菜,河北,none,2018-08-08,蔬菜,元/斤
华北,4.75,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,5.00,4.50,香菜,河北,none,2018-08-07,蔬菜,元/斤
华北,4.75,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,5.00,4.50,香菜,河北,none,2018-08-06,蔬菜,元/斤
华北,4.25,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.50,4.00,香菜,河北,none,2018-08-05,蔬菜,元/斤
华北,3.70,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.20,3.20,香菜,河北,none,2018-08-04,蔬菜,元/斤
华北,3.70,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.20,3.20,香菜,河北,none,2018-08-03,蔬菜,元/斤
华北,3.70,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.20,3.20,香菜,河北,none,2018-08-02,蔬菜,元/斤
华北,3.70,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.20,3.20,香菜,河北,none,2018-08-01,蔬菜,元/斤
华北,3.70,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,4.20,3.20,香菜,河北,none,2018-07-31,蔬菜,元/斤
华北,2.25,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,2.50,2.00,香菜,河北,none,2018-07-15,蔬菜,元/斤
华北,2.25,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,2.50,2.00,香菜,河北,none,2018-07-14,蔬菜,元/斤
华北,1.65,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.80,1.50,香菜,河北,none,2018-07-07,蔬菜,元/斤
华北,1.60,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.90,1.50,香菜,河北,none,2018-07-01,蔬菜,元/斤
华北,1.20,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.40,1.00,香菜,河北,none,2018-06-23,蔬菜,元/斤
华北,1.30,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.60,1.00,香菜,河北,none,2018-06-10,蔬菜,元/斤
华北,1.30,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.60,1.00,香菜,河北,none,2018-06-03,蔬菜,元/斤
华北,1.40,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.70,1.10,香菜,河北,none,2018-05-31,蔬菜,元/斤
华北,1.60,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.90,1.30,香菜,河北,none,2018-05-29,蔬菜,元/斤
华北,1.60,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,2.00,1.40,香菜,河北,none,2018-05-25,蔬菜,元/斤
华北,1.35,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.70,1.00,西葫芦,河北,none,2018-08-18,蔬菜,元/斤
华北,1.10,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.30,0.90,西葫芦,河北,none,2018-08-15,蔬菜,元/斤
华北,0.90,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.10,0.70,西葫芦,河北,none,2018-08-12,蔬菜,元/斤
华北,1.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.20,0.80,西葫芦,河北,none,2018-08-11,蔬菜,元/斤
华北,0.80,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.00,0.60,西葫芦,河北,none,2018-08-08,蔬菜,元/斤
华北,0.70,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.90,0.50,西葫芦,河北,none,2018-08-07,蔬菜,元/斤
华北,0.65,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.80,0.50,西葫芦,河北,none,2018-08-06,蔬菜,元/斤
华北,0.65,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.80,0.50,西葫芦,河北,none,2018-08-05,蔬菜,元/斤
华北,0.55,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.70,0.40,西葫芦,河北,none,2018-08-04,蔬菜,元/斤
华北,0.55,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.70,0.40,西葫芦,河北,none,2018-08-03,蔬菜,元/斤
华北,0.65,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.80,0.50,西葫芦,河北,none,2018-08-02,蔬菜,元/斤
华北,0.80,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.00,0.60,西葫芦,河北,none,2018-08-01,蔬菜,元/斤
华北,0.80,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.00,0.60,西葫芦,河北,none,2018-07-31,蔬菜,元/斤
华北,0.65,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.80,0.50,西葫芦,河北,none,2018-07-15,蔬菜,元/斤
华北,0.70,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.90,0.50,西葫芦,河北,none,2018-07-14,蔬菜,元/斤
华北,0.30,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.40,0.20,西葫芦,河北,none,2018-06-23,蔬菜,元/斤
华北,0.40,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.50,0.30,西葫芦,河北,none,2018-06-10,蔬菜,元/斤
华北,0.80,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,0.90,0.70,西葫芦,河北,none,2018-06-03,蔬菜,元/斤
华北,1.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.10,0.90,西葫芦,河北,none,2018-05-29,蔬菜,元/斤
华北,1.20,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.40,1.00,西葫芦,河北,none,2018-05-25,蔬菜,元/斤
华北,1.10,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.30,0.90,西葫芦,河北,none,2018-05-24,蔬菜,元/斤
华北,0.80,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.00,0.60,西葫芦,河北,none,2018-05-20,蔬菜,元/斤
华北,0.90,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.10,0.70,西葫芦,河北,none,2018-05-16,蔬菜,元/斤
华北,1.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.20,0.80,西葫芦,河北,none,2018-05-12,蔬菜,元/斤
华北,1.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.20,0.80,西葫芦,河北,none,2018-05-08,蔬菜,元/斤
华北,2.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,2.50,1.50,油菜,河北,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,2.00,1.00,油菜,河北,none,2018-08-17,蔬菜,元/斤
华北,1.50,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,2.00,1.00,油菜,河北,none,2018-08-15,蔬菜,元/斤
华北,0.90,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.20,0.60,油菜,河北,none,2018-08-13,蔬菜,元/斤
华北,0.90,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.20,0.60,油菜,河北,none,2018-08-12,蔬菜,元/斤
华北,0.90,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.20,0.60,油菜,河北,none,2018-08-11,蔬菜,元/斤
华北,1.00,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.40,0.60,油菜,河北,none,2018-08-09,蔬菜,元/斤
华北,1.25,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.50,1.00,油菜,河北,none,2018-08-08,蔬菜,元/斤
华北,1.35,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.70,1.00,油菜,河北,none,2018-08-07,蔬菜,元/斤
华北,1.40,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,1.80,1.00,油菜,河北,none,2018-08-06,蔬菜,元/斤
华北,1.50,none,2018-08-24,河北秦皇岛海阳农副产品批发市场,2.00,1.00,油菜,河北,none,2018-08-05,蔬菜,元/斤
