area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-03-13,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-03-09,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-03-08,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-03-07,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-03-06,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-03-05,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-03-04,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,大白菜,河北,none,2018-02-28,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-12-08,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-12-06,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-12-04,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-12-02,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-29,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-28,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-26,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-24,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-23,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-22,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-21,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-20,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-19,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-17,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-15,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-14,蔬菜,元/斤
华北,0.25,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.30,0.20,大白菜,河北,none,2017-11-13,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2018-01-09,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2018-01-07,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2018-01-05,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2018-01-04,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2018-01-03,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2018-01-01,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2017-12-31,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2017-12-29,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2017-12-28,蔬菜,元/斤
华北,0.40,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.30,生菜,河北,none,2017-12-26,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-16,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-14,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-13,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-12,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-11,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-10,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-09,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-06,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-05,蔬菜,元/斤
华北,0.30,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.35,0.25,生菜,河北,none,2017-04-04,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.60,0.50,生菜,河北,none,2017-04-03,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.60,0.50,生菜,河北,none,2017-04-02,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.60,0.50,生菜,河北,none,2017-04-01,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.60,0.50,生菜,河北,none,2017-03-31,蔬菜,元/斤
华北,0.55,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.60,0.50,生菜,河北,none,2017-03-30,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-12-08,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-12-02,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-29,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-28,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-26,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-23,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-22,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-21,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-20,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-19,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-14,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-12,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-11,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-10,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-09,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-07,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-06,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-04,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-03,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-11-01,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-10-25,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-10-24,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-10-20,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-10-18,蔬菜,元/斤
华北,2.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,2.20,2.00,豆角,河北,none,2017-10-16,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-12-08,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-12-04,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-12-02,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-29,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-28,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-26,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-23,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-22,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-21,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-20,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-19,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-14,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-12,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-11,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-10,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-09,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-07,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-06,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-04,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-03,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-11-01,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-10-25,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-10-24,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-10-20,蔬菜,元/斤
华北,0.60,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.70,0.50,菜花,河北,none,2017-10-18,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-12-08,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-12-04,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-12-02,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-29,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-28,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-26,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-23,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-22,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-21,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-20,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-19,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-14,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-12,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-11,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-10,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-09,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-07,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-06,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-04,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-03,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-11-01,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-10-25,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-10-24,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-10-20,蔬菜,元/斤
华北,0.10,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.11,0.08,冬瓜,河北,none,2017-10-18,蔬菜,元/斤
华北,2.80,none,2018-08-26,河北饶阳县瓜菜果品交易市场,3.00,2.60,茄子,河北,none,2018-03-13,蔬菜,元/斤
华北,2.80,none,2018-08-26,河北饶阳县瓜菜果品交易市场,3.00,2.60,茄子,河北,none,2018-03-09,蔬菜,元/斤
华北,0.45,none,2018-08-26,河北饶阳县瓜菜果品交易市场,0.50,0.40,茄子,河北,none,2018-01-07,蔬菜,元/斤
