area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.70,none,2018-08-25,济南堤口果品批发市场,2.00,1.60,黄河蜜,山东,none,2018-08-15,蔬菜,元/斤
华东,1.70,none,2018-08-25,济南堤口果品批发市场,2.00,1.60,黄河蜜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.70,none,2018-08-25,济南堤口果品批发市场,2.00,1.60,黄河蜜,山东,none,2018-08-06,蔬菜,元/斤
华东,1.70,none,2018-08-25,济南堤口果品批发市场,2.00,1.60,黄河蜜,山东,none,2018-08-03,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-05-25,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-05-24,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-05-16,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-05-08,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-05-02,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-28,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-27,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-26,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-25,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-24,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-20,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-19,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-16,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-13,蔬菜,元/斤
华东,3.00,none,2018-08-25,济南堤口果品批发市场,3.50,2.70,黄河蜜,山东,none,2018-04-12,蔬菜,元/斤
华东,2.70,none,2018-08-25,济南堤口果品批发市场,3.50,2.50,黄河蜜,山东,none,2018-03-28,蔬菜,元/斤
华东,2.70,none,2018-08-25,济南堤口果品批发市场,3.50,2.50,黄河蜜,山东,none,2018-03-23,蔬菜,元/斤
华东,2.70,none,2018-08-25,济南堤口果品批发市场,3.50,2.50,黄河蜜,山东,none,2018-03-22,蔬菜,元/斤
华东,2.70,none,2018-08-25,济南堤口果品批发市场,3.50,2.50,黄河蜜,山东,none,2018-03-13,蔬菜,元/斤
华东,2.70,none,2018-08-25,济南堤口果品批发市场,3.50,2.50,黄河蜜,山东,none,2018-03-08,蔬菜,元/斤
华东,2.70,none,2018-08-25,济南堤口果品批发市场,3.00,2.50,黄河蜜,山东,none,2018-03-06,蔬菜,元/斤
华东,2.30,none,2018-08-25,济南堤口果品批发市场,3.00,1.00,甜瓜,山东,none,2018-08-15,蔬菜,元/斤
华东,2.30,none,2018-08-25,济南堤口果品批发市场,3.00,1.00,甜瓜,山东,none,2018-08-08,蔬菜,元/斤
华东,2.30,none,2018-08-25,济南堤口果品批发市场,3.00,1.00,甜瓜,山东,none,2018-08-06,蔬菜,元/斤
华东,2.30,none,2018-08-25,济南堤口果品批发市场,3.00,1.00,甜瓜,山东,none,2018-08-03,蔬菜,元/斤
华东,3.50,none,2018-08-25,济南堤口果品批发市场,7.00,1.00,甜瓜,山东,none,2018-05-25,蔬菜,元/斤
华东,3.50,none,2018-08-25,济南堤口果品批发市场,7.00,1.00,甜瓜,山东,none,2018-05-24,蔬菜,元/斤
华东,3.50,none,2018-08-25,济南堤口果品批发市场,7.00,1.50,甜瓜,山东,none,2018-05-16,蔬菜,元/斤
华东,3.50,none,2018-08-25,济南堤口果品批发市场,7.00,1.60,甜瓜,山东,none,2018-05-08,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,2.50,甜瓜,山东,none,2018-05-02,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,2.50,甜瓜,山东,none,2018-04-28,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,2.50,甜瓜,山东,none,2018-04-27,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,2.50,甜瓜,山东,none,2018-04-26,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,2.50,甜瓜,山东,none,2018-04-25,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,2.50,甜瓜,山东,none,2018-04-24,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,4.50,甜瓜,山东,none,2018-04-20,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,4.50,甜瓜,山东,none,2018-04-19,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,5.00,甜瓜,山东,none,2018-04-16,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,5.00,甜瓜,山东,none,2018-04-13,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,5.00,甜瓜,山东,none,2018-04-12,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,4.50,甜瓜,山东,none,2018-03-28,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,4.00,甜瓜,山东,none,2018-03-23,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,4.00,甜瓜,山东,none,2018-03-22,蔬菜,元/斤
华东,6.00,none,2018-08-25,济南堤口果品批发市场,9.00,4.00,甜瓜,山东,none,2018-03-13,蔬菜,元/斤
华东,6.50,none,2018-08-25,济南堤口果品批发市场,9.00,5.00,甜瓜,山东,none,2018-03-08,蔬菜,元/斤
华东,6.50,none,2018-08-25,济南堤口果品批发市场,8.00,5.00,甜瓜,山东,none,2018-03-06,蔬菜,元/斤
华东,1.90,none,2018-08-25,济南堤口果品批发市场,2.00,1.80,伽师瓜,山东,none,2018-08-15,蔬菜,元/斤
华东,1.90,none,2018-08-25,济南堤口果品批发市场,2.00,1.80,伽师瓜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.90,none,2018-08-25,济南堤口果品批发市场,2.00,1.80,伽师瓜,山东,none,2018-08-06,蔬菜,元/斤
华东,1.90,none,2018-08-25,济南堤口果品批发市场,2.00,1.80,伽师瓜,山东,none,2018-08-03,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-05-25,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-05-24,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-05-16,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-05-08,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-05-02,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-28,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-27,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-26,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-25,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-24,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-20,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-19,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-16,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-04-13,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-03-28,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-03-23,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-03-22,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-03-13,蔬菜,元/斤
华东,2.00,none,2018-08-25,济南堤口果品批发市场,3.00,1.60,伽师瓜,山东,none,2018-03-08,蔬菜,元/斤
