area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.80,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-08-20,果品,元/斤
华东,2.00,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-08-07,果品,元/斤
华东,2.00,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-08-06,果品,元/斤
华东,2.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-08-02,果品,元/斤
华东,2.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-08-01,果品,元/斤
华东,2.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-07-31,果品,元/斤
华东,3.25,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-05-16,果品,元/斤
华东,4.20,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-05-08,果品,元/斤
华东,4.20,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-05-02,果品,元/斤
华东,4.20,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-27,果品,元/斤
华东,4.25,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-26,果品,元/斤
华东,4.25,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-25,果品,元/斤
华东,4.25,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-24,果品,元/斤
华东,4.25,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-20,果品,元/斤
华东,4.25,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-19,果品,元/斤
华东,4.00,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-16,果品,元/斤
华东,4.00,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-13,果品,元/斤
华东,3.70,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-04-12,果品,元/斤
华东,3.70,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-03-28,果品,元/斤
华东,3.37,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-03-23,果品,元/斤
华东,3.65,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-03-22,果品,元/斤
华东,3.65,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-03-06,果品,元/斤
华东,3.65,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-03-05,果品,元/斤
华东,3.65,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-02-28,果品,元/斤
华东,4.00,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,麒麟西瓜,浙江,none,2018-02-09,果品,元/斤
华东,3.80,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-08-24,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-08-07,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-08-06,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-08-02,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-08-01,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-07-31,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-05-29,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-05-16,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-05-08,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-05-03,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-05-02,果品,元/斤
华东,5.50,none,2018-08-26,浙江嘉兴水果市场,0.00,0.00,樱桃西红柿,浙江,none,2018-04-27,果品,元/斤
