area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,5.02,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,5.65,4.39,芹菜,浙江,none,2018-08-25,蔬菜,元/斤
华东,4.25,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,5.58,3.00,芹菜,浙江,none,2018-08-24,蔬菜,元/斤
华东,4.52,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,5.49,3.00,芹菜,浙江,none,2018-08-23,蔬菜,元/斤
华东,4.56,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,5.36,3.00,芹菜,浙江,none,2018-08-22,蔬菜,元/斤
华东,4.21,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,5.02,2.50,芹菜,浙江,none,2018-08-20,蔬菜,元/斤
华东,3.87,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.57,2.10,芹菜,浙江,none,2018-08-18,蔬菜,元/斤
华东,3.82,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.86,2.10,芹菜,浙江,none,2018-08-15,蔬菜,元/斤
华东,3.61,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.43,1.80,芹菜,浙江,none,2018-08-13,蔬菜,元/斤
华东,3.77,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.25,1.80,芹菜,浙江,none,2018-08-12,蔬菜,元/斤
华东,3.04,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.80,1.80,芹菜,浙江,none,2018-08-08,蔬菜,元/斤
华东,3.15,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.00,1.90,芹菜,浙江,none,2018-08-07,蔬菜,元/斤
华东,2.95,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.50,2.00,芹菜,浙江,none,2018-08-06,蔬菜,元/斤
华东,2.95,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.50,2.00,芹菜,浙江,none,2018-08-05,蔬菜,元/斤
华东,2.99,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.00,2.00,芹菜,浙江,none,2018-08-04,蔬菜,元/斤
华东,3.16,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.00,2.00,芹菜,浙江,none,2018-08-03,蔬菜,元/斤
华东,3.43,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.11,1.50,芹菜,浙江,none,2018-08-02,蔬菜,元/斤
华东,3.31,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.04,1.30,芹菜,浙江,none,2018-08-01,蔬菜,元/斤
华东,2.76,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.62,1.30,芹菜,浙江,none,2018-07-31,蔬菜,元/斤
华东,2.70,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.26,1.50,芹菜,浙江,none,2018-07-15,蔬菜,元/斤
华东,2.57,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.09,1.20,芹菜,浙江,none,2018-07-14,蔬菜,元/斤
华东,2.25,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.00,1.30,芹菜,浙江,none,2018-07-07,蔬菜,元/斤
华东,2.26,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.00,1.80,芹菜,浙江,none,2018-07-01,蔬菜,元/斤
华东,2.37,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.00,1.60,芹菜,浙江,none,2018-06-23,蔬菜,元/斤
华东,3.33,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,3.81,2.60,芹菜,浙江,none,2018-06-10,蔬菜,元/斤
华东,3.59,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,4.50,3.00,芹菜,浙江,none,2018-06-03,蔬菜,元/斤
华东,1.56,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.76,1.36,西红柿,浙江,none,2018-08-25,蔬菜,元/斤
华东,1.89,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.50,1.30,西红柿,浙江,none,2018-08-24,蔬菜,元/斤
华东,1.89,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.50,1.30,西红柿,浙江,none,2018-08-23,蔬菜,元/斤
华东,2.04,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.70,1.40,西红柿,浙江,none,2018-08-22,蔬菜,元/斤
华东,1.74,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.20,1.30,西红柿,浙江,none,2018-08-20,蔬菜,元/斤
华东,1.49,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.00,1.00,西红柿,浙江,none,2018-08-18,蔬菜,元/斤
华东,1.49,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,1.12,西红柿,浙江,none,2018-08-15,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.20,1.00,西红柿,浙江,none,2018-08-12,蔬菜,元/斤
华东,1.25,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.70,西红柿,浙江,none,2018-08-08,蔬菜,元/斤
华东,1.35,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.00,0.70,西红柿,浙江,none,2018-08-07,蔬菜,元/斤
华东,1.25,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.70,西红柿,浙江,none,2018-08-06,蔬菜,元/斤
华东,1.25,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.70,西红柿,浙江,none,2018-08-05,蔬菜,元/斤
华东,1.39,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.00,0.80,西红柿,浙江,none,2018-08-04,蔬菜,元/斤
华东,1.39,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.00,0.80,西红柿,浙江,none,2018-08-03,蔬菜,元/斤
华东,1.63,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.30,1.00,西红柿,浙江,none,2018-08-02,蔬菜,元/斤
华东,1.78,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.60,1.00,西红柿,浙江,none,2018-08-01,蔬菜,元/斤
华东,1.79,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.60,1.00,西红柿,浙江,none,2018-07-31,蔬菜,元/斤
华东,1.59,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.20,1.00,西红柿,浙江,none,2018-07-15,蔬菜,元/斤
华东,1.85,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.50,1.30,西红柿,浙江,none,2018-07-14,蔬菜,元/斤
华东,1.56,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.20,1.00,西红柿,浙江,none,2018-07-07,蔬菜,元/斤
华东,1.54,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.20,0.90,西红柿,浙江,none,2018-07-01,蔬菜,元/斤
华东,1.35,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.30,0.90,西红柿,浙江,none,2018-06-23,蔬菜,元/斤
华东,1.42,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.00,1.00,西红柿,浙江,none,2018-06-10,蔬菜,元/斤
华东,1.41,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.10,1.00,西红柿,浙江,none,2018-06-03,蔬菜,元/斤
华东,1.51,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,2.40,1.05,西红柿,浙江,none,2018-05-29,蔬菜,元/斤
华东,1.06,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.19,0.92,土豆,浙江,none,2018-08-25,蔬菜,元/斤
华东,1.30,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-24,蔬菜,元/斤
华东,1.29,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-23,蔬菜,元/斤
华东,1.30,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-22,蔬菜,元/斤
华东,1.42,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.99,土豆,浙江,none,2018-08-20,蔬菜,元/斤
华东,1.39,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,1.00,土豆,浙江,none,2018-08-18,蔬菜,元/斤
华东,1.39,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.98,土豆,浙江,none,2018-08-15,蔬菜,元/斤
华东,1.29,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-13,蔬菜,元/斤
华东,1.30,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-12,蔬菜,元/斤
华东,1.27,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.75,0.80,土豆,浙江,none,2018-08-09,蔬菜,元/斤
华东,1.27,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.75,0.80,土豆,浙江,none,2018-08-08,蔬菜,元/斤
华东,1.29,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-07,蔬菜,元/斤
华东,1.29,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-06,蔬菜,元/斤
华东,1.29,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.80,土豆,浙江,none,2018-08-05,蔬菜,元/斤
华东,1.27,none,2018-08-26,浙江嘉兴蔬菜批发交易市场,1.80,0.75,土豆,浙江,none,2018-08-04,蔬菜,元/斤
