area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,0.85,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.60,白萝卜,浙江,none,2018-08-22,蔬菜,元/斤
华东,0.85,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.60,白萝卜,浙江,none,2018-08-20,蔬菜,元/斤
华东,0.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.65,白萝卜,浙江,none,2018-08-13,蔬菜,元/斤
华东,0.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.65,白萝卜,浙江,none,2018-08-08,蔬菜,元/斤
华东,0.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.65,白萝卜,浙江,none,2018-08-06,蔬菜,元/斤
华东,0.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.65,白萝卜,浙江,none,2018-08-03,蔬菜,元/斤
华东,0.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.65,白萝卜,浙江,none,2018-08-01,蔬菜,元/斤
华东,0.85,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.60,白萝卜,浙江,none,2018-07-31,蔬菜,元/斤
华东,1.10,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.30,0.85,白萝卜,浙江,none,2018-05-25,蔬菜,元/斤
华东,1.05,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.30,0.80,白萝卜,浙江,none,2018-05-24,蔬菜,元/斤
华东,1.05,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.30,0.80,白萝卜,浙江,none,2018-05-23,蔬菜,元/斤
华东,1.10,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.35,0.80,白萝卜,浙江,none,2018-05-22,蔬菜,元/斤
华东,1.10,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.35,0.80,白萝卜,浙江,none,2018-05-15,蔬菜,元/斤
华东,1.10,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.35,0.80,白萝卜,浙江,none,2018-05-14,蔬菜,元/斤
华东,1.05,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.25,0.80,白萝卜,浙江,none,2018-05-08,蔬菜,元/斤
华东,1.00,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.25,0.75,白萝卜,浙江,none,2018-05-03,蔬菜,元/斤
华东,1.00,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.25,0.75,白萝卜,浙江,none,2018-05-02,蔬菜,元/斤
华东,1.00,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.25,0.75,白萝卜,浙江,none,2018-04-28,蔬菜,元/斤
华东,1.00,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.25,0.75,白萝卜,浙江,none,2018-04-27,蔬菜,元/斤
华东,0.95,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.20,0.75,白萝卜,浙江,none,2018-04-26,蔬菜,元/斤
华东,0.95,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.20,0.75,白萝卜,浙江,none,2018-04-25,蔬菜,元/斤
华东,0.95,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.20,0.75,白萝卜,浙江,none,2018-04-20,蔬菜,元/斤
华东,0.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.15,0.70,白萝卜,浙江,none,2018-04-19,蔬菜,元/斤
华东,0.80,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.05,0.60,白萝卜,浙江,none,2018-04-16,蔬菜,元/斤
华东,0.85,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.10,0.60,白萝卜,浙江,none,2018-04-12,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.35,大葱,浙江,none,2018-08-22,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.35,大葱,浙江,none,2018-08-20,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.50,大葱,浙江,none,2018-08-13,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.50,大葱,浙江,none,2018-08-08,蔬菜,元/斤
华东,1.75,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,2.00,1.50,大葱,浙江,none,2018-08-06,蔬菜,元/斤
华东,1.75,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,2.00,1.50,大葱,浙江,none,2018-08-03,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.40,大葱,浙江,none,2018-08-01,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.40,大葱,浙江,none,2018-07-31,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.40,大葱,浙江,none,2018-05-25,蔬菜,元/斤
华东,1.55,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.75,1.30,大葱,浙江,none,2018-05-24,蔬菜,元/斤
华东,1.55,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.75,1.30,大葱,浙江,none,2018-05-23,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-05-22,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-05-15,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-05-14,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-05-08,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-05-03,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-05-02,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-04-28,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-04-27,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.40,大葱,浙江,none,2018-04-26,蔬菜,元/斤
华东,1.65,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.35,大葱,浙江,none,2018-04-25,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.50,大葱,浙江,none,2018-04-20,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.50,大葱,浙江,none,2018-04-19,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.50,大葱,浙江,none,2018-04-16,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.90,1.50,大葱,浙江,none,2018-04-12,蔬菜,元/斤
华东,1.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,2.10,1.60,韭菜,浙江,none,2018-08-22,蔬菜,元/斤
华东,2.00,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,2.20,1.60,韭菜,浙江,none,2018-08-20,蔬菜,元/斤
华东,1.90,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,2.20,1.60,韭菜,浙江,none,2018-08-13,蔬菜,元/斤
华东,1.80,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,2.05,1.50,韭菜,浙江,none,2018-08-08,蔬菜,元/斤
华东,1.70,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,2.00,1.30,韭菜,浙江,none,2018-08-06,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.30,韭菜,浙江,none,2018-08-03,蔬菜,元/斤
华东,1.60,none,2018-08-26,浙江宁波市蔬菜副食品批发交易市场,1.85,1.30,韭菜,浙江,none,2018-08-01,蔬菜,元/斤
