area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,3.74,none,2018-08-26,浙江杭州农副产品物流中心,3.92,3.56,山药,浙江,none,2017-02-17,蔬菜,元/斤
华东,3.74,none,2018-08-26,浙江杭州农副产品物流中心,3.92,3.56,山药,浙江,none,2017-02-10,蔬菜,元/斤
华东,4.06,none,2018-08-26,浙江杭州农副产品物流中心,4.25,3.86,山药,浙江,none,2017-02-07,蔬菜,元/斤
华东,3.64,none,2018-08-26,浙江杭州农副产品物流中心,3.81,3.46,山药,浙江,none,2017-01-13,蔬菜,元/斤
华东,3.72,none,2018-08-26,浙江杭州农副产品物流中心,3.89,3.54,山药,浙江,none,2017-01-06,蔬菜,元/斤
华东,6.22,none,2018-08-26,浙江杭州农副产品物流中心,6.51,5.92,香菜,浙江,none,2017-02-17,蔬菜,元/斤
华东,6.22,none,2018-08-26,浙江杭州农副产品物流中心,6.51,5.92,香菜,浙江,none,2017-02-10,蔬菜,元/斤
华东,6.33,none,2018-08-26,浙江杭州农副产品物流中心,6.63,6.03,香菜,浙江,none,2017-02-07,蔬菜,元/斤
华东,5.09,none,2018-08-26,浙江杭州农副产品物流中心,5.33,4.85,香菜,浙江,none,2017-01-13,蔬菜,元/斤
华东,5.09,none,2018-08-26,浙江杭州农副产品物流中心,5.33,4.85,香菜,浙江,none,2017-01-06,蔬菜,元/斤
华东,6.66,none,2018-08-26,浙江杭州农副产品物流中心,6.97,6.34,生姜,浙江,none,2017-02-17,蔬菜,元/斤
华东,7.40,none,2018-08-26,浙江杭州农副产品物流中心,7.75,7.05,生姜,浙江,none,2017-02-10,蔬菜,元/斤
华东,7.40,none,2018-08-26,浙江杭州农副产品物流中心,7.75,7.05,生姜,浙江,none,2017-02-07,蔬菜,元/斤
华东,6.36,none,2018-08-26,浙江杭州农副产品物流中心,6.66,6.05,生姜,浙江,none,2017-01-13,蔬菜,元/斤
华东,6.36,none,2018-08-26,浙江杭州农副产品物流中心,6.66,6.05,生姜,浙江,none,2017-01-06,蔬菜,元/斤
华东,2.71,none,2018-08-26,浙江杭州农副产品物流中心,2.84,2.58,菠菜,浙江,none,2017-02-17,蔬菜,元/斤
华东,4.25,none,2018-08-26,浙江杭州农副产品物流中心,4.45,4.05,菠菜,浙江,none,2017-02-10,蔬菜,元/斤
华东,5.07,none,2018-08-26,浙江杭州农副产品物流中心,5.31,4.83,菠菜,浙江,none,2017-02-07,蔬菜,元/斤
华东,3.01,none,2018-08-26,浙江杭州农副产品物流中心,3.15,2.86,菠菜,浙江,none,2017-01-13,蔬菜,元/斤
华东,2.83,none,2018-08-26,浙江杭州农副产品物流中心,2.96,2.69,菠菜,浙江,none,2017-01-06,蔬菜,元/斤
华东,1.39,none,2018-08-26,浙江杭州农副产品物流中心,1.45,1.32,白萝卜,浙江,none,2017-02-17,蔬菜,元/斤
华东,1.98,none,2018-08-26,浙江杭州农副产品物流中心,2.07,1.88,白萝卜,浙江,none,2017-02-10,蔬菜,元/斤
华东,1.98,none,2018-08-26,浙江杭州农副产品物流中心,2.07,1.88,白萝卜,浙江,none,2017-02-07,蔬菜,元/斤
华东,1.21,none,2018-08-26,浙江杭州农副产品物流中心,1.27,1.15,白萝卜,浙江,none,2017-01-13,蔬菜,元/斤
华东,1.25,none,2018-08-26,浙江杭州农副产品物流中心,1.31,1.19,白萝卜,浙江,none,2017-01-06,蔬菜,元/斤
华东,3.20,none,2018-08-26,浙江杭州农副产品物流中心,3.35,3.05,大葱,浙江,none,2017-02-17,蔬菜,元/斤
华东,3.69,none,2018-08-26,浙江杭州农副产品物流中心,3.86,3.51,大葱,浙江,none,2017-02-10,蔬菜,元/斤
华东,3.69,none,2018-08-26,浙江杭州农副产品物流中心,3.86,3.51,大葱,浙江,none,2017-02-07,蔬菜,元/斤
华东,3.08,none,2018-08-26,浙江杭州农副产品物流中心,3.22,2.93,大葱,浙江,none,2017-01-13,蔬菜,元/斤
华东,3.42,none,2018-08-26,浙江杭州农副产品物流中心,3.58,3.25,大葱,浙江,none,2017-01-06,蔬菜,元/斤
华东,4.47,none,2018-08-26,浙江杭州农副产品物流中心,4.68,4.25,青椒,浙江,none,2017-02-17,蔬菜,元/斤
