area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,土豆,湖北,none,2017-08-15,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,土豆,湖北,none,2017-08-14,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,土豆,湖北,none,2017-08-10,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,土豆,湖北,none,2017-08-03,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,土豆,湖北,none,2017-08-02,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,土豆,湖北,none,2017-07-20,蔬菜,元/斤
华中,0.80,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.90,0.70,土豆,湖北,none,2017-07-10,蔬菜,元/斤
华中,0.80,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.90,0.70,土豆,湖北,none,2017-07-06,蔬菜,元/斤
华中,0.85,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.90,0.80,土豆,湖北,none,2017-07-05,蔬菜,元/斤
华中,0.85,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.90,0.80,土豆,湖北,none,2017-07-04,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-07-03,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-30,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-27,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-25,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-21,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-15,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-14,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-13,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-12,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,土豆,湖北,none,2017-06-08,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,土豆,湖北,none,2017-06-06,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-06-01,蔬菜,元/斤
华中,0.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.80,土豆,湖北,none,2017-05-31,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,土豆,湖北,none,2017-05-22,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,土豆,湖北,none,2017-05-17,蔬菜,元/斤
华中,1.05,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.10,1.00,大白菜,湖北,none,2017-08-15,蔬菜,元/斤
华中,1.05,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.10,1.00,大白菜,湖北,none,2017-08-14,蔬菜,元/斤
华中,1.05,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.10,1.00,大白菜,湖北,none,2017-08-10,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,大白菜,湖北,none,2017-08-03,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,大白菜,湖北,none,2017-08-02,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,大白菜,湖北,none,2017-07-20,蔬菜,元/斤
华中,0.95,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.00,0.90,大白菜,湖北,none,2017-07-10,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-07-06,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-07-05,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-07-04,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-07-03,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-30,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-27,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-26,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-25,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-21,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-19,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-15,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-14,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-13,蔬菜,元/斤
华中,0.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.70,大白菜,湖北,none,2017-06-12,蔬菜,元/斤
华中,0.70,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.60,大白菜,湖北,none,2017-06-09,蔬菜,元/斤
华中,0.70,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.80,0.60,大白菜,湖北,none,2017-06-08,蔬菜,元/斤
华中,0.65,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.70,0.60,大白菜,湖北,none,2017-06-06,蔬菜,元/斤
华中,0.65,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,0.70,0.60,大白菜,湖北,none,2017-06-01,蔬菜,元/斤
华中,2.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,3.00,2.80,生菜,湖北,none,2017-08-15,蔬菜,元/斤
华中,2.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,3.00,2.80,生菜,湖北,none,2017-08-14,蔬菜,元/斤
华中,2.90,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,3.00,2.80,生菜,湖北,none,2017-08-10,蔬菜,元/斤
华中,2.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,3.00,2.50,生菜,湖北,none,2017-08-03,蔬菜,元/斤
华中,2.65,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,2.80,2.50,生菜,湖北,none,2017-08-02,蔬菜,元/斤
华中,1.75,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.80,1.70,生菜,湖北,none,2017-07-20,蔬菜,元/斤
华中,1.40,none,2018-08-25,湖北宜昌金桥蔬菜果品批发市场,1.50,1.30,生菜,湖北,none,2017-07-10,蔬菜,元/斤
