area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.62,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.75,1.50,大葱,湖北,none,2018-08-18,蔬菜,元/斤
华中,1.62,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.75,1.50,大葱,湖北,none,2018-08-15,蔬菜,元/斤
华中,1.67,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.75,1.60,大葱,湖北,none,2018-08-13,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.80,1.70,大葱,湖北,none,2018-08-12,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.80,1.70,大葱,湖北,none,2018-08-11,蔬菜,元/斤
华中,1.67,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.75,1.60,大葱,湖北,none,2018-08-09,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.70,1.50,大葱,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.50,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.60,1.40,大葱,湖北,none,2018-08-07,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.50,1.30,大葱,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.50,1.30,大葱,湖北,none,2018-08-05,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.50,1.30,大葱,湖北,none,2018-08-04,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.50,1.30,大葱,湖北,none,2018-08-03,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.50,1.30,大葱,湖北,none,2018-08-02,蔬菜,元/斤
华中,1.35,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.40,1.30,大葱,湖北,none,2018-08-01,蔬菜,元/斤
华中,1.35,none,2018-08-24,湖北武汉白沙洲农副产品大市场,1.40,1.30,大葱,湖北,none,2018-07-31,蔬菜,元/斤
