area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-08-15,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-08-08,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-08-07,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-08-06,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-08-03,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-08-02,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-08-01,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-07-31,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-05-29,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-05-25,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-05-24,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-05-16,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-05-08,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-05-03,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-05-02,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-27,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-25,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-24,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-20,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-19,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-16,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-13,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-12,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-04-08,蔬菜,元/斤
华中,2.50,none,2018-08-25,湖北省孝感市南大农产品批发市场,2.60,2.40,茄子,湖北,none,2018-03-27,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-02-13,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-02-11,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-02-08,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-02-06,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-02-05,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-02-02,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-02-01,蔬菜,元/斤
华中,3.00,none,2018-08-25,湖北省孝感市南大农产品批发市场,3.25,2.80,大葱,湖北,none,2018-01-31,蔬菜,元/斤
