area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.40,1.30,芋头,湖北,none,2018-08-13,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.40,1.30,芋头,湖北,none,2018-08-09,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.40,1.30,芋头,湖北,none,2018-08-08,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.40,1.30,芋头,湖北,none,2018-08-06,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-08-03,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-08-02,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-08-01,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-07-31,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-07-07,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-07-01,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-06-03,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-29,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-25,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-24,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-23,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-22,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-16,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-15,蔬菜,元/斤
华中,1.90,none,2018-08-25,湖北省洪湖农贸市场,2.60,1.50,芋头,湖北,none,2018-05-14,蔬菜,元/斤
