area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-08-18,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-08-13,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-08-12,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-08-09,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-08-08,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-08-07,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-08-06,蔬菜,元/斤
华中,2.95,none,2018-08-24,湖南吉首蔬菜批发市场,3.00,2.90,韭菜,湖南,none,2018-08-05,蔬菜,元/斤
华中,2.95,none,2018-08-24,湖南吉首蔬菜批发市场,3.00,2.90,韭菜,湖南,none,2018-08-04,蔬菜,元/斤
华中,2.95,none,2018-08-24,湖南吉首蔬菜批发市场,3.00,2.90,韭菜,湖南,none,2018-08-03,蔬菜,元/斤
华中,2.95,none,2018-08-24,湖南吉首蔬菜批发市场,3.00,2.90,韭菜,湖南,none,2018-08-02,蔬菜,元/斤
华中,2.95,none,2018-08-24,湖南吉首蔬菜批发市场,3.00,2.90,韭菜,湖南,none,2018-08-01,蔬菜,元/斤
华中,2.95,none,2018-08-24,湖南吉首蔬菜批发市场,3.00,2.90,韭菜,湖南,none,2018-07-31,蔬菜,元/斤
华中,2.45,none,2018-08-24,湖南吉首蔬菜批发市场,2.50,2.40,韭菜,湖南,none,2018-07-15,蔬菜,元/斤
华中,2.45,none,2018-08-24,湖南吉首蔬菜批发市场,2.50,2.40,韭菜,湖南,none,2018-07-14,蔬菜,元/斤
华中,2.45,none,2018-08-24,湖南吉首蔬菜批发市场,2.50,2.40,韭菜,湖南,none,2018-07-07,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南吉首蔬菜批发市场,1.80,1.70,韭菜,湖南,none,2018-06-23,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-06-10,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-05-29,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-05-25,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-05-24,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-05-23,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-05-22,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-05-16,蔬菜,元/斤
华中,1.95,none,2018-08-24,湖南吉首蔬菜批发市场,2.00,1.90,韭菜,湖南,none,2018-05-15,蔬菜,元/斤
华中,1.35,none,2018-08-24,湖南吉首蔬菜批发市场,1.40,1.30,青椒,湖南,none,2018-08-18,蔬菜,元/斤
华中,1.35,none,2018-08-24,湖南吉首蔬菜批发市场,1.40,1.30,青椒,湖南,none,2018-08-12,蔬菜,元/斤
