area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,2.75,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.00,2.50,菜花,湖南,none,2018-08-15,蔬菜,元/斤
华中,3.50,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,4.00,3.00,菜花,湖南,none,2018-08-08,蔬菜,元/斤
华中,3.50,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,4.00,3.00,菜花,湖南,none,2018-08-07,蔬菜,元/斤
华中,3.25,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.50,3.00,菜花,湖南,none,2018-08-06,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.00,2.00,菜花,湖南,none,2018-08-03,蔬菜,元/斤
华中,3.25,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.50,3.00,菜花,湖南,none,2018-08-02,蔬菜,元/斤
华中,3.25,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.50,3.00,菜花,湖南,none,2018-08-01,蔬菜,元/斤
华中,3.50,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,4.00,3.00,菜花,湖南,none,2018-07-31,蔬菜,元/斤
华中,2.80,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.30,2.30,菜花,湖南,none,2018-05-29,蔬菜,元/斤
华中,2.65,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.80,2.50,菜花,湖南,none,2018-05-25,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.50,2.00,菜花,湖南,none,2018-05-24,蔬菜,元/斤
华中,0.90,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.00,0.80,菜花,湖南,none,2018-05-23,蔬菜,元/斤
华中,3.25,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.50,3.00,菜花,湖南,none,2018-05-22,蔬菜,元/斤
华中,2.90,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.00,2.80,菜花,湖南,none,2018-05-16,蔬菜,元/斤
华中,1.90,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.30,1.50,菜花,湖南,none,2018-05-08,蔬菜,元/斤
华中,1.65,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.80,1.50,菜花,湖南,none,2018-05-03,蔬菜,元/斤
华中,1.65,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.80,1.50,菜花,湖南,none,2018-05-02,蔬菜,元/斤
华中,2.00,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.50,1.50,菜花,湖南,none,2018-04-28,蔬菜,元/斤
华中,2.00,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.50,1.50,菜花,湖南,none,2018-04-27,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.70,1.50,菜花,湖南,none,2018-04-26,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.70,1.50,菜花,湖南,none,2018-04-25,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.50,2.00,菜花,湖南,none,2018-04-24,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.50,2.00,菜花,湖南,none,2018-04-20,蔬菜,元/斤
华中,3.00,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,3.50,2.50,菜花,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.15,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.80,1.50,菜花,湖南,none,2018-04-17,蔬菜,元/斤
华中,2.10,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.20,2.00,大葱,湖南,none,2018-08-15,蔬菜,元/斤
华中,2.10,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,2.20,2.00,大葱,湖南,none,2018-08-13,蔬菜,元/斤
华中,1.45,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.40,大葱,湖南,none,2018-08-09,蔬菜,元/斤
华中,1.45,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.40,大葱,湖南,none,2018-08-08,蔬菜,元/斤
华中,1.55,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.60,1.50,大葱,湖南,none,2018-08-07,蔬菜,元/斤
华中,1.55,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.60,1.50,大葱,湖南,none,2018-08-06,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.70,1.50,大葱,湖南,none,2018-08-03,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.70,1.50,大葱,湖南,none,2018-08-02,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.70,1.50,大葱,湖南,none,2018-08-01,蔬菜,元/斤
华中,1.55,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.60,1.50,大葱,湖南,none,2018-07-31,蔬菜,元/斤
华中,1.65,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.70,1.60,大葱,湖南,none,2018-05-29,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.30,大葱,湖南,none,2018-05-25,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.30,大葱,湖南,none,2018-05-24,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.30,大葱,湖南,none,2018-05-23,蔬菜,元/斤
华中,1.45,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.40,大葱,湖南,none,2018-05-22,蔬菜,元/斤
华中,1.45,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.40,大葱,湖南,none,2018-05-16,蔬菜,元/斤
华中,1.45,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.40,大葱,湖南,none,2018-05-15,蔬菜,元/斤
华中,1.45,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.40,大葱,湖南,none,2018-05-14,蔬菜,元/斤
华中,1.45,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.40,大葱,湖南,none,2018-05-08,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.30,大葱,湖南,none,2018-05-03,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.30,大葱,湖南,none,2018-05-02,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.30,大葱,湖南,none,2018-04-28,蔬菜,元/斤
华中,1.40,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.50,1.30,大葱,湖南,none,2018-04-27,蔬菜,元/斤
华中,1.15,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.20,1.10,大葱,湖南,none,2018-04-26,蔬菜,元/斤
华中,1.15,none,2018-08-24,湖南常德甘露寺蔬菜批发市场,1.20,1.10,大葱,湖南,none,2018-04-25,蔬菜,元/斤
