area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,2.90,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.80,大葱,湖南,none,2018-07-14,蔬菜,元/斤
华中,2.90,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.80,大葱,湖南,none,2018-05-25,蔬菜,元/斤
华中,2.90,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.80,大葱,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.90,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.80,大葱,湖南,none,2018-05-23,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-05-22,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-05-16,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-05-14,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-05-02,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-04-28,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-04-26,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-04-24,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-04-21,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-04-08,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-29,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-28,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-26,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-24,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-19,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-18,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-17,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-11,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-09,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-08,蔬菜,元/斤
华中,2.50,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.75,2.40,大葱,湖南,none,2018-03-06,蔬菜,元/斤
华中,3.10,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.50,3.00,韭菜,湖南,none,2018-07-14,蔬菜,元/斤
华中,3.20,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.50,3.00,韭菜,湖南,none,2018-05-25,蔬菜,元/斤
华中,3.20,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.50,3.00,韭菜,湖南,none,2018-05-24,蔬菜,元/斤
华中,3.20,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.50,3.00,韭菜,湖南,none,2018-05-23,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-05-22,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-05-16,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-05-14,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-05-07,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-05-02,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-04-28,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-04-26,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-04-24,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-04-21,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-04-19,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-04-08,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-29,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-28,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-26,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-24,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-19,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-18,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-17,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-11,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-09,蔬菜,元/斤
华中,4.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,5.00,4.50,韭菜,湖南,none,2018-03-08,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,青椒,湖南,none,2018-07-14,蔬菜,元/斤
华中,3.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.00,3.50,青椒,湖南,none,2018-05-25,蔬菜,元/斤
华中,3.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.00,3.50,青椒,湖南,none,2018-05-24,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-05-16,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-05-02,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-04-28,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-04-26,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-04-24,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-04-21,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-04-19,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-04-08,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-28,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-24,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-19,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-18,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-17,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-11,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-09,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-08,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-06,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-03-04,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-02-25,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-02-22,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-02-13,蔬菜,元/斤
华中,4.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,4.50,4.00,青椒,湖南,none,2018-02-09,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.00,1.50,黄瓜,湖南,none,2018-07-14,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.00,1.50,黄瓜,湖南,none,2018-05-25,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.00,1.50,黄瓜,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-05-16,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-05-02,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-04-28,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-04-26,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-04-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-04-21,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-04-08,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-28,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-19,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-18,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-17,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-11,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-09,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-08,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-06,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-03-04,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-02-25,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-02-22,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-02-13,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,黄瓜,湖南,none,2018-02-09,蔬菜,元/斤
华中,3.00,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.25,2.90,芹菜,湖南,none,2018-07-14,蔬菜,元/斤
华中,3.00,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.20,2.90,芹菜,湖南,none,2018-05-25,蔬菜,元/斤
华中,3.00,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.20,2.90,芹菜,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-05-22,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-05-16,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-05-02,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-04-28,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-04-26,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-04-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-04-21,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-04-08,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-29,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-28,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-26,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-19,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-18,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-17,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-11,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-09,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-08,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-06,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-04,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,2.50,2.00,芹菜,湖南,none,2018-03-02,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-07-14,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-05-25,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-05-16,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-05-02,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-04-28,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-04-26,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-04-24,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-04-21,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-04-08,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-03-28,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-03-24,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-03-19,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-03-18,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-03-17,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-03-11,蔬菜,元/斤
华中,2.75,none,2018-08-24,湖南益阳市团洲蔬菜批发市场,3.00,2.50,西红柿,湖南,none,2018-03-09,蔬菜,元/斤
