area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-18,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-15,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-12,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-11,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-08,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-07,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-06,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-05,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-04,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-08-03,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.20,西葫芦,湖南,none,2018-08-02,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.20,西葫芦,湖南,none,2018-08-01,蔬菜,元/斤
华中,1.60,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.20,西葫芦,湖南,none,2018-07-31,蔬菜,元/斤
华中,1.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,1.50,1.00,西葫芦,湖南,none,2018-07-15,蔬菜,元/斤
华中,1.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,1.50,1.00,西葫芦,湖南,none,2018-07-14,蔬菜,元/斤
华中,1.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.00,1.50,西葫芦,湖南,none,2018-06-23,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.50,2.00,西葫芦,湖南,none,2018-06-10,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.50,2.00,西葫芦,湖南,none,2018-06-03,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.50,2.00,西葫芦,湖南,none,2018-05-29,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.50,2.00,西葫芦,湖南,none,2018-05-25,蔬菜,元/斤
华中,2.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,2.50,2.00,西葫芦,湖南,none,2018-05-24,蔬菜,元/斤
华中,1.65,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,1.80,1.50,西葫芦,湖南,none,2018-05-20,蔬菜,元/斤
华中,1.65,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,1.80,1.50,西葫芦,湖南,none,2018-05-16,蔬菜,元/斤
华中,1.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,1.50,1.00,西葫芦,湖南,none,2018-05-08,蔬菜,元/斤
华中,1.00,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,1.20,0.80,西葫芦,湖南,none,2018-05-06,蔬菜,元/斤
华中,5.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,5.50,5.00,菠菜,湖南,none,2018-08-18,蔬菜,元/斤
华中,5.25,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,5.50,5.00,菠菜,湖南,none,2018-08-15,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-13,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-12,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-11,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-09,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-08,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-07,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-06,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-05,蔬菜,元/斤
华中,5.75,none,2018-08-24,湖南长沙马王堆农产品股份有限公司,6.00,5.50,菠菜,湖南,none,2018-08-04,蔬菜,元/斤
